file;file_number;last_modif;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00004-00000001.soc;1;2024-11-15 12:55:27.106336;induced;3;664;6;False;True;True;True;False;False;False
00004-00000002.soc;2;2024-11-15 12:55:27.106336;induced;3;1591;6;False;True;True;True;False;False;False
00004-00000003.soc;3;2024-11-15 12:55:27.106336;induced;3;533;6;False;True;True;True;False;False;False
00004-00000004.soc;4;2024-11-15 12:55:27.106336;induced;3;1143;6;False;True;True;True;False;False;False
00004-00000005.soc;5;2024-11-15 12:55:27.106336;induced;3;448;6;False;True;True;True;False;False;False
00004-00000006.soc;6;2024-11-15 12:55:27.106336;induced;3;940;6;False;True;True;True;False;False;False
00004-00000007.soc;7;2024-11-15 12:55:27.106336;induced;3;1860;6;False;True;True;True;False;False;False
00004-00000008.soc;8;2024-11-15 12:55:27.106336;induced;3;1045;6;False;True;True;True;False;False;False
00004-00000009.soc;9;2024-11-15 12:55:27.106336;induced;3;595;6;False;True;True;True;False;False;False
00004-00000010.soc;10;2024-11-15 12:55:27.106336;induced;3;1394;6;False;True;True;True;False;False;False
00004-00000011.soc;11;2024-11-15 12:55:27.106336;induced;3;697;6;False;True;True;True;False;False;False
00004-00000012.soc;12;2024-11-15 12:55:27.106336;induced;3;529;6;False;True;True;True;False;False;False
00004-00000013.soc;13;2024-11-15 12:55:27.106336;induced;3;617;6;False;True;True;True;False;False;False
00004-00000014.soc;14;2024-11-15 12:55:27.106336;induced;3;379;6;False;True;True;True;False;False;False
00004-00000015.soc;15;2024-11-15 12:55:27.106336;induced;3;1022;6;False;True;True;True;False;False;False
00004-00000016.soc;16;2024-11-15 12:55:27.106336;induced;3;3705;6;False;True;True;True;False;False;False
00004-00000017.soc;17;2024-11-15 12:55:27.106336;induced;3;1215;6;False;True;True;True;False;False;False
00004-00000018.soc;18;2024-11-15 12:55:27.106336;induced;3;842;6;False;True;True;True;False;False;False
00004-00000019.soc;19;2024-11-15 12:55:27.106336;induced;3;2769;6;False;True;True;True;False;False;False
00004-00000020.soc;20;2024-11-15 12:55:27.106336;induced;3;808;6;False;True;True;True;False;False;False
00004-00000021.soc;21;2024-11-15 12:55:27.106336;induced;3;716;6;False;True;True;True;False;False;False
00004-00000022.soc;22;2024-11-15 12:55:27.106336;induced;3;360;6;False;True;True;True;False;False;False
00004-00000023.soc;23;2024-11-15 12:55:27.106336;induced;3;542;6;False;True;True;True;False;False;False
00004-00000024.soc;24;2024-11-15 12:55:27.106336;induced;3;2641;6;False;True;True;True;False;False;False
00004-00000025.soc;25;2024-11-15 12:55:27.106336;induced;3;407;6;False;True;True;True;False;False;False
00004-00000026.soc;26;2024-11-15 12:55:27.106336;induced;3;737;6;False;True;True;True;False;False;False
00004-00000027.soc;27;2024-11-15 12:55:27.106336;induced;3;727;6;False;True;True;True;False;False;False
00004-00000028.soc;28;2024-11-15 12:55:27.106336;induced;3;423;6;False;True;True;True;False;False;False
00004-00000029.soc;29;2024-11-15 12:55:27.106336;induced;3;375;6;False;True;True;True;False;False;False
00004-00000030.soc;30;2024-11-15 12:55:27.106336;induced;3;352;6;False;True;True;True;False;False;False
00004-00000031.soc;31;2024-11-15 12:55:27.106336;induced;3;474;6;False;True;True;True;False;False;False
00004-00000032.soc;32;2024-11-15 12:55:27.106336;induced;3;351;6;False;True;True;True;False;False;False
00004-00000033.soc;33;2024-11-15 12:55:27.106336;induced;3;416;6;False;True;True;True;False;False;False
00004-00000034.soc;34;2024-11-15 12:55:27.106336;induced;3;1083;6;False;True;True;True;False;False;False
00004-00000035.soc;35;2024-11-15 12:55:27.106336;induced;3;732;6;False;True;True;True;False;False;False
00004-00000036.soc;36;2024-11-15 12:55:27.106336;induced;3;467;6;False;True;True;True;False;False;False
00004-00000037.soc;37;2024-11-15 12:55:27.106336;induced;3;501;6;False;True;True;True;False;True;False
00004-00000038.soc;38;2024-11-15 12:55:27.106336;induced;3;833;6;False;True;True;True;False;False;False
00004-00000039.soc;39;2024-11-15 12:55:27.106336;induced;3;994;6;False;True;True;True;False;False;False
00004-00000040.soc;40;2024-11-15 12:55:27.106336;induced;3;2310;6;False;True;True;True;False;False;False
00004-00000041.soc;41;2024-11-15 12:55:27.106336;induced;3;806;6;False;True;True;True;False;False;False
00004-00000042.soc;42;2024-11-15 12:55:27.106336;induced;3;369;6;False;True;True;True;False;False;False
00004-00000043.soc;43;2024-11-15 12:55:27.106336;induced;3;10347;6;False;True;True;True;False;False;False
00004-00000044.soc;44;2024-11-15 12:55:27.106336;induced;3;417;6;False;True;True;True;False;False;False
00004-00000045.soc;45;2024-11-15 12:55:27.106336;induced;3;578;6;False;True;True;True;False;False;False
00004-00000046.soc;46;2024-11-15 12:55:27.106336;induced;3;427;6;False;True;True;True;False;False;False
00004-00000047.soc;47;2024-11-15 12:55:27.106336;induced;3;1034;6;False;True;True;True;False;False;False
00004-00000048.soc;48;2024-11-15 12:55:27.106336;induced;3;496;6;False;True;True;True;False;False;False
00004-00000049.soc;49;2024-11-15 12:55:27.106336;induced;3;1377;6;False;True;True;True;False;False;False
00004-00000050.soc;50;2024-11-15 12:55:27.106336;induced;3;391;6;False;True;True;True;False;False;False
00004-00000051.soc;51;2024-11-15 12:55:27.106336;induced;3;453;6;False;True;True;True;False;False;False
00004-00000052.soc;52;2024-11-15 12:55:27.106336;induced;3;2840;6;False;True;True;True;False;False;False
00004-00000053.soc;53;2024-11-15 12:55:27.106336;induced;3;871;6;False;True;True;True;False;False;False
00004-00000054.soc;54;2024-11-15 12:55:27.106336;induced;3;815;6;False;True;True;True;False;False;False
00004-00000055.soc;55;2024-11-15 12:55:27.106336;induced;3;622;6;False;True;True;True;False;False;False
00004-00000056.soc;56;2024-11-15 12:55:27.106336;induced;3;14081;6;False;True;True;True;False;False;False
00004-00000057.soc;57;2024-11-15 12:55:27.106336;induced;3;998;6;False;True;True;True;False;False;False
00004-00000058.soc;58;2024-11-15 12:55:27.106336;induced;3;367;6;False;True;True;True;False;False;False
00004-00000059.soc;59;2024-11-15 12:55:27.106336;induced;3;2704;6;False;True;True;True;False;False;False
00004-00000060.soc;60;2024-11-15 12:55:27.106336;induced;3;440;6;False;True;True;True;False;False;False
00004-00000061.soc;61;2024-11-15 12:55:27.106336;induced;3;405;6;False;True;True;True;False;False;False
00004-00000062.soc;62;2024-11-15 12:55:27.106336;induced;3;1117;6;False;True;True;True;False;False;False
00004-00000063.soc;63;2024-11-15 12:55:27.106336;induced;3;490;6;False;True;True;True;False;False;False
00004-00000064.soc;64;2024-11-15 12:55:27.106336;induced;3;547;6;False;True;True;True;False;False;False
00004-00000065.soc;65;2024-11-15 12:55:27.106336;induced;3;368;6;False;True;True;True;False;False;False
00004-00000066.soc;66;2024-11-15 12:55:27.106336;induced;3;382;6;False;True;True;True;False;False;False
00004-00000067.soc;67;2024-11-15 12:55:27.106336;induced;3;417;6;False;True;True;True;False;False;False
00004-00000068.soc;68;2024-11-15 12:55:27.106336;induced;3;1021;6;False;True;True;True;False;False;False
00004-00000069.soc;69;2024-11-15 12:55:27.106336;induced;3;445;6;False;True;True;True;False;False;False
00004-00000070.soc;70;2024-11-15 12:55:27.106336;induced;3;563;6;False;True;True;True;False;False;False
00004-00000071.soc;71;2024-11-15 12:55:27.106336;induced;3;1538;6;False;True;True;True;False;False;False
00004-00000072.soc;72;2024-11-15 12:55:27.106336;induced;3;1008;6;False;True;True;True;False;False;False
00004-00000073.soc;73;2024-11-15 12:55:27.106336;induced;3;397;6;False;True;True;True;False;False;False
00004-00000074.soc;74;2024-11-15 12:55:27.106336;induced;3;963;6;False;True;True;True;False;False;False
00004-00000075.soc;75;2024-11-15 12:55:27.106336;induced;3;779;6;False;True;True;True;False;False;False
00004-00000076.soc;76;2024-11-15 12:55:27.106336;induced;3;751;6;False;True;True;True;False;False;False
00004-00000077.soc;77;2024-11-15 12:55:27.106336;induced;3;363;6;False;True;True;True;False;False;False
00004-00000078.soc;78;2024-11-15 12:55:27.106336;induced;3;955;6;False;True;True;True;False;False;False
00004-00000079.soc;79;2024-11-15 12:55:27.106336;induced;3;443;6;False;True;True;True;False;False;False
00004-00000080.soc;80;2024-11-15 12:55:27.106336;induced;3;996;6;False;True;True;True;False;False;False
00004-00000081.soc;81;2024-11-15 12:55:27.106336;induced;3;1688;6;False;True;True;True;False;False;False
00004-00000082.soc;82;2024-11-15 12:55:27.106336;induced;3;751;6;False;True;True;True;False;False;False
00004-00000083.soc;83;2024-11-15 12:55:27.106336;induced;3;460;6;False;True;True;True;False;False;False
00004-00000084.soc;84;2024-11-15 12:55:27.106336;induced;3;538;6;False;True;True;True;False;False;False
00004-00000085.soc;85;2024-11-15 12:55:27.106336;induced;3;860;6;False;True;True;True;False;False;False
00004-00000086.soc;86;2024-11-15 12:55:27.106336;induced;3;426;6;False;True;True;True;False;False;False
00004-00000087.soc;87;2024-11-15 12:55:27.106336;induced;3;554;6;False;True;True;True;False;False;False
00004-00000088.soc;88;2024-11-15 12:55:27.106336;induced;3;982;6;False;True;True;True;False;False;False
00004-00000089.soc;89;2024-11-15 12:55:27.106336;induced;3;1063;6;False;True;True;True;False;False;False
00004-00000090.soc;90;2024-11-15 12:55:27.106336;induced;3;506;6;False;True;True;True;False;False;False
00004-00000091.soc;91;2024-11-15 12:55:27.106336;induced;3;2708;6;False;True;True;True;False;False;False
00004-00000092.soc;92;2024-11-15 12:55:27.106336;induced;3;1631;6;False;True;True;True;False;False;False
00004-00000093.soc;93;2024-11-15 12:55:27.106336;induced;3;2415;6;False;True;True;True;False;False;False
00004-00000094.soc;94;2024-11-15 12:55:27.106336;induced;3;713;6;False;True;True;True;False;False;False
00004-00000095.soc;95;2024-11-15 12:55:27.106336;induced;3;1074;6;False;True;True;True;False;False;False
00004-00000096.soc;96;2024-11-15 12:55:27.106336;induced;3;371;6;False;True;True;True;False;False;False
00004-00000097.soc;97;2024-11-15 12:55:27.106336;induced;3;1216;6;False;True;True;True;False;False;False
00004-00000098.soc;98;2024-11-15 12:55:27.106336;induced;3;695;6;False;True;True;True;False;False;False
00004-00000099.soc;99;2024-11-15 12:55:27.106336;induced;3;383;6;False;True;True;True;False;False;False
00004-00000100.soc;100;2024-11-15 12:55:27.106336;induced;3;440;6;False;True;True;True;False;False;False
00004-00000101.soc;101;2024-11-15 12:55:27.106336;induced;4;1256;24;False;True;True;True;False;False;False
00004-00000102.soc;102;2024-11-15 12:55:27.106336;induced;4;382;24;False;True;True;True;False;False;False
00004-00000103.soc;103;2024-11-15 12:55:27.110336;induced;4;411;24;False;True;True;True;False;False;False
00004-00000104.soc;104;2024-11-15 12:55:27.110336;induced;4;625;24;False;True;True;True;False;False;False
00004-00000105.soc;105;2024-11-15 12:55:27.110336;induced;4;362;24;False;True;True;True;False;False;False
00004-00000106.soc;106;2024-11-15 12:55:27.110336;induced;4;718;24;False;True;True;True;False;False;False
00004-00000107.soc;107;2024-11-15 12:55:27.110336;induced;4;494;24;False;True;True;True;False;False;False
00004-00000108.soc;108;2024-11-15 12:55:27.110336;induced;4;384;24;False;True;True;True;False;False;False
00004-00000109.soc;109;2024-11-15 12:55:27.110336;induced;4;419;24;False;True;True;True;False;False;False
00004-00000110.soc;110;2024-11-15 12:55:27.110336;induced;4;431;24;False;True;True;True;False;False;False
00004-00000111.soc;111;2024-11-15 12:55:27.110336;induced;4;390;24;False;True;True;True;False;False;False
00004-00000112.soc;112;2024-11-15 12:55:27.110336;induced;4;473;24;False;True;True;True;False;False;False
00004-00000113.soc;113;2024-11-15 12:55:27.110336;induced;4;422;24;False;True;True;True;False;False;False
00004-00000114.soc;114;2024-11-15 12:55:27.110336;induced;4;494;24;False;True;True;True;False;False;False
00004-00000115.soc;115;2024-11-15 12:55:27.110336;induced;4;362;24;False;True;True;True;False;False;False
00004-00000116.soc;116;2024-11-15 12:55:27.110336;induced;4;387;24;False;True;True;True;False;False;False
00004-00000117.soc;117;2024-11-15 12:55:27.110336;induced;4;518;24;False;True;True;True;False;False;False
00004-00000118.soc;118;2024-11-15 12:55:27.110336;induced;4;1187;24;False;True;True;True;False;False;False
00004-00000119.soc;119;2024-11-15 12:55:27.110336;induced;4;389;24;False;True;True;True;False;False;False
00004-00000120.soc;120;2024-11-15 12:55:27.110336;induced;4;674;24;False;True;True;True;False;False;False
00004-00000121.soc;121;2024-11-15 12:55:27.110336;induced;4;472;24;False;True;True;True;False;False;False
00004-00000122.soc;122;2024-11-15 12:55:27.110336;induced;4;529;24;False;True;True;True;False;False;False
00004-00000123.soc;123;2024-11-15 12:55:27.110336;induced;4;376;24;False;True;True;True;False;False;False
00004-00000124.soc;124;2024-11-15 12:55:27.110336;induced;4;506;24;False;True;True;True;False;False;False
00004-00000125.soc;125;2024-11-15 12:55:27.110336;induced;4;440;24;False;True;True;True;False;False;False
00004-00000126.soc;126;2024-11-15 12:55:27.110336;induced;4;379;24;False;True;True;True;False;False;False
00004-00000127.soc;127;2024-11-15 12:55:27.110336;induced;4;379;24;False;True;True;True;False;False;False
00004-00000128.soc;128;2024-11-15 12:55:27.110336;induced;4;643;24;False;True;True;True;False;False;False
00004-00000129.soc;129;2024-11-15 12:55:27.110336;induced;4;369;24;False;True;True;True;False;False;False
00004-00000130.soc;130;2024-11-15 12:55:27.110336;induced;4;412;24;False;True;True;True;False;False;False
00004-00000131.soc;131;2024-11-15 12:55:27.110336;induced;4;420;24;False;True;True;True;False;False;False
00004-00000132.soc;132;2024-11-15 12:55:27.110336;induced;4;363;24;False;True;True;True;False;False;False
00004-00000133.soc;133;2024-11-15 12:55:27.110336;induced;4;525;24;False;True;True;True;False;False;False
00004-00000134.soc;134;2024-11-15 12:55:27.110336;induced;4;357;24;False;True;True;True;False;False;False
00004-00000135.soc;135;2024-11-15 12:55:27.110336;induced;4;447;24;False;True;True;True;False;False;False
00004-00000136.soc;136;2024-11-15 12:55:27.110336;induced;4;403;24;False;True;True;True;False;False;False
00004-00000137.soc;137;2024-11-15 12:55:27.110336;induced;4;373;24;False;True;True;True;False;False;False
00004-00000138.soc;138;2024-11-15 12:55:27.110336;induced;4;588;24;False;True;True;True;False;False;False
00004-00000139.soc;139;2024-11-15 12:55:27.110336;induced;4;525;24;False;True;True;True;False;False;False
00004-00000140.soc;140;2024-11-15 12:55:27.110336;induced;4;352;24;False;True;True;True;False;False;False
00004-00000141.soc;141;2024-11-15 12:55:27.110336;induced;4;378;24;False;True;True;True;False;False;False
00004-00000142.soc;142;2024-11-15 12:55:27.110336;induced;4;803;24;False;True;True;True;False;False;False
00004-00000143.soc;143;2024-11-15 12:55:27.110336;induced;4;362;24;False;True;True;True;False;False;False
00004-00000144.soc;144;2024-11-15 12:55:27.110336;induced;4;395;24;False;True;True;True;False;False;False
00004-00000145.soc;145;2024-11-15 12:55:27.110336;induced;4;486;24;False;True;True;True;False;False;False
00004-00000146.soc;146;2024-11-15 12:55:27.110336;induced;4;449;24;False;True;True;True;False;False;False
00004-00000147.soc;147;2024-11-15 12:55:27.110336;induced;4;400;24;False;True;True;True;False;False;False
00004-00000148.soc;148;2024-11-15 12:55:27.110336;induced;4;485;24;False;True;True;True;False;False;False
00004-00000149.soc;149;2024-11-15 12:55:27.110336;induced;4;430;24;False;True;True;True;False;False;False
00004-00000150.soc;150;2024-11-15 12:55:27.110336;induced;4;408;24;False;True;True;True;False;False;False
00004-00000151.soc;151;2024-11-15 12:55:27.110336;induced;4;394;24;False;True;True;True;False;False;False
00004-00000152.soc;152;2024-11-15 12:55:27.110336;induced;4;712;24;False;True;True;True;False;False;False
00004-00000153.soc;153;2024-11-15 12:55:27.110336;induced;4;380;24;False;True;True;True;False;False;False
00004-00000154.soc;154;2024-11-15 12:55:27.110336;induced;4;547;24;False;True;True;True;False;False;False
00004-00000155.soc;155;2024-11-15 12:55:27.110336;induced;4;436;24;False;True;True;True;False;False;False
00004-00000156.soc;156;2024-11-15 12:55:27.110336;induced;4;391;24;False;True;True;True;False;False;False
00004-00000157.soc;157;2024-11-15 12:55:27.110336;induced;4;554;24;False;True;True;True;False;False;False
00004-00000158.soc;158;2024-11-15 12:55:27.110336;induced;4;355;24;False;True;True;True;False;False;False
00004-00000159.soc;159;2024-11-15 12:55:27.110336;induced;4;443;24;False;True;True;True;False;False;False
00004-00000160.soc;160;2024-11-15 12:55:27.110336;induced;4;350;24;False;True;True;True;False;False;False
00004-00000161.soc;161;2024-11-15 12:55:27.110336;induced;4;447;24;False;True;True;True;False;False;False
00004-00000162.soc;162;2024-11-15 12:55:27.110336;induced;4;389;24;False;True;True;True;False;False;False
00004-00000163.soc;163;2024-11-15 12:55:27.110336;induced;4;532;24;False;True;True;False;False;False;False
00004-00000164.soc;164;2024-11-15 12:55:27.110336;induced;4;512;24;False;True;True;True;False;False;False
00004-00000165.soc;165;2024-11-15 12:55:27.110336;induced;4;883;24;False;True;True;True;False;False;False
00004-00000166.soc;166;2024-11-15 12:55:27.110336;induced;4;448;24;False;True;True;True;False;False;False
00004-00000167.soc;167;2024-11-15 12:55:27.110336;induced;4;408;24;False;True;True;True;False;False;False
00004-00000168.soc;168;2024-11-15 12:55:27.110336;induced;4;405;24;False;True;True;True;False;False;False
00004-00000169.soc;169;2024-11-15 12:55:27.110336;induced;4;583;24;False;True;True;True;False;False;False
00004-00000170.soc;170;2024-11-15 12:55:27.110336;induced;4;473;24;False;True;True;True;False;False;False
00004-00000171.soc;171;2024-11-15 12:55:27.110336;induced;4;384;24;False;True;True;True;False;False;False
00004-00000172.soc;172;2024-11-15 12:55:27.110336;induced;4;446;24;False;True;True;True;False;False;False
00004-00000173.soc;173;2024-11-15 12:55:27.110336;induced;4;358;24;False;True;True;True;False;False;False
00004-00000174.soc;174;2024-11-15 12:55:27.110336;induced;4;420;24;False;True;True;True;False;False;False
00004-00000175.soc;175;2024-11-15 12:55:27.110336;induced;4;425;24;False;True;True;True;False;False;False
00004-00000176.soc;176;2024-11-15 12:55:27.110336;induced;4;388;24;False;True;True;True;False;False;False
00004-00000177.soc;177;2024-11-15 12:55:27.110336;induced;4;903;24;False;True;True;True;False;False;False
00004-00000178.soc;178;2024-11-15 12:55:27.110336;induced;4;366;24;False;True;True;True;False;False;False
00004-00000179.soc;179;2024-11-15 12:55:27.110336;induced;4;454;24;False;True;True;True;False;False;False
00004-00000180.soc;180;2024-11-15 12:55:27.110336;induced;4;392;24;False;True;True;True;False;False;False
00004-00000181.soc;181;2024-11-15 12:55:27.110336;induced;4;731;24;False;True;True;True;False;False;False
00004-00000182.soc;182;2024-11-15 12:55:27.110336;induced;4;578;24;False;True;True;False;False;False;False
00004-00000183.soc;183;2024-11-15 12:55:27.110336;induced;4;440;24;False;True;True;True;False;False;False
00004-00000184.soc;184;2024-11-15 12:55:27.110336;induced;4;412;24;False;True;True;True;False;False;False
00004-00000185.soc;185;2024-11-15 12:55:27.110336;induced;4;510;24;False;True;True;True;False;False;False
00004-00000186.soc;186;2024-11-15 12:55:27.110336;induced;4;417;24;False;True;True;True;False;False;False
00004-00000187.soc;187;2024-11-15 12:55:27.110336;induced;4;1207;24;False;True;True;True;False;False;False
00004-00000188.soc;188;2024-11-15 12:55:27.110336;induced;4;623;24;False;True;True;True;False;False;False
00004-00000189.soc;189;2024-11-15 12:55:27.110336;induced;4;403;24;False;True;True;True;False;False;False
00004-00000190.soc;190;2024-11-15 12:55:27.110336;induced;4;535;24;False;True;True;True;False;False;False
00004-00000191.soc;191;2024-11-15 12:55:27.110336;induced;4;858;24;False;True;True;True;False;False;False
00004-00000192.soc;192;2024-11-15 12:55:27.110336;induced;4;823;24;False;True;True;True;False;False;False
00004-00000193.soc;193;2024-11-15 12:55:27.110336;induced;4;801;24;False;True;True;True;False;False;False
00004-00000194.soc;194;2024-11-15 12:55:27.110336;induced;4;418;24;False;True;True;True;False;False;False
00004-00000195.soc;195;2024-11-15 12:55:27.110336;induced;4;657;24;False;True;True;True;False;False;False
00004-00000196.soc;196;2024-11-15 12:55:27.110336;induced;4;1814;24;False;True;True;True;False;False;False
00004-00000197.soc;197;2024-11-15 12:55:27.110336;induced;4;382;24;False;True;True;True;False;False;False
00004-00000198.soc;198;2024-11-15 12:55:27.110336;induced;4;732;24;False;True;True;True;False;False;False
00004-00000199.soc;199;2024-11-15 12:55:27.110336;induced;4;525;24;False;True;True;True;False;False;False
00004-00000200.soc;200;2024-11-15 12:55:27.110336;induced;4;391;24;False;True;True;True;False;False;False
