file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00006-00000001.toc;1;2024-10-16 17:43:02.051277;946f7848c3b7e0ffbcd5ff37f1350efe;original;30;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000002.toc;2;2024-10-16 17:43:02.051277;665f040a8a642589e6e42bd092d75a32;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000003.soc;3;2024-10-16 17:43:02.051277;f5c87502971ca60b1d225b644a80fe70;original;14;9;9;False;True;True;True;False;False;True
00006-00000004.soc;4;2024-10-16 17:43:02.051277;2d3236e0b46d8956fa04a05fa737f104;original;14;9;7;False;True;True;True;False;False;True
00006-00000005.toc;5;2024-10-16 17:43:02.051277;569431251bf807b06c0bb5c690958e67;original;23;7;7;False;False;True;True;N/A;N/A;N/A
00006-00000006.toc;6;2024-10-16 17:43:02.051277;0299609611dfc11088b74755272dcb61;original;23;7;7;False;False;True;True;N/A;N/A;N/A
00006-00000007.soc;7;2024-10-16 17:43:02.051277;f988599779c8f941bf88214a12aa755c;original;23;9;9;False;True;True;True;False;False;True
00006-00000008.soc;8;2024-10-16 17:43:02.051277;f0282e5ea28bd73fad3ff06c206ca093;original;23;9;9;False;True;True;True;False;False;True
00006-00000009.toc;9;2024-10-16 17:43:02.051277;0a10a977d55bdfce276e342378222a72;original;30;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000010.toc;10;2024-10-16 17:43:02.051277;46fca62210c2cf0875cc6f9d519f095d;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000011.soc;11;2024-10-16 17:43:02.051277;110dffb67493fecc50e616836fc73b14;original;20;9;9;False;True;True;True;False;False;False
00006-00000012.soc;12;2024-10-16 17:43:02.051277;19a941e6623570d25666c6a05dd52dba;original;20;9;9;False;True;True;True;False;False;True
00006-00000013.toc;13;2024-10-16 17:43:02.051277;b1b70bc7f65b837d0baf4683a6b661d6;original;29;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000014.toc;14;2024-10-16 17:43:02.051277;98f1befce7eecdf4d6048c08641e6b15;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000015.toc;15;2024-10-16 17:43:02.051277;56a1616acc12cd2a411c0abb0b0a3819;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000016.toc;16;2024-10-16 17:43:02.051277;75d0f84f342c179bfbe83400b51a2f26;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000017.toc;17;2024-10-16 17:43:02.051277;e59b969ad7ffc6354910cdfacb26c1dc;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000018.soc;18;2024-10-16 17:43:02.051277;81b68ef9dd2df811c23377fa542e6a43;original;24;9;9;False;True;True;True;False;False;True
00006-00000019.toc;19;2024-10-16 17:43:02.051277;be8d67699d70ac1ee8a45fb29e9c9b9d;original;28;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000020.toc;20;2024-10-16 17:43:02.051277;99d05bc5086842beba46b18b28dadfd1;original;24;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000021.soc;21;2024-10-16 17:43:02.051277;ad2a2ecf133cb3772b428a9e0bb18223;original;18;7;7;False;True;True;True;False;False;True
00006-00000022.soc;22;2024-10-16 17:43:02.051277;70d63baa5ed8c2859a0227fd952ddc38;original;18;7;7;False;True;True;True;False;False;False
00006-00000023.toc;23;2024-10-16 17:43:02.051277;d522385cb77118eeaf54a7d1cacbbf48;original;20;7;7;False;False;True;True;N/A;N/A;N/A
00006-00000024.toc;24;2024-10-16 17:43:02.051277;56aa1793510d8855a06927dfb20f4d75;original;20;7;7;False;False;True;True;N/A;N/A;N/A
00006-00000025.toc;25;2024-10-16 17:43:02.051277;00630dedb167e2b3ff68bcfcc91fcf29;original;30;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000026.toc;26;2024-10-16 17:43:02.051277;bfc17c450cedfb649fcef30937141933;original;23;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000027.toc;27;2024-10-16 17:43:02.051277;9d085ccf4c550782d705264c96a55216;original;30;9;9;False;False;True;True;N/A;N/A;N/A
00006-00000028.soc;28;2024-10-16 17:43:02.051277;44a1399ce7b692b43fe4da319028e4ce;original;24;9;9;False;True;True;True;False;False;True
