file;file_number;last_modif;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00011-00000001.soc;1;2024-11-15 12:55:27.134336;original;240;5;5;False;True;True;True;False;False;False
00011-00000002.soc;2;2024-11-15 12:55:27.134336;original;242;5;5;False;True;True;False;False;False;False
00011-00000003.soc;3;2024-11-15 12:55:27.134336;original;103;5;5;False;True;True;True;False;False;False
00011-00000004.soi;4;2024-11-15 12:55:27.134336;original;1467;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000004.toc;4;2024-11-15 12:55:27.134336;imbued;1467;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000005.soi;5;2024-11-15 12:55:27.138336;original;1673;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000005.toc;5;2024-11-15 12:55:27.138336;imbued;1673;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000006.soi;6;2024-11-15 12:55:27.138336;original;1449;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000006.toc;6;2024-11-15 12:55:27.138336;imbued;1449;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000007.soi;7;2024-11-15 12:55:27.142336;original;1474;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000007.toc;7;2024-11-15 12:55:27.142336;imbued;1474;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000008.soi;8;2024-11-15 12:55:27.142336;original;1572;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000008.toc;8;2024-11-15 12:55:27.146336;imbued;1572;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000009.soi;9;2024-11-15 12:55:27.146336;original;1272;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000009.toc;9;2024-11-15 12:55:27.146336;imbued;1272;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000010.soi;10;2024-11-15 12:55:27.146336;original;2096;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000010.toc;10;2024-11-15 12:55:27.150336;imbued;2096;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000011.soi;11;2024-11-15 12:55:27.150336;original;1545;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000011.toc;11;2024-11-15 12:55:27.150336;imbued;1545;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000012.soi;12;2024-11-15 12:55:27.150336;original;1210;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000012.toc;12;2024-11-15 12:55:27.150336;imbued;1210;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000013.soi;13;2024-11-15 12:55:27.150336;original;1363;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000013.toc;13;2024-11-15 12:55:27.150336;imbued;1363;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000014.soi;14;2024-11-15 12:55:27.154336;original;1375;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000014.toc;14;2024-11-15 12:55:27.154336;imbued;1375;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000015.soi;15;2024-11-15 12:55:27.154336;original;1563;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000015.toc;15;2024-11-15 12:55:27.154336;imbued;1563;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000016.soi;16;2024-11-15 12:55:27.154336;original;1708;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000016.toc;16;2024-11-15 12:55:27.154336;imbued;1708;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000017.soi;17;2024-11-15 12:55:27.154336;original;2015;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000017.toc;17;2024-11-15 12:55:27.154336;imbued;2015;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000018.soi;18;2024-11-15 12:55:27.158336;original;1681;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000018.toc;18;2024-11-15 12:55:27.158336;imbued;1681;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000019.soi;19;2024-11-15 12:55:27.158336;original;2104;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000019.toc;19;2024-11-15 12:55:27.158336;imbued;2104;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000020.soi;20;2024-11-15 12:55:27.158336;original;1870;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000020.toc;20;2024-11-15 12:55:27.158336;imbued;1870;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000021.soi;21;2024-11-15 12:55:27.158336;original;1347;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000021.toc;21;2024-11-15 12:55:27.158336;imbued;1347;4;4;False;False;True;N/A;N/A;N/A;N/A
00011-00000022.soi;22;2024-11-15 12:55:27.162336;original;1514;4;4;False;True;False;N/A;N/A;N/A;N/A
00011-00000022.toc;22;2024-11-15 12:55:27.162336;imbued;1514;4;4;False;False;True;N/A;N/A;N/A;N/A
