userid,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
25332,5,5,3,4,4,4,3,3,2,2,4,3,2,3,3,4,2,4,4,4,3,4,2
34682,1,2,2,4,4,1,5,1,3,1,1,4,2,3,1,5,1,3,2,3,2,2,1
8727,4,5,3,5,3,2,4,2,2,2,5,2,4,3,2,2,2,5,5,5,4,2,3
6614,4,5,3,3,2,3,3,5,3,3,4,2,2,2,2,3,3,3,4,5,5,5,4
3545,2,2,2,3,1,3,4,1,4,3,3,2,1,3,1,2,1,3,3,4,4,1,4
21235,2,4,1,3,4,1,1,3,1,4,5,3,3,2,1,3,2,4,5,4,4,4,1
2151,3,3,1,5,1,2,2,1,2,1,3,1,1,2,1,1,1,5,4,1,5,1,3
31239,3,5,4,1,2,2,1,1,1,1,3,4,3,3,2,2,3,3,3,4,4,3,5
25117,5,4,5,4,4,4,2,2,3,2,4,5,2,2,2,3,2,4,4,5,5,2,2
26200,4,5,3,4,3,3,3,3,2,2,4,2,2,2,2,2,3,5,5,5,5,3,5
11672,4,2,2,4,3,3,3,2,3,3,3,1,1,1,2,2,2,3,4,3,3,3,3
26553,4,4,3,3,3,4,2,1,3,1,3,3,2,3,3,3,3,4,3,3,5,3,3
15115,4,5,5,1,1,5,5,3,1,5,3,1,1,1,1,4,1,3,1,2,3,4,1
29980,3,4,0,4,2,3,3,2,1,1,5,2,2,4,2,1,1,2,1,4,5,4,3
38742,2,5,5,3,3,5,2,5,3,3,3,3,4,3,1,4,1,4,4,5,4,5,4
23521,4,4,2,2,1,1,2,3,1,1,1,2,1,1,1,1,1,4,3,4,3,1,1
38363,5,5,4,3,3,3,3,4,2,2,4,3,1,4,1,3,4,4,2,5,2,4,3
9315,5,5,3,4,3,3,3,4,3,3,3,2,3,2,2,2,2,4,3,2,4,2,3
923,2,1,1,3,3,2,3,1,1,1,4,1,1,4,1,1,2,3,3,4,5,2,2
11154,4,4,3,1,5,2,2,2,2,2,3,1,4,2,3,2,2,3,3,3,2,3,4
2298,4,4,3,2,2,2,3,1,1,1,4,2,1,1,1,2,2,4,2,4,3,3,3
26476,4,4,2,3,2,2,3,2,1,1,3,2,1,1,1,1,1,5,5,5,4,4,5
21845,5,2,1,5,3,5,1,3,3,3,5,1,1,4,1,1,1,5,2,5,2,1,5
14813,4,4,1,3,5,3,3,4,4,4,3,2,3,3,5,4,2,2,5,4,3,4,1
8872,4,5,1,1,1,5,1,5,3,4,1,2,2,2,2,3,2,4,5,5,2,5,2
3499,4,5,3,2,1,2,2,5,3,5,4,4,3,2,4,3,3,4,3,4,3,4,4
12328,2,3,3,1,1,1,4,1,1,1,2,3,1,1,1,1,2,4,2,4,1,2,4
12255,2,1,4,3,4,3,4,1,1,2,5,3,1,4,1,3,2,5,4,5,2,3,5
37811,3,4,4,1,2,4,5,2,1,1,2,1,1,1,1,1,1,5,2,3,4,2,4
19955,2,4,1,5,1,3,3,3,1,1,4,1,1,1,1,1,1,4,4,4,4,1,3
5510,4,5,3,2,1,2,1,1,1,3,3,1,1,1,1,1,1,2,3,4,2,4,1
19645,4,3,2,4,1,5,1,3,1,1,3,1,1,2,1,1,2,4,5,5,4,3,3
19358,1,5,3,1,1,1,1,2,1,1,5,1,1,1,1,1,3,5,3,5,5,5,5
8783,5,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,2
33856,4,5,4,3,5,3,5,1,1,1,3,3,2,2,1,1,1,4,2,5,3,3,4
27286,3,5,3,2,2,3,3,3,2,3,3,2,2,2,2,1,1,4,3,4,3,2,4
34376,4,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,2
38359,5,3,3,4,3,3,3,1,1,1,3,1,3,2,3,2,3,5,4,5,4,3,3
26300,4,4,3,2,2,3,5,4,4,2,4,3,3,4,3,4,3,4,3,3,4,5,2
