userid,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116
25332,3,4,4,2,5,5,3,3,2,4,3,2,5,3,4,3
34682,3,3,4,3,4,3,4,2,1,5,4,3,5,5,5,4
8727,3,4,5,1,1,1,2,2,1,3,4,2,3,4,2,2
6614,3,3,3,4,4,4,4,5,5,3,3,4,5,4,2,4
17546,3,4,4,4,4,2,3,2,1,4,3,3,4,3,2,4
3545,2,2,3,2,3,4,3,4,3,5,3,1,5,4,3,2
21235,3,2,3,1,5,2,3,5,3,1,3,3,5,3,3,2
2151,3,2,2,2,3,3,1,3,1,3,4,1,5,4,1,3
31239,1,2,1,2,2,4,3,2,2,4,1,1,4,3,3,4
25117,1,3,5,3,5,5,5,5,3,3,2,4,5,5,4,1
26200,4,4,4,5,4,5,3,5,3,5,5,4,5,4,4,5
11672,4,3,2,4,1,4,4,3,3,4,1,2,3,4,4,4
26553,1,4,3,2,4,5,3,4,2,3,1,2,4,3,4,3
15115,1,1,1,1,1,3,3,3,1,3,5,3,3,3,3,3
29980,1,1,3,2,4,2,1,2,1,1,1,1,2,4,2,4
38742,1,3,4,3,5,4,4,2,3,1,5,1,4,5,5,5
23521,2,3,1,2,2,5,3,3,2,1,1,1,2,1,3,3
38363,1,4,4,1,4,5,4,3,3,4,2,1,5,4,3,2
9391,2,2,2,1,3,3,3,2,4,2,2,3,3,2,3,3
923,1,3,5,1,3,5,5,2,3,5,3,5,5,3,2,3
11154,1,2,2,1,2,3,2,2,2,3,2,2,4,3,4,3
2298,3,3,4,2,3,4,2,2,2,2,2,3,3,3,4,3
26476,2,2,2,1,4,1,1,3,1,3,3,4,5,5,2,1
21845,2,5,2,1,4,4,3,2,1,1,5,1,3,1,2,1
14813,3,5,4,5,5,3,3,3,3,3,4,3,3,4,2,3
8872,3,4,5,4,5,5,1,1,1,1,1,1,5,1,5,5
3499,2,4,5,4,5,4,4,4,3,3,4,5,3,3,2,3
12328,1,1,1,1,2,5,1,1,1,3,1,1,2,2,4,2
12255,1,3,4,2,3,4,2,3,3,5,5,4,5,3,4,3
37811,2,2,4,3,5,5,3,1,1,1,4,4,4,4,1,2
19955,2,4,4,5,4,4,3,4,1,1,3,1,5,3,3,1
5510,1,1,4,2,5,3,2,2,2,1,3,1,4,1,2,1
19645,3,2,3,4,5,1,1,1,2,2,5,1,4,5,3,5
19358,1,3,2,3,3,5,3,5,1,1,1,1,1,2,5,5
8783,1,3,1,2,4,3,3,2,1,1,1,1,3,2,5,5
33856,3,3,2,3,1,4,1,1,2,2,5,5,3,4,2,5
27286,2,2,3,3,4,4,4,3,3,2,2,3,4,3,2,3
34376,3,3,3,1,3,5,1,3,1,1,1,1,5,5,1,1
38359,4,3,5,1,2,5,3,4,2,2,3,4,5,4,5,5
26300,2,4,4,1,2,4,3,3,2,5,2,3,3,4,3,2
2601,2,2,3,3,4,5,2,3,2,2,5,3,5,2,2,1
