file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00019-00000001.toi;1;2025-10-10 19:58:00.089690;03e520d887434cdb58936913759f2ecf;original;8;20981;356;False;False;False;True;N/A;N/A;N/A
00019-00000001.toc;1;2025-10-10 19:58:00.089690;c9ca13747953ec837c6e37e785dc1810;imbued;8;20981;356;False;False;True;True;False;N/A;N/A
00019-00000002.toi;2;2025-10-10 19:58:00.090719;8e9f6d2480e56ca54a8e1b05f97531bf;original;11;119256;1090;False;False;False;True;N/A;N/A;N/A
00019-00000002.toc;2;2025-10-10 19:58:00.090719;59d2088ecc7c83096ac3f734ebafbc78;imbued;11;119256;1090;False;False;True;True;False;N/A;N/A
00019-00000003.toi;3;2025-10-10 19:58:00.092189;0399cb8e921954374f93f8a096ee1b7a;original;6;144229;182;False;False;False;True;N/A;N/A;N/A
00019-00000003.toc;3;2025-10-10 19:58:00.090719;6676916edc004b3a7d863d7d612116a8;imbued;6;144229;182;False;False;True;True;False;N/A;N/A
00019-00000004.toi;4;2025-10-10 19:58:00.092189;a6700ed35701850280b61cf93237b584;original;8;28660;354;False;False;False;False;N/A;N/A;N/A
00019-00000004.toc;4;2025-10-10 19:58:00.092189;4e26433e9ca11d3fceae466e6c023d60;imbued;8;28660;354;False;False;True;True;False;N/A;N/A
00019-00000005.toi;5;2025-10-10 19:58:00.093247;cb9dd5b4351c7eea130aa199a3c13eba;original;7;22079;245;False;False;False;True;N/A;N/A;N/A
00019-00000005.toc;5;2025-10-10 19:58:00.093247;297fb02b39c16fda56adeef8cd91d961;imbued;7;22079;245;False;False;True;True;False;N/A;N/A
00019-00000006.toi;6;2025-10-10 19:58:00.094344;54e69d6684608fcf0282ccdef0a2d079;original;5;11266;80;False;False;False;True;N/A;N/A;N/A
00019-00000006.toc;6;2025-10-10 19:58:00.094344;1036e23ad60476010d85fd10a7e009ef;imbued;5;11266;80;False;False;True;True;False;N/A;N/A
00019-00000007.toi;7;2025-10-10 19:58:00.095583;ef6634c134936b0bdd708f44cc7eec32;original;4;20674;44;False;False;False;True;N/A;N/A;N/A
00019-00000007.toc;7;2025-10-10 19:58:00.094344;e611fa84281b93e0541e7669a880d01f;imbued;4;20674;44;False;False;True;True;False;N/A;N/A
