file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00021-00000001.toi;1;2024-10-16 17:43:02.147277;6a2150a17408ee985eb07998ceb234ea;original;10;28777;635;False;False;False;True;N/A;N/A;N/A
00021-00000001.toc;1;2024-10-16 17:43:02.147277;3534f7f083cd01358338bd41c0ddc046;imbued;10;28777;635;False;False;True;True;False;N/A;N/A
00021-00000002.toi;2;2024-10-16 17:43:02.151277;f6d4a73ada918ed092537c9a994761af;original;10;24717;470;False;False;False;True;N/A;N/A;N/A
00021-00000002.toc;2;2024-10-16 17:43:02.151277;5ec3a6a3ea9e74a1d6fc8e35ba89b91a;imbued;10;24717;470;False;False;True;True;False;N/A;N/A
00021-00000003.toi;3;2024-10-16 17:43:02.151277;03b9c2888970752afd42147d4f93cb81;original;10;27310;653;False;False;False;True;N/A;N/A;N/A
00021-00000003.toc;3;2024-10-16 17:43:02.151277;47d855944ac8894fa7a3e1aa9e3dce65;imbued;10;27310;653;False;False;True;True;False;N/A;N/A
00021-00000004.toi;4;2024-10-16 17:43:02.151277;642863c918446af9d9b263cd2f60a3e1;original;4;29426;38;False;False;False;True;N/A;N/A;N/A
00021-00000004.toc;4;2024-10-16 17:43:02.151277;c5c70693ecdb725bd3e0b9d0bfb0f12c;imbued;4;29426;38;False;False;True;True;False;N/A;N/A
00021-00000005.toi;5;2024-10-16 17:43:02.151277;32442970cdb36f2a33512fcc614a2515;original;8;26634;331;False;False;False;True;N/A;N/A;N/A
00021-00000005.toc;5;2024-10-16 17:43:02.151277;8c270a57352ccaf5d53bf79458446bce;imbued;8;26634;331;False;False;True;True;False;N/A;N/A
00021-00000006.toi;6;2024-10-16 17:43:02.151277;f253e7dd041057005bb039fc4da0752c;original;22;18001;3553;False;False;False;True;N/A;N/A;N/A
00021-00000006.toc;6;2024-10-16 17:43:02.151277;09132432c41283cacc382cf301d1a969;imbued;22;18001;3553;False;False;True;True;N/A;N/A;N/A
00021-00000007.toi;7;2024-10-16 17:43:02.151277;c840234864fbe3c077f8343d7bec9144;original;7;24109;211;False;False;False;True;N/A;N/A;N/A
00021-00000007.toc;7;2024-10-16 17:43:02.151277;c15fb1b48f957c3d8d11d48258d63d84;imbued;7;24109;211;False;False;True;True;False;N/A;N/A
00021-00000008.toi;8;2024-10-16 17:43:02.151277;66f830dbd0de4745dd9df4fdc8977e91;original;15;21188;1728;False;False;False;True;N/A;N/A;N/A
00021-00000008.toc;8;2024-10-16 17:43:02.151277;9885fdf221c0b87e8df07a2e654a1a90;imbued;15;21188;1728;False;False;True;True;N/A;N/A;N/A
00021-00000009.toi;9;2024-10-16 17:43:02.151277;ae8ae335e76cb6f6c361fa38998cc3e3;original;5;34931;71;False;False;False;True;N/A;N/A;N/A
00021-00000009.toc;9;2024-10-16 17:43:02.151277;68eb444c4d638ef78c1f96cd406f631f;imbued;5;34931;71;False;False;True;True;False;N/A;N/A
00021-00000010.toi;10;2024-10-16 17:43:02.151277;b2b85ec3b1575ca874415443479f945a;original;6;183466;108;False;False;False;True;N/A;N/A;N/A
00021-00000010.toc;10;2024-10-16 17:43:02.151277;8b105a22446e8d0f67e5c5e2e576d62a;imbued;6;183466;108;False;False;True;True;False;N/A;N/A
00021-00000011.toi;11;2024-10-16 17:43:02.151277;a83257408b2540816350d67fee7f6b9c;original;25;194530;3294;False;False;False;True;N/A;N/A;N/A
00021-00000011.toc;11;2024-10-16 17:43:02.151277;1dadc810e4ce6c13076f54d6c98138b9;imbued;25;194530;3294;False;False;True;True;N/A;N/A;N/A
00021-00000012.toi;12;2024-10-16 17:43:02.151277;3dadcc87ca25c74ebddbca64aa4377c8;original;5;183192;51;False;False;False;True;N/A;N/A;N/A
00021-00000012.toc;12;2024-10-16 17:43:02.151277;e3204b5e44d2f467b34f4a060477122a;imbued;5;183192;51;False;False;True;True;False;N/A;N/A
00021-00000013.toi;13;2024-10-16 17:43:02.151277;fd118169eaf21a6098b10ab4e55cc7de;original;9;35183;436;False;False;False;True;N/A;N/A;N/A
00021-00000013.toc;13;2024-10-16 17:43:02.151277;2bdb2387c222d69b4e232652a4589eb1;imbued;9;35183;436;False;False;True;True;False;N/A;N/A
00021-00000014.toi;14;2024-10-16 17:43:02.155277;5e8db5e694ce40bd07b85c98656bce90;original;10;31437;621;False;False;False;True;N/A;N/A;N/A
00021-00000014.toc;14;2024-10-16 17:43:02.155277;d6c10613e6575b15e2aefe77dce3abbd;imbued;10;31437;621;False;False;True;True;False;N/A;N/A
