file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00028-00000001.soi;1;2024-10-16 17:43:02.155277;ba835d5650c19207609274702368ba34;original;5;18723;292;False;True;False;True;N/A;N/A;N/A
00028-00000001.toc;1;2024-10-16 17:43:02.155277;e7d95d64e3dbb2a1c599c0d8b645febc;imbued;5;18723;205;False;False;True;True;False;N/A;N/A
00028-00000002.soi;2;2024-10-16 17:43:02.155277;b17df3c97c3768be4ccf715704f00f88;original;5;17469;299;False;True;False;True;N/A;N/A;N/A
00028-00000002.toc;2;2024-10-16 17:43:02.155277;ffdd1600e74c0da67e1c287ef61f9440;imbued;5;17469;204;False;False;True;True;False;N/A;N/A
00028-00000003.soi;3;2024-10-16 17:43:02.155277;52a0b56db769825ed358f9660f42522b;original;5;20239;300;False;True;False;True;N/A;N/A;N/A
00028-00000003.toc;3;2024-10-16 17:43:02.155277;a4cbd70778a4ec4ff00f0952ab02e8d2;imbued;5;20239;205;False;False;True;True;False;N/A;N/A
00028-00000004.soi;4;2024-10-16 17:43:02.155277;4b54f52c52eff2f96d065ee02b8689a5;original;5;17911;302;False;True;False;True;N/A;N/A;N/A
00028-00000004.toc;4;2024-10-16 17:43:02.155277;eb5539025f70b66fe2ae2e3490b720f1;imbued;5;17911;205;False;False;True;True;False;N/A;N/A
00028-00000005.soi;5;2024-10-16 17:43:02.155277;c0f8b0201a2727427f4c3d698721d6c3;original;5;17094;302;False;True;False;True;N/A;N/A;N/A
00028-00000005.toc;5;2024-10-16 17:43:02.155277;33ed03e467bf243bb9b3fbc620371486;imbued;5;17094;205;False;False;True;True;False;N/A;N/A
00028-00000006.soi;6;2024-10-16 17:43:02.155277;977a79aba57fa307e1a2742f55be0d5a;original;5;17956;286;False;True;False;True;N/A;N/A;N/A
00028-00000006.toc;6;2024-10-16 17:43:02.155277;df6099990dd0a6730b64673c795234a3;imbued;5;17956;202;False;False;True;True;False;N/A;N/A
00028-00000007.soi;7;2024-10-16 17:43:02.155277;3793fabddf7db1e2d2d3a7877385c803;original;5;16245;303;False;True;False;True;N/A;N/A;N/A
00028-00000007.toc;7;2024-10-16 17:43:02.155277;5a8f8952313a2da631affb6a558d0c8e;imbued;5;16245;205;False;False;True;True;False;N/A;N/A
00028-00000008.soi;8;2024-10-16 17:43:02.155277;541f9df9a71172159301690a30ac3201;original;5;14506;289;False;True;False;True;N/A;N/A;N/A
00028-00000008.toc;8;2024-10-16 17:43:02.155277;dd2c1cd75e5bd89a092dbd2294e85ec2;imbued;5;14506;205;False;False;True;True;False;N/A;N/A
00028-00000009.soi;9;2024-10-16 17:43:02.155277;eff9e03d68b0a56851cf7b0176e234cc;original;5;16836;289;False;True;False;True;N/A;N/A;N/A
00028-00000009.toc;9;2024-10-16 17:43:02.155277;e2d097ea60744e0f5ebac6d8909e0fba;imbued;5;16836;205;False;False;True;True;False;N/A;N/A
00028-00000010.soi;10;2024-10-16 17:43:02.155277;1ce98bf2c3cef8f50aff42239583f7df;original;5;13318;289;False;True;False;True;N/A;N/A;N/A
00028-00000010.toc;10;2024-10-16 17:43:02.155277;f7667cf5b74c7cde4f362a4e16b00da9;imbued;5;13318;205;False;False;True;True;False;N/A;N/A
00028-00000011.soi;11;2024-10-16 17:43:02.155277;4a032f20211fcbf527dcbdb691699392;original;5;18286;297;False;True;False;True;N/A;N/A;N/A
00028-00000011.toc;11;2024-10-16 17:43:02.155277;7bb1b77e6dd2f7d67b6ebd8105c2c08c;imbued;5;18286;205;False;False;True;True;False;N/A;N/A
00028-00000012.soi;12;2024-10-16 17:43:02.155277;9b2a15f42cb0537b6e2ba33a23429a4a;original;5;15313;292;False;True;False;True;N/A;N/A;N/A
00028-00000012.toc;12;2024-10-16 17:43:02.155277;44f89c8b46910b1231610a285426e215;imbued;5;15313;205;False;False;True;True;False;N/A;N/A
