file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00032-00000001.soi;1;2025-10-10 19:58:00.144036;69e9d6a66ef52a556c55540804856c4d;original;6;32;31;False;True;False;True;N/A;N/A;N/A
00032-00000002.soc;2;2025-10-10 19:58:00.144036;4c1334faee56d7b2154280d77b38c08f;original;6;15;15;False;True;True;True;False;False;True
00032-00000003.soi;3;2025-10-10 19:58:00.144036;8f4e79c8479b7bdd6dddf30fd5609fdd;original;6;47;46;False;True;False;True;N/A;N/A;N/A
00032-00000004.toi;4;2025-10-10 19:58:00.145140;5ee94447a44e6b6bf98ea79465f05973;original;12;15;15;False;False;False;True;N/A;N/A;N/A
00032-00000004.toc;4;2025-10-10 19:58:00.144036;9bfa4c004cdb0595af936b62806aaeeb;imbued;12;15;15;False;False;True;False;False;N/A;N/A
00032-00000005.soi;5;2025-10-10 19:58:00.145140;4917cac6dfdc45859f97a399447003f3;original;13;14;13;False;True;False;True;N/A;N/A;N/A
00032-00000006.toi;6;2025-10-10 19:58:00.146429;486f22b9c2db7d0acc3d5305372233ef;original;32;15;15;False;False;False;True;N/A;N/A;N/A
00032-00000006.toc;6;2025-10-10 19:58:00.145140;d8e91e595e9a267bd79baea7d1f8808e;imbued;32;15;15;False;False;True;True;N/A;N/A;N/A
00032-00000007.toi;7;2025-10-10 19:58:00.146429;0881eb32d459596477ceb98295068e46;original;20;15;15;False;False;False;True;N/A;N/A;N/A
00032-00000007.toc;7;2025-10-10 19:58:00.146429;0c79eb917721ebd7c67f2e8f0b821660;imbued;20;15;15;False;False;True;False;N/A;N/A;N/A
