00035-00000002.soc;00035-00000003.soc;00035-00000004.soc;00035-00000005.soc;00035-00000006.soc;00035-00000007.soc
Overall preference;Juice, bacon and eggs, beverage;Juice, cold cereal, beverage;Juice, pancakes, sausage, beverage;Breakfast, with beverage only;At snack time, with beverage only
12,14,4,13,6,3,11,8,9,5,2,10,15,7,1;8,9,3,2,6,10,5,11,13,15,4,14,12,7,1;6,3,4,13,8,9,15,2,10,5,11,12,14,7,1;4,6,13,12,14,11,3,15,8,9,5,2,10,7,1;12,14,4,13,6,3,15,8,9,11,5,7,2,10,1;12,14,6,11,13,15,4,3,8,9,7,5,2,10,1
11,6,5,13,14,12,9,8,7,2,10,3,15,4,1;9,2,10,7,5,6,3,8,11,12,13,4,15,14,1;9,8,11,12,13,6,4,2,10,1,5,7,14,3,15;14,13,11,12,4,1,6,8,9,2,10,5,3,7,15;11,12,13,14,3,6,1,8,9,2,4,10,5,7,15;14,11,12,13,7,3,4,8,9,2,10,6,1,5,15
12,13,4,11,14,1,5,6,9,8,3,7,15,2,10;2,10,9,8,7,3,15,6,1,5,14,4,13,11,12;9,2,8,10,5,1,3,14,7,6,11,15,4,13,12;14,11,13,4,12,6,3,5,1,10,2,8,9,7,15;11,12,13,4,14,1,2,10,9,8,6,5,3,7,15;13,4,11,14,12,1,7,15,6,3,9,8,2,10,5
12,6,14,13,15,3,9,8,2,10,11,7,5,4,1;9,8,2,10,3,15,6,5,7,14,12,13,4,11,1;12,6,14,13,15,3,9,8,2,10,11,7,5,4,1;12,6,14,9,8,2,10,3,15,5,13,4,11,7,1;12,6,14,13,15,3,9,8,2,10,11,7,5,4,1;12,6,14,13,15,11,4,3,9,8,2,10,7,5,1
14,12,13,4,11,6,5,9,1,8,2,10,15,3,7;2,10,9,6,13,4,11,14,12,5,1,8,15,3,7;14,11,12,13,4,6,5,9,1,8,2,10,15,3,7;9,5,6,4,13,11,12,14,1,8,2,10,15,3,7;14,11,12,13,4,6,5,9,1,8,2,10,15,3,7;14,11,12,13,4,6,5,9,1,8,2,10,15,3,7
13,12,14,6,3,4,11,5,1,15,8,9,7,2,10;1,7,2,10,8,9,5,11,14,13,15,12,3,6,4;13,15,11,5,6,7,1,2,10,12,14,8,9,3,4;13,15,11,6,5,7,1,2,8,12,14,10,9,3,4;13,12,14,6,3,4,11,5,1,15,8,9,7,2,10;13,12,14,6,4,3,11,5,1,15,9,7,8,2,10
12,6,11,14,13,4,9,8,5,2,10,3,7,15,1;9,8,5,2,10,7,6,14,11,3,13,15,4,12,1;8,9,5,2,10,14,11,13,4,6,7,12,15,3,1;12,6,11,14,13,4,9,8,5,2,10,3,7,15,1;12,6,11,14,13,4,9,8,5,2,10,3,7,15,1;12,6,11,14,13,4,9,8,5,2,10,3,7,15,1
14,3,9,4,5,13,11,6,12,7,8,2,10,15,1;9,3,5,6,11,15,8,2,10,14,4,13,12,7,1;14,12,11,9,3,5,6,15,8,2,10,7,1,4,13;4,13,9,5,3,6,15,11,12,14,1,8,2,10,7;14,12,11,3,5,6,9,7,15,4,13,8,2,10,1;4,13,5,12,6,3,9,7,8,11,1,15,14,2,10
14,12,15,6,11,5,4,13,7,3,9,8,2,10,1;15,6,11,5,3,9,8,2,10,7,14,12,4,13,1;15,6,11,14,12,4,13,7,5,3,9,8,2,10,1;2,10,8,9,3,5,7,15,6,11,13,4,1,14,12;14,12,15,6,7,11,4,13,5,9,3,2,10,8,1;15,6,4,13,11,5,7,9,3,8,2,10,14,12,1
