Bidder,Submission,Bid
spc-1,178,yes
spc-1,224,yes
spc-1,343,yes
spc-1,394,yes
spc-1,436,yes
spc-1,473,yes
spc-2,23,conflict
spc-2,147,conflict
spc-2,359,conflict
spc-2,488,conflict
spc-2,493,conflict
spc-2,120,maybe
spc-2,308,maybe
spc-2,314,maybe
spc-2,384,maybe
spc-2,507,maybe
spc-2,12,yes
spc-2,13,yes
spc-2,50,yes
spc-2,88,yes
spc-2,98,yes
spc-2,102,yes
spc-2,118,yes
spc-2,122,yes
spc-2,137,yes
spc-2,139,yes
spc-2,190,yes
spc-2,203,yes
spc-2,211,yes
spc-2,282,yes
spc-2,289,yes
spc-2,410,yes
spc-2,435,yes
spc-2,447,yes
spc-2,449,yes
spc-2,454,yes
spc-2,510,yes
spc-3,190,conflict
spc-3,372,conflict
spc-3,391,conflict
spc-3,63,maybe
spc-3,275,maybe
spc-3,293,maybe
spc-3,297,maybe
spc-3,324,maybe
spc-3,338,maybe
spc-3,371,maybe
spc-3,380,maybe
spc-3,418,maybe
spc-3,446,maybe
spc-3,498,maybe
spc-3,58,yes
spc-3,471,yes
spc-3,492,yes
spc-3,508,yes
spc-3,517,yes
spc-4,48,conflict
spc-4,210,conflict
spc-4,14,maybe
spc-4,27,maybe
spc-4,36,maybe
spc-4,65,maybe
spc-4,105,maybe
spc-4,135,maybe
spc-4,149,maybe
spc-4,153,maybe
spc-4,170,maybe
spc-4,175,maybe
spc-4,186,maybe
spc-4,197,maybe
spc-4,209,maybe
spc-4,211,maybe
spc-4,215,maybe
spc-4,219,maybe
spc-4,229,maybe
spc-4,234,maybe
spc-4,236,maybe
spc-4,284,maybe
spc-4,297,maybe
spc-4,301,maybe
spc-4,318,maybe
spc-4,335,maybe
spc-4,348,maybe
spc-4,360,maybe
spc-4,376,maybe
spc-4,377,maybe
spc-4,388,maybe
spc-4,413,maybe
spc-4,429,maybe
spc-4,455,maybe
spc-4,460,maybe
spc-4,461,maybe
spc-4,463,maybe
spc-4,468,maybe
spc-4,490,maybe
spc-4,495,maybe
spc-4,523,maybe
spc-4,19,yes
spc-4,31,yes
spc-4,37,yes
spc-4,38,yes
spc-4,62,yes
spc-4,116,yes
spc-4,151,yes
spc-4,185,yes
spc-4,189,yes
spc-4,256,yes
spc-4,269,yes
spc-4,281,yes
spc-4,288,yes
spc-4,299,yes
spc-4,390,yes
spc-4,395,yes
spc-4,407,yes
spc-4,485,yes
spc-4,511,yes
spc-5,10,conflict
spc-5,91,conflict
spc-5,243,conflict
spc-5,435,conflict
spc-5,517,conflict
spc-5,58,maybe
spc-5,62,maybe
spc-5,63,maybe
spc-5,69,maybe
spc-5,77,maybe
spc-5,83,maybe
spc-5,100,maybe
spc-5,195,maybe
spc-5,218,maybe
spc-5,221,maybe
spc-5,232,maybe
spc-5,248,maybe
spc-5,275,maybe
spc-5,359,maybe
spc-5,380,maybe
spc-5,407,maybe
spc-5,434,maybe
spc-5,471,maybe
spc-5,491,maybe
spc-5,492,maybe
spc-5,508,maybe
spc-5,293,yes
spc-5,338,yes
spc-5,415,yes
spc-5,418,yes
spc-5,446,yes
spc-6,22,conflict
spc-6,25,conflict
spc-6,60,conflict
spc-6,86,conflict
spc-6,120,conflict
spc-6,140,conflict
spc-6,146,conflict
spc-6,160,conflict
spc-6,240,conflict
spc-6,241,conflict
spc-6,262,conflict
spc-6,298,conflict
spc-6,326,conflict
spc-6,357,conflict
spc-6,362,conflict
spc-6,367,conflict
spc-6,411,conflict
spc-6,421,conflict
spc-6,429,conflict
spc-6,431,conflict
spc-6,456,conflict
spc-6,522,conflict
spc-6,11,maybe
spc-6,69,maybe
spc-6,228,maybe
spc-6,232,maybe
spc-6,234,maybe
spc-6,259,maybe
spc-6,284,maybe
spc-6,321,maybe
spc-6,323,maybe
spc-6,340,maybe
spc-6,346,maybe
spc-6,354,maybe
spc-6,361,maybe
spc-6,380,maybe
spc-6,400,maybe
spc-6,403,maybe
spc-6,425,maybe
spc-6,438,maybe
spc-6,453,maybe
spc-6,459,maybe
spc-6,462,maybe
spc-6,519,maybe
spc-6,83,yes
spc-6,195,yes
spc-6,218,yes
spc-6,221,yes
spc-6,248,yes
spc-6,341,yes
spc-6,365,yes
spc-6,471,yes
spc-6,508,yes
spc-6,520,yes
spc-7,209,conflict
spc-7,417,conflict
spc-7,454,conflict
spc-7,491,conflict
spc-7,14,yes
spc-7,19,yes
spc-7,21,yes
spc-7,31,yes
spc-7,34,yes
spc-7,38,yes
spc-7,76,yes
spc-7,88,yes
spc-7,105,yes
spc-7,110,yes
spc-7,114,yes
spc-7,148,yes
spc-7,149,yes
spc-7,159,yes
spc-7,163,yes
spc-7,197,yes
spc-7,216,yes
spc-7,235,yes
spc-7,269,yes
spc-7,281,yes
spc-7,285,yes
spc-7,299,yes
spc-7,300,yes
spc-7,301,yes
spc-7,338,yes
spc-7,378,yes
spc-7,395,yes
spc-7,416,yes
spc-7,455,yes
spc-7,463,yes
spc-7,468,yes
spc-7,478,yes
spc-7,483,yes
spc-7,485,yes
spc-7,492,yes
spc-7,499,yes
spc-7,501,yes
spc-7,511,yes
spc-8,36,conflict
spc-8,299,conflict
spc-8,455,conflict
spc-8,69,maybe
spc-8,82,maybe
spc-8,100,maybe
spc-8,237,maybe
spc-8,248,maybe
spc-8,491,maybe
spc-8,62,yes
spc-8,63,yes
spc-8,77,yes
spc-8,81,yes
spc-8,293,yes
spc-8,338,yes
spc-8,359,yes
spc-8,407,yes
spc-8,415,yes
spc-8,418,yes
spc-8,431,yes
spc-8,434,yes
spc-8,517,yes
spc-9,462,conflict
spc-9,1,maybe
spc-9,14,maybe
spc-9,25,maybe
spc-9,51,maybe
spc-9,61,maybe
spc-9,64,maybe
spc-9,72,maybe
spc-9,97,maybe
spc-9,121,maybe
spc-9,126,maybe
spc-9,135,maybe
spc-9,138,maybe
spc-9,174,maybe
spc-9,182,maybe
spc-9,183,maybe
spc-9,186,maybe
spc-9,200,maybe
spc-9,202,maybe
spc-9,205,maybe
spc-9,208,maybe
spc-9,234,maybe
spc-9,238,maybe
spc-9,248,maybe
spc-9,259,maybe
spc-9,267,maybe
spc-9,286,maybe
spc-9,308,maybe
spc-9,335,maybe
spc-9,339,maybe
spc-9,346,maybe
spc-9,353,maybe
spc-9,358,maybe
spc-9,361,maybe
spc-9,383,maybe
spc-9,414,maybe
spc-9,437,maybe
spc-9,447,maybe
spc-9,453,maybe
spc-9,457,maybe
spc-9,466,maybe
spc-10,12,conflict
spc-10,70,conflict
spc-10,124,conflict
spc-10,155,conflict
spc-10,167,conflict
spc-10,186,conflict
spc-10,204,conflict
spc-10,205,conflict
spc-10,249,conflict
spc-10,402,conflict
spc-10,404,conflict
spc-10,451,conflict
spc-10,472,conflict
spc-10,520,conflict
spc-10,34,maybe
spc-10,135,maybe
spc-10,426,maybe
spc-10,468,maybe
spc-10,490,maybe
spc-10,511,yes
spc-11,20,conflict
spc-11,86,conflict
spc-11,224,conflict
spc-11,292,conflict
spc-11,354,conflict
spc-11,410,conflict
spc-11,437,conflict
spc-11,439,conflict
spc-11,503,conflict
spc-11,78,maybe
spc-11,99,maybe
spc-11,135,maybe
spc-11,456,maybe
spc-11,479,maybe
spc-11,57,yes
spc-11,132,yes
spc-11,367,yes
spc-11,476,yes
spc-11,497,yes
spc-11,523,yes
spc-12,82,conflict
spc-12,345,conflict
spc-12,398,conflict
spc-12,414,conflict
spc-12,37,maybe
spc-12,41,maybe
spc-12,44,maybe
spc-12,109,maybe
spc-12,122,maybe
spc-12,143,maybe
spc-12,205,maybe
spc-12,356,maybe
spc-12,373,maybe
spc-12,426,maybe
spc-12,501,maybe
spc-12,40,yes
spc-12,55,yes
spc-12,162,yes
spc-12,220,yes
spc-12,235,yes
spc-12,236,yes
spc-12,261,yes
spc-12,285,yes
spc-12,300,yes
spc-12,301,yes
spc-12,349,yes
spc-12,382,yes
spc-12,413,yes
spc-12,420,yes
spc-12,448,yes
spc-12,483,yes
spc-12,497,yes
spc-12,523,yes
spc-13,12,conflict
spc-13,28,conflict
spc-13,61,conflict
spc-13,70,conflict
spc-13,115,conflict
spc-13,140,conflict
spc-13,155,conflict
spc-13,160,conflict
spc-13,182,conflict
spc-13,186,conflict
spc-13,213,conflict
spc-13,249,conflict
spc-13,253,conflict
spc-13,331,conflict
spc-13,366,conflict
spc-13,381,conflict
spc-13,429,conflict
spc-13,437,conflict
spc-13,474,conflict
spc-13,493,conflict
spc-13,500,conflict
spc-13,523,conflict
spc-13,32,maybe
spc-13,33,maybe
spc-13,47,maybe
spc-13,51,maybe
spc-13,150,maybe
spc-13,205,maybe
spc-13,212,maybe
spc-13,227,maybe
spc-13,238,maybe
spc-13,244,maybe
spc-13,251,maybe
spc-13,279,maybe
spc-13,325,maybe
spc-13,354,maybe
spc-13,397,maybe
spc-13,405,maybe
spc-13,410,maybe
spc-13,486,maybe
spc-13,496,maybe
spc-13,42,yes
spc-13,46,yes
spc-13,96,yes
spc-13,109,yes
spc-13,125,yes
spc-13,172,yes
spc-13,240,yes
spc-13,255,yes
spc-13,319,yes
spc-13,321,yes
spc-13,327,yes
spc-13,363,yes
spc-13,396,yes
spc-13,442,yes
spc-13,458,yes
spc-13,487,yes
spc-13,505,yes
spc-14,26,conflict
spc-14,101,conflict
spc-14,133,conflict
spc-14,189,conflict
spc-14,199,conflict
spc-14,222,conflict
spc-14,232,conflict
spc-14,241,conflict
spc-14,345,conflict
spc-14,390,conflict
spc-14,414,conflict
spc-14,445,conflict
spc-14,483,conflict
spc-14,491,conflict
spc-14,63,maybe
spc-14,68,maybe
spc-14,112,maybe
spc-14,157,maybe
spc-14,261,maybe
spc-14,300,maybe
spc-14,378,maybe
spc-14,382,maybe
spc-14,413,maybe
spc-14,448,maybe
spc-14,484,maybe
spc-14,497,maybe
spc-14,40,yes
spc-14,162,yes
spc-14,235,yes
spc-14,334,yes
spc-15,3,conflict
spc-15,80,conflict
spc-15,132,conflict
spc-15,140,conflict
spc-15,160,conflict
spc-15,170,conflict
spc-15,257,conflict
spc-15,424,conflict
spc-15,429,conflict
spc-15,14,maybe
spc-15,25,maybe
spc-15,68,maybe
spc-15,111,maybe
spc-15,127,maybe
spc-15,289,maybe
spc-15,355,maybe
spc-15,479,maybe
spc-15,148,yes
spc-15,186,yes
spc-16,83,conflict
spc-16,162,conflict
spc-16,189,conflict
spc-16,211,conflict
spc-16,221,conflict
spc-16,232,conflict
spc-16,345,conflict
spc-16,390,conflict
spc-16,411,conflict
spc-16,476,conflict
spc-16,483,conflict
spc-16,522,conflict
spc-16,29,maybe
spc-16,40,maybe
spc-16,55,maybe
spc-16,114,maybe
spc-16,236,maybe
spc-16,285,maybe
spc-16,356,maybe
spc-16,369,maybe
spc-16,379,maybe
spc-16,391,maybe
spc-16,398,maybe
spc-16,419,maybe
spc-16,497,maybe
spc-16,235,yes
spc-16,261,yes
spc-16,274,yes
spc-16,300,yes
spc-16,376,yes
spc-16,378,yes
spc-16,382,yes
spc-16,413,yes
spc-16,448,yes
spc-16,523,yes
spc-17,70,conflict
spc-17,120,conflict
