Supervisor,Capacity,Projects
Supervisor 0,3,26 51 54 55 56 57 58 59 60 66 75
Supervisor 1,3,61 62 63
Supervisor 2,3,4 5 6
Supervisor 3,3,52 53
Supervisor 4,3,69 70 71 74
Supervisor 5,2,11 12 13 14 16 17
Supervisor 6,2,64 65 67 68
Supervisor 7,3,19 48 49 50
Supervisor 8,1,72 73
Supervisor 9,3,31 32 33 37 89
Supervisor 10,2,76 77 78 102
Supervisor 11,1,24 25
Supervisor 12,3,82 83 84 85 86 87
Supervisor 13,2,79 80 81
Supervisor 14,3,34 35 36 88 101
Supervisor 15,3,90 91 94 95 96 97
Supervisor 16,3,18 20 21
Supervisor 17,1,27 28 29 30
Supervisor 18,2,7 8 9 10 15
Supervisor 19,2,45 46 47
Supervisor 20,3,44 92 93
Supervisor 21,3,22 23 43
Supervisor 22,1,98 99
Supervisor 23,3,38 39 40 41 42
Supervisor 24,1,100
Supervisor 25,3,0 1 2 3
