file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00042-00000001.soi;1;2024-10-16 17:43:04.915277;38133671e45fc8c39d52ee969ebabef1;original;17;31;11;False;True;False;True;N/A;N/A;N/A
00042-00000001.soc;1;2024-10-16 17:43:04.915277;d0ebfe27a06b0de7eb83b42b9f87bef1;induced;10;21;4;False;True;True;True;True;True;True
00042-00000002.soi;2;2024-10-16 17:43:04.915277;7ede0ee3abf5d98c629272dc331ef156;original;23;46;33;False;True;False;True;N/A;N/A;N/A
00042-00000002.soc;2;2024-10-16 17:43:04.915277;6eca2d08f6a736ec2a840786f45108dd;induced;13;44;19;False;True;True;True;False;False;True
00042-00000003.soi;3;2024-10-16 17:43:04.915277;d84c3ae7fe851d1ee5e9322aa7eeef28;original;20;36;25;False;True;False;True;N/A;N/A;N/A
00042-00000003.soc;3;2024-10-16 17:43:04.915277;087f888c46437b59720356d106ec9ca9;induced;15;24;18;False;True;True;True;False;False;True
00042-00000004.soi;4;2024-10-16 17:43:04.915277;dd8d3341141b73957956d894a2de06c0;original;21;36;23;False;True;False;True;N/A;N/A;N/A
00042-00000004.soc;4;2024-10-16 17:43:04.915277;94843377d2f3664aa5b194c6b3f55a3b;induced;14;23;11;False;True;True;True;False;False;True
00042-00000005.soi;5;2024-10-16 17:43:04.915277;ad10e34e89fb18a704cc5564b618e3bd;original;22;37;16;False;True;False;True;N/A;N/A;N/A
00042-00000005.soc;5;2024-10-16 17:43:04.915277;409372fc92c9cc910412b0d053e5dcb8;induced;13;34;11;False;True;True;True;False;False;True
00042-00000006.soi;6;2024-10-16 17:43:04.915277;c61234acd95206eb1c8425b6533fb740;original;22;37;14;False;True;False;True;N/A;N/A;N/A
00042-00000006.soc;6;2024-10-16 17:43:04.915277;208ab7aa18d18f8a72b71c6988cc496c;induced;12;37;4;False;True;True;True;True;True;True
00042-00000007.soi;7;2024-10-16 17:43:04.915277;13dff4ce4a6a827a998ed08d5bb6a065;original;25;41;18;False;True;False;True;N/A;N/A;N/A
00042-00000007.soc;7;2024-10-16 17:43:04.915277;24ae42c4d40ca3b4fef29a6edf562614;induced;14;19;5;False;True;True;True;False;True;True
00042-00000008.soi;8;2024-10-16 17:43:04.915277;991dfb2b8936fa5ecb64669200720b32;original;22;38;18;False;True;False;True;N/A;N/A;N/A
00042-00000008.soc;8;2024-10-16 17:43:04.915277;6f98ba66f7cb6d2f395e1cc76618fae7;induced;11;38;9;False;True;True;True;False;False;True
00042-00000009.soi;9;2024-10-16 17:43:04.915277;fa862bcc8cb0396b556302cd17aae38f;original;18;9;5;False;True;False;True;N/A;N/A;N/A
00042-00000010.soi;10;2024-10-16 17:43:04.915277;2f3eed428667b2e81da214fb197bb3b8;original;16;31;10;False;True;False;True;N/A;N/A;N/A
00042-00000010.soc;10;2024-10-16 17:43:04.915277;39e7e9b23cea2a3cb60a240f083015b3;induced;10;31;7;False;True;True;True;True;False;True
00042-00000011.soi;11;2024-10-16 17:43:04.915277;9eac6762dc8d3ebb688d137e80e99bc0;original;20;46;29;False;True;False;True;N/A;N/A;N/A
00042-00000011.soc;11;2024-10-16 17:43:04.915277;7b8a0e3d50b4ede9d3f38e2c5737373a;induced;15;20;11;False;True;True;True;False;False;True
00042-00000012.soi;12;2024-10-16 17:43:04.915277;fb3c2cb7c34f0e57e0eda6067f53edd8;original;18;36;18;False;True;False;True;N/A;N/A;N/A
