file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00044-00000001.soi;1;2024-10-16 17:43:04.935277;44692bb42a32f9fc38503a63a11f0509;original;774;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000001.soc;1;2024-10-16 17:43:04.935277;d70a28cf044ab8b2a439fea6a2a431d5;induced;377;11;11;False;True;True;True;False;False;True
00044-00000002.soi;2;2024-10-16 17:43:04.935277;e05fd1cc975a11124b49cb735b3ac1fc;original;803;11;11;False;True;False;N/A;N/A;N/A;N/A
00044-00000002.soc;2;2024-10-16 17:43:04.935277;219abaa73719d168f4e2dd151488494b;induced;446;11;11;False;True;True;True;False;False;True
00044-00000003.soi;3;2024-10-16 17:43:04.935277;48395587c8d5f0bc57bb6d98d45a3d8f;original;1009;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000003.soc;3;2024-10-16 17:43:04.935277;0c91547f02250286e7c3aff83c1727c5;induced;490;11;11;False;True;True;True;False;False;True
00044-00000004.soi;4;2024-10-16 17:43:04.935277;ea00f27ebce5561c928d57030e605c1b;original;1096;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000004.soc;4;2024-10-16 17:43:04.935277;4cd1db812742611cecc64ee5ed3a44d3;induced;588;12;12;False;True;True;N/A;False;False;True
00044-00000005.soi;5;2024-10-16 17:43:04.935277;1473e1837e370cfcfd73b2baa197f43b;original;1227;11;11;False;True;False;N/A;N/A;N/A;N/A
00044-00000005.soc;5;2024-10-16 17:43:04.935277;16496f0f2c8074c30004766141c4b446;induced;603;9;9;False;True;True;N/A;False;False;True
00044-00000006.soi;6;2024-10-16 17:43:04.935277;71b1272f9c0574347fd76b43729b447e;original;1343;11;11;False;True;False;N/A;N/A;N/A;N/A
00044-00000006.soc;6;2024-10-16 17:43:04.935277;68e0eb19d54dea17b538a06c50f89cc1;induced;787;11;11;False;True;True;N/A;False;False;True
00044-00000007.soi;7;2024-10-16 17:43:04.939277;76324dc0c4ddb808d8565d69aaf66df8;original;1550;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000007.soc;7;2024-10-16 17:43:04.935277;022a97f68acdb41ba2a812918f6066a1;induced;833;11;11;False;True;True;N/A;False;False;True
00044-00000008.soi;8;2024-10-16 17:43:04.939277;448442fc26bea6c258b0bcaf055f65c3;original;1810;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000008.soc;8;2024-10-16 17:43:04.939277;7733b082cbd37c3912d9d448ed590068;induced;757;12;12;False;True;True;N/A;False;False;True
00044-00000009.soi;9;2024-10-16 17:43:04.939277;c1ee519a04f167fe6951ec5960b65df0;original;1566;2;2;False;True;False;N/A;N/A;N/A;N/A
00044-00000010.soi;10;2024-10-16 17:43:04.939277;6ca556578ae63d1dee41f7bf77a22e97;original;2168;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000010.soc;10;2024-10-16 17:43:04.939277;cbe03ab82ae9da0d68d2b5cb4d394e16;induced;1080;12;12;False;True;True;N/A;False;False;True
00044-00000011.soi;11;2024-10-16 17:43:04.939277;9c9eb6fd94a42707cafb8e94dc99feba;original;2075;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000011.soc;11;2024-10-16 17:43:04.939277;38f3d20a1922ecf3280e270961faa41a;induced;1073;11;11;False;True;True;N/A;False;False;True
00044-00000012.soi;12;2024-10-16 17:43:04.939277;f70b38c6d1bc3564cff205afb46fd53d;original;2165;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000012.soc;12;2024-10-16 17:43:04.939277;6f6d1c029cf10968924fea129b60f9bf;induced;1054;12;12;False;True;True;N/A;False;False;True
00044-00000013.soi;13;2024-10-16 17:43:04.939277;792b5b52756b7d5d27c4502003245a04;original;2231;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000013.soc;13;2024-10-16 17:43:04.939277;b9b5d7cf92add3b73ccf96a8a5e8d0c1;induced;1072;12;12;False;True;True;N/A;False;False;True
00044-00000014.soi;14;2024-10-16 17:43:04.939277;734d61e81ebe2d7ffb56c76fab34f592;original;2128;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000014.soc;14;2024-10-16 17:43:04.939277;2b00b2285718bfb25a490e46748134fa;induced;878;12;12;False;True;True;N/A;False;False;False
00044-00000015.soi;15;2024-10-16 17:43:04.943277;8e0fdc3b459b507fea714f2dd9d33949;original;2098;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000015.soc;15;2024-10-16 17:43:04.943277;8ecfb378fb6e71e74758c6a6b88be862;induced;764;12;12;False;True;True;N/A;False;False;False
00044-00000016.soi;16;2024-10-16 17:43:04.943277;4a4f2098a171c0eb8d43f8f3bb5af437;original;1864;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000016.soc;16;2024-10-16 17:43:04.943277;292202bc90a0f6de1cbffd067d57155d;induced;717;12;12;False;True;True;N/A;False;False;False
00044-00000017.soi;17;2024-10-16 17:43:04.943277;66fb77c2db3bc829e7de9fa61e1ce056;original;1827;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000017.soc;17;2024-10-16 17:43:04.943277;decdfda727b8bd9c18d11c510d5c8916;induced;692;12;12;False;True;True;N/A;False;False;False
00044-00000018.soi;18;2024-10-16 17:43:04.943277;ca8ccd5d3d21f604878c43028da33f1c;original;1615;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000018.soc;18;2024-10-16 17:43:04.943277;3dfe5168a393d88f445c1ab9d40e6588;induced;739;12;12;False;True;True;N/A;False;False;True
00044-00000019.soi;19;2024-10-16 17:43:04.943277;28bf698b2902ef7986a0c07e7f322470;original;1771;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000019.soc;19;2024-10-16 17:43:04.943277;63443d4d488ad8920b8f2ac653a8c563;induced;864;12;12;False;True;True;N/A;False;False;True
00044-00000020.soi;20;2024-10-16 17:43:04.943277;29b9fe216d7331d04d29341dd8303927;original;556;12;12;False;True;False;N/A;N/A;N/A;N/A
00044-00000020.soc;20;2024-10-16 17:43:04.943277;890fea2e0a64ede973a6f6c2323019f3;induced;266;12;12;False;True;True;True;False;False;True
