file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00048-00000001.soi;1;2024-10-16 17:43:05.115277;648d11587c3b910c0c3790c0a62dbaca;original;319;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000001.soc;1;2024-10-16 17:43:05.115277;2d297a85f093c78c3f07cdb12537dc14;induced;124;31;31;False;True;True;True;False;False;True
00048-00000002.soi;2;2024-10-16 17:43:05.115277;5f898cb1c2417e008d94aa8651600258;original;282;28;28;False;True;False;True;N/A;N/A;N/A
00048-00000002.soc;2;2024-10-16 17:43:05.115277;8994e2aef2db7865d64b5caa40e66b36;induced;152;28;28;False;True;True;True;False;False;True
00048-00000003.soi;3;2024-10-16 17:43:05.115277;abde63ee69a8abe2aa44c3e711f47a72;original;294;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000003.soc;3;2024-10-16 17:43:05.115277;9f7c8132c60279e4527333bf9bd2b139;induced;148;31;31;False;True;True;True;False;False;True
00048-00000004.soi;4;2024-10-16 17:43:05.115277;9e7187bd8b06e346483bfe6055452c20;original;288;30;30;False;True;False;True;N/A;N/A;N/A
00048-00000004.soc;4;2024-10-16 17:43:05.115277;782d590c9334b868f98b247fad18fb76;induced;147;30;30;False;True;True;True;False;False;True
00048-00000005.soi;5;2024-10-16 17:43:05.115277;5b44f1be74c11bf84ec7bf04a5df9162;original;304;29;29;False;True;False;True;N/A;N/A;N/A
00048-00000005.soc;5;2024-10-16 17:43:05.115277;c7086a4896ab0dc0ac228846c15c151e;induced;135;29;29;False;True;True;True;False;False;True
00048-00000006.soi;6;2024-10-16 17:43:05.115277;4cef6337aeef574658b2e38dce849d4e;original;299;29;29;False;True;False;True;N/A;N/A;N/A
00048-00000006.soc;6;2024-10-16 17:43:05.115277;2c34ee27091c4d72c91ea90406c4f6d1;induced;147;29;29;False;True;True;True;False;False;True
00048-00000007.soi;7;2024-10-16 17:43:05.115277;cfba2bea0fa94fc882335c4c658284d0;original;290;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000007.soc;7;2024-10-16 17:43:05.115277;d811c64158f87f4805422029c1c34af4;induced;141;31;31;False;True;True;True;False;False;True
00048-00000008.soi;8;2024-10-16 17:43:05.115277;7ef32b03fcf631467687cb6aaae73764;original;284;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000008.soc;8;2024-10-16 17:43:05.115277;b9ce02c0bb9392074b9bc205a25e023a;induced;142;31;31;False;True;True;True;False;False;True
00048-00000009.soi;9;2024-10-16 17:43:05.115277;ad0195e6943b10b03950b0db3fd0c151;original;287;30;30;False;True;False;True;N/A;N/A;N/A
00048-00000009.soc;9;2024-10-16 17:43:05.115277;f07c41d3ed35dd9cecb2fbfebd8f9c23;induced;139;30;30;False;True;True;True;False;False;True
00048-00000010.soi;10;2024-10-16 17:43:05.115277;96d295cebdbae3f4e5a229bb9351406f;original;289;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000010.soc;10;2024-10-16 17:43:05.115277;8d2b98c939a1dd8699a364d37239fa9b;induced;150;31;31;False;True;True;True;False;False;True
00048-00000011.soi;11;2024-10-16 17:43:05.115277;1956d26c2bc0428f53c67f9fa020d39f;original;302;30;30;False;True;False;True;N/A;N/A;N/A
00048-00000011.soc;11;2024-10-16 17:43:05.115277;d502da4bc1a88f8754e13d81f1099b02;induced;142;30;30;False;True;True;True;False;False;True
00048-00000012.soi;12;2024-10-16 17:43:05.115277;52c48175a28cdcf68c61717d87465eb2;original;305;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000012.soc;12;2024-10-16 17:43:05.115277;45732a4c98d9549728ab113c2c3d2ea5;induced;124;31;31;False;True;True;True;False;False;True
00048-00000013.soi;13;2024-10-16 17:43:05.115277;c4b4e8899f072ba0fba38480cb878adc;original;346;31;31;False;True;False;True;N/A;N/A;N/A
00048-00000013.soc;13;2024-10-16 17:43:05.115277;87de434b878a92450df6f5c130284353;induced;132;31;31;False;True;True;True;False;False;True
