file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00049-00000001.soi;1;2024-10-16 17:43:05.231277;4e4f9041af7f6fa3fe545926932d34b7;original;14;33;30;False;True;False;False;N/A;N/A;N/A
00049-00000001.soc;1;2024-10-16 17:43:05.231277;a1b36f0466fb934eda411633d1e35442;induced;12;27;27;False;True;True;True;False;False;False
00049-00000002.soi;2;2024-10-16 17:43:05.231277;37f801b24dc30d24aa9e0eb445c43881;original;59;33;33;False;True;False;False;N/A;N/A;N/A
00049-00000002.soc;2;2024-10-16 17:43:05.231277;c4c506b22e1fc7e38e1ce979f8d5be23;induced;52;26;26;False;True;True;False;False;False;False
00049-00000003.soi;3;2024-10-16 17:43:05.231277;00f97982e62f66c6f7e4d2c697b2240a;original;17;22;22;False;True;False;False;N/A;N/A;N/A
00049-00000003.soc;3;2024-10-16 17:43:05.231277;79ab80d837a0c2fbc71964a533d5ef30;induced;13;21;21;False;True;True;False;False;False;False
00049-00000004.soi;4;2024-10-16 17:43:05.231277;8e5ace53c9243a0c91a74133d3167071;original;10;14;13;False;True;False;True;N/A;N/A;N/A
00049-00000004.soc;4;2024-10-16 17:43:05.231277;b3f321082f6526fdfb16f83211d0a129;induced;8;7;7;False;True;True;True;False;False;True
00049-00000005.soi;5;2024-10-16 17:43:05.231277;b8d936047ab557a4cf0949746241b1f0;original;48;30;30;False;True;False;False;N/A;N/A;N/A
00049-00000005.soc;5;2024-10-16 17:43:05.231277;6015c0e87617d081907180bf4dfdb58e;induced;27;20;20;False;True;True;True;False;False;False
00049-00000006.soi;6;2024-10-16 17:43:05.231277;8c32a46846a26ef9d058bd0356b01639;original;15;38;38;False;True;False;False;N/A;N/A;N/A
00049-00000006.soc;6;2024-10-16 17:43:05.231277;d8e278c7bb53f3501124d9986d45c159;induced;15;29;29;False;True;True;False;False;False;False
00049-00000007.soi;7;2024-10-16 17:43:05.231277;dea49df4ae2842bb596fac7194c67278;original;12;12;12;False;True;False;True;N/A;N/A;N/A
00049-00000007.soc;7;2024-10-16 17:43:05.231277;6dea4939c9f6b6c7462f95e98edace48;induced;9;10;9;False;True;True;True;False;False;True
00049-00000008.soi;8;2024-10-16 17:43:05.231277;2e9a9de258889267a6aa3443da499c58;original;13;37;35;False;True;False;True;N/A;N/A;N/A
00049-00000008.soc;8;2024-10-16 17:43:05.231277;67167f011b3458944de1f4d8976492a1;induced;12;25;25;False;True;True;False;False;False;False
00049-00000009.soi;9;2024-10-16 17:43:05.231277;9489a2d477c748c6386bedcab35744da;original;81;27;27;False;True;False;False;N/A;N/A;N/A
00049-00000009.soc;9;2024-10-16 17:43:05.231277;6ad2fc0d2c6aa9c8694ea9c17129d539;induced;68;20;20;False;True;True;False;False;False;False
00049-00000010.soi;10;2024-10-16 17:43:05.231277;cae8f3ad4ab55a605b83c39c5f5b55ea;original;64;11;11;False;True;False;True;N/A;N/A;N/A
00049-00000010.soc;10;2024-10-16 17:43:05.231277;e775062cb2835379c813645abcb8c3c3;induced;50;9;9;False;True;True;True;False;False;False
00049-00000011.soi;11;2024-10-16 17:43:05.231277;b3bdba1226f2252d3130220bc318a2c5;original;48;12;12;False;True;False;False;N/A;N/A;N/A
00049-00000011.soc;11;2024-10-16 17:43:05.231277;a3a5f1ceb370bc7fd0a61ea0c6333139;induced;44;11;11;False;True;True;False;False;False;False
00049-00000012.soc;12;2024-10-16 17:43:05.231277;16c22a67ee31c078de42311a724bcd9f;original;7;15;15;False;True;True;True;False;False;False
00049-00000013.soc;13;2024-10-16 17:43:05.231277;e9caa1dcc714725fd406d95d2a11aac8;original;12;10;10;False;True;True;True;False;False;True
00049-00000014.soi;14;2024-10-16 17:43:05.231277;109a16fa6cdfb1bd6d6f06aa0514608c;original;62;40;40;False;True;False;False;N/A;N/A;N/A
00049-00000014.soc;14;2024-10-16 17:43:05.231277;abdb114b820a71631e972e03e126f3b1;induced;52;30;30;False;True;True;False;False;False;False
00049-00000015.soi;15;2024-10-16 17:43:05.231277;48be22f60c95474d8e2990ed4a3b116e;original;21;11;11;False;True;False;True;N/A;N/A;N/A
00049-00000015.soc;15;2024-10-16 17:43:05.231277;1bce5f0bcc8bc4439a41fa60058dd15b;induced;20;8;8;False;True;True;True;False;False;False
00049-00000016.soi;16;2024-10-16 17:43:05.235277;8e04b0a276c6b81539a93383b579b1d0;original;30;28;28;False;True;False;False;N/A;N/A;N/A
00049-00000016.soc;16;2024-10-16 17:43:05.231277;51af082581438761d918ec5e9a30c04b;induced;26;26;26;False;True;True;False;False;False;False
00049-00000017.soi;17;2024-10-16 17:43:05.235277;1a5ff6a0f280f7861ddd3911a043d688;original;51;37;37;False;True;False;False;N/A;N/A;N/A
00049-00000017.soc;17;2024-10-16 17:43:05.235277;061002814bb330583825f9a0255b7fb5;induced;47;24;24;False;True;True;False;False;False;False
00049-00000018.soi;18;2024-10-16 17:43:05.235277;afda5252b4bb597304609ad3f51dce5f;original;58;21;21;False;True;False;True;N/A;N/A;N/A
00049-00000018.soc;18;2024-10-16 17:43:05.235277;85f095b22241485fae7992bb4ae2c208;induced;54;21;21;False;True;True;True;False;False;False
00049-00000019.soi;19;2024-10-16 17:43:05.235277;0a2e0a215d9e9ea325d432a8abb48e55;original;37;56;56;False;True;False;False;N/A;N/A;N/A
00049-00000019.soc;19;2024-10-16 17:43:05.235277;ce54cc38d84c90e37e8b1a27caccf4a7;induced;32;41;41;False;True;True;True;False;False;False
00049-00000020.soi;20;2024-10-16 17:43:05.235277;edb3883a46248576938d328e3f954973;original;14;18;18;False;True;False;True;N/A;N/A;N/A
00049-00000020.soc;20;2024-10-16 17:43:05.235277;6c143487e9b294d57ccd5a386a88e374;induced;12;13;13;False;True;True;True;False;False;True
00049-00000021.soi;21;2024-10-16 17:43:05.235277;a6da27e2d76b26a2f16cd7ab0a997682;original;15;21;21;False;True;False;False;N/A;N/A;N/A
00049-00000021.soc;21;2024-10-16 17:43:05.235277;b281e9ccb4d3460a475b80eecd64f975;induced;14;20;20;False;True;True;False;False;False;False
00049-00000022.soi;22;2024-10-16 17:43:05.235277;1901334533e5e6f6b821c41e7af7e5d2;original;15;29;29;False;True;False;False;N/A;N/A;N/A
00049-00000022.soc;22;2024-10-16 17:43:05.235277;8917429b09a815a3fb7f67a2cd46460e;induced;15;24;24;False;True;True;False;False;False;False
