file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00051-00000001.soi;1;2024-10-16 17:43:05.263277;e36a852c49a11e6be62cd45760df65c9;original;27;17;17;False;True;False;True;N/A;N/A;N/A
00051-00000001.soc;1;2024-10-16 17:43:05.263277;ecd0140bd88a6d7baf604555df20e17a;induced;22;12;12;False;True;True;True;False;False;True
00051-00000002.soi;2;2024-10-16 17:43:05.263277;fd39920a52dce68a050942bdfd8a2360;original;89;17;17;False;True;False;True;N/A;N/A;N/A
00051-00000002.soc;2;2024-10-16 17:43:05.263277;2f419db9313ea7c4ec30a34ce63b4026;induced;70;13;13;False;True;True;True;False;False;False
00051-00000003.soi;3;2024-10-16 17:43:05.263277;fa6d2ee331d8b1c44a23a3245e3b05a5;original;102;17;17;False;True;False;False;N/A;N/A;N/A
00051-00000003.soc;3;2024-10-16 17:43:05.263277;af7525322bbd0b47f6a35de3d3f1610a;induced;85;15;15;False;True;True;True;False;False;False
00051-00000004.soi;4;2024-10-16 17:43:05.263277;734123d57dcb02e0d5cd3b11051759b1;original;110;17;17;False;True;False;False;N/A;N/A;N/A
00051-00000004.soc;4;2024-10-16 17:43:05.263277;a40e3ba6fc69f99c51baa8056f8053e0;induced;92;14;14;False;True;True;False;False;False;False
00051-00000005.soi;5;2024-10-16 17:43:05.263277;979a05d6518a9db5354f4b97f8b1e34b;original;114;19;19;False;True;False;True;N/A;N/A;N/A
00051-00000005.soc;5;2024-10-16 17:43:05.263277;d7b5c647ab01a747c9b9f4d242229d26;induced;92;16;16;False;True;True;False;False;False;False
00051-00000006.soi;6;2024-10-16 17:43:05.263277;511be7c728378daef8f949fb8a7cb64d;original;124;19;19;False;True;False;False;N/A;N/A;N/A
00051-00000006.soc;6;2024-10-16 17:43:05.263277;45480c66686054f28eae65a96435b52a;induced;111;14;14;False;True;True;False;False;False;False
00051-00000007.soi;7;2024-10-16 17:43:05.263277;e0c23ae4a2423fd360fc6345ec035a9d;original;146;19;19;False;True;False;False;N/A;N/A;N/A
00051-00000007.soc;7;2024-10-16 17:43:05.263277;417d5be5160517ae1272f2cb3cbb790b;induced;108;15;15;False;True;True;False;False;False;False
00051-00000008.soi;8;2024-10-16 17:43:05.263277;3282c3f85d9d49767c08a48d69c4c1c6;original;142;19;19;False;True;False;False;N/A;N/A;N/A
00051-00000008.soc;8;2024-10-16 17:43:05.263277;f3d6796bfda087e85b279b7f6fe722c4;induced;112;15;15;False;True;True;False;False;False;False
00051-00000009.soi;9;2024-10-16 17:43:05.263277;5982ba663303ae227a8b5c9f1a9f6294;original;137;18;18;False;True;False;False;N/A;N/A;N/A
00051-00000009.soc;9;2024-10-16 17:43:05.263277;09f69a6afc28631f312b1b3e1209e608;induced;115;15;15;False;True;True;False;False;False;False
00051-00000010.soi;10;2024-10-16 17:43:05.263277;b0db1a80f0bb3f9495c46403bb3fb552;original;145;17;17;False;True;False;False;N/A;N/A;N/A
00051-00000010.soc;10;2024-10-16 17:43:05.263277;b3f6d19719cf4f2e7f8fabbb82cb6887;induced;116;15;15;False;True;True;True;False;False;False
00051-00000011.soi;11;2024-10-16 17:43:05.263277;0dc70702a4585598d6478df3c295d0c6;original;143;15;15;False;True;False;False;N/A;N/A;N/A
00051-00000011.soc;11;2024-10-16 17:43:05.263277;01e6be11c02008b445a5a70d61250402;induced;117;13;13;False;True;True;False;False;False;False
00051-00000012.soi;12;2024-10-16 17:43:05.263277;c7f5b49ce050bea2cf5f865e12d91c32;original;141;15;15;False;True;False;False;N/A;N/A;N/A
00051-00000012.soc;12;2024-10-16 17:43:05.263277;b178fcd1cfc1342fc3af6836d91be233;induced;107;14;14;False;True;True;False;False;False;False
