file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00052-00000001.soi;1;2025-10-10 19:58:07.842870;22928bb0e90d27729349f13cdb2d7d1a;original;81;7;7;False;True;False;True;N/A;N/A;N/A
00052-00000001.soc;1;2025-10-10 19:58:07.842870;b62a98c3204a1947f0b675a178eb421d;induced;6;6;6;False;True;True;False;False;False;True
00052-00000002.soi;2;2025-10-10 19:58:07.842870;43a8ad856b3edc3450fcd08384e36903;original;84;8;8;False;True;False;True;N/A;N/A;N/A
00052-00000002.soc;2;2025-10-10 19:58:07.842870;c9ca47b136bc5ec4d7ec028b0d860eae;induced;7;7;7;False;True;True;True;False;False;False
00052-00000003.soi;3;2025-10-10 19:58:07.842870;b9f3374fc784543aba0b88eb46c06182;original;105;8;8;False;True;False;True;N/A;N/A;N/A
00052-00000004.soi;4;2025-10-10 19:58:07.844168;5aacfc8aed7e3ac404f5a9cae076e1c4;original;108;9;9;False;True;False;True;N/A;N/A;N/A
00052-00000004.soc;4;2025-10-10 19:58:07.844168;e7c2e726e4f4d41c356a9d26b1e5631f;induced;6;8;8;False;True;True;True;False;False;True
00052-00000005.soi;5;2025-10-10 19:58:07.844168;724ddecfa6b0b37a8393cf7e73d80c02;original;97;9;9;False;True;False;True;N/A;N/A;N/A
00052-00000005.soc;5;2025-10-10 19:58:07.844168;f59c6906587131848ccd4b7587d6e8ec;induced;5;8;8;False;True;True;True;False;False;True
00052-00000006.soi;6;2025-10-10 19:58:07.845171;bc3c439cbf5a93ea9ced0589e2f48b20;original;84;7;7;False;True;False;True;N/A;N/A;N/A
00052-00000006.soc;6;2025-10-10 19:58:07.845171;8cc8e9bd33c70ace6b0f26dcad202bd8;induced;7;6;6;False;True;True;True;False;False;False
00052-00000007.soi;7;2025-10-10 19:58:07.845171;e9f049d462f6101eab40e7e7718a05fe;original;85;8;8;False;True;False;True;N/A;N/A;N/A
00052-00000007.soc;7;2025-10-10 19:58:07.845171;0baefce1809eb26585ee1c2e932e0c0a;induced;5;7;6;False;True;True;False;False;False;True
00052-00000008.soi;8;2025-10-10 19:58:07.846262;40acc4338b423764ce34a30117b72984;original;76;8;8;False;True;False;True;N/A;N/A;N/A
00052-00000009.soi;9;2025-10-10 19:58:07.846262;fd3ca2bf96874adfde1edb4e9a4e2fb6;original;87;11;11;False;True;False;True;N/A;N/A;N/A
00052-00000010.soi;10;2025-10-10 19:58:07.846262;930747254c3990d1841d9d0efe228223;original;88;9;9;False;True;False;False;N/A;N/A;N/A
00052-00000010.soc;10;2025-10-10 19:58:07.846262;2aa6c556cbf0049bd8f645d17d9aa2a8;induced;5;8;8;False;True;True;False;False;False;True
00052-00000011.soi;11;2025-10-10 19:58:07.847336;7a7c01cdd72c00bbb32b0b5d4d567469;original;91;10;10;False;True;False;True;N/A;N/A;N/A
00052-00000011.soc;11;2025-10-10 19:58:07.847336;fe0d2bfe5842b97dd0551b1fe6dd8824;induced;7;8;8;False;True;True;True;False;False;True
00052-00000012.soi;12;2025-10-10 19:58:07.847336;7788e47e2966c30d25ce9c6f96bcdd8c;original;62;8;8;False;True;False;True;N/A;N/A;N/A
00052-00000012.soc;12;2025-10-10 19:58:07.847336;72e3a8c420329693e589beceaa194caa;induced;10;8;8;False;True;True;True;False;False;True
00052-00000013.soi;13;2025-10-10 19:58:07.848362;5e8dd61f17e9da32fcee1e44767b4f3d;original;61;9;9;False;True;False;True;N/A;N/A;N/A
00052-00000013.soc;13;2025-10-10 19:58:07.848362;1c77443f87cab135656536c0c2e0ef62;induced;9;9;9;False;True;True;True;False;False;False
00052-00000014.soi;14;2025-10-10 19:58:07.848362;699eeb9ec20cbf7f3575a20b7fbae4de;original;62;10;10;False;True;False;True;N/A;N/A;N/A
