file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00053-00000001.soi;1;2024-10-16 17:43:05.267277;946f138ca42dbeac38a8c7cefd6407bf;original;22;72;72;False;True;False;True;N/A;N/A;N/A
00053-00000001.soc;1;2024-10-16 17:43:05.267277;170439a1c8cb706f2ab0eece0e31fa4e;induced;14;36;36;False;True;True;True;False;False;False
00053-00000002.soi;2;2024-10-16 17:43:05.267277;eb6e5e023defe15165ab6993bdace8fc;original;19;58;58;False;True;False;True;N/A;N/A;N/A
00053-00000002.soc;2;2024-10-16 17:43:05.267277;c278b9c0289e3f3584e8086a4ef3c911;induced;14;32;32;False;True;True;True;False;False;False
00053-00000003.soi;3;2024-10-16 17:43:05.267277;358765a427d58cdcb7893235fe1f860d;original;16;44;44;False;True;False;True;N/A;N/A;N/A
00053-00000003.soc;3;2024-10-16 17:43:05.267277;49e923dea2319074138f921871d6f07c;induced;14;29;29;False;True;True;True;False;False;True
00053-00000004.soi;4;2024-10-16 17:43:05.267277;e7395df5bff5323818a03a7fe30ddbee;original;21;71;71;False;True;False;False;N/A;N/A;N/A
00053-00000004.soc;4;2024-10-16 17:43:05.267277;63c2fb9a4b0ad4b0fcbeeda2e258ccd0;induced;15;29;29;False;True;True;True;False;False;False
00053-00000005.soi;5;2024-10-16 17:43:05.267277;85ee8f40291682b46de1a88ffb0da6c7;original;20;61;61;False;True;False;True;N/A;N/A;N/A
00053-00000005.soc;5;2024-10-16 17:43:05.267277;fe08e8591f4ebc5acc6a3bcfe8cf8e29;induced;14;38;38;False;True;True;True;False;False;False
00053-00000006.soi;6;2024-10-16 17:43:05.267277;9aff53085c0bf6acc6af37ded0d10ffb;original;22;69;68;False;True;False;True;N/A;N/A;N/A
00053-00000006.soc;6;2024-10-16 17:43:05.267277;39b9096d329a35c6b5c43eac44d8dab0;induced;15;38;38;False;True;True;True;False;False;True
00053-00000007.soi;7;2024-10-16 17:43:05.267277;3aaa5ba752362abbfb9c1c403fdb1163;original;20;67;67;False;True;False;False;N/A;N/A;N/A
00053-00000007.soc;7;2024-10-16 17:43:05.267277;d4740d876eac0b694da0cfab03f7e4b2;induced;16;59;59;False;True;True;True;False;False;False
00053-00000008.soi;8;2024-10-16 17:43:05.267277;c8175358659a3752b0e67ac971999aaa;original;21;72;72;False;True;False;True;N/A;N/A;N/A
00053-00000008.soc;8;2024-10-16 17:43:05.267277;36749d69a7415ec00ed4fc45dd667e48;induced;15;33;33;False;True;True;True;False;False;False
00053-00000009.soi;9;2024-10-16 17:43:05.267277;573a3e14429ca1d1f356ee9840490f57;original;18;45;45;False;True;False;True;N/A;N/A;N/A
00053-00000009.soc;9;2024-10-16 17:43:05.267277;d6de8f8572181218e8c7aeff30294d26;induced;15;25;25;False;True;True;True;False;False;False
00053-00000010.soi;10;2024-10-16 17:43:05.267277;3de56c7b7202693d113b36a76888a1ef;original;19;77;77;False;True;False;True;N/A;N/A;N/A
00053-00000010.soc;10;2024-10-16 17:43:05.267277;b8d9deb212ed10d29d3f1df61d76d07c;induced;13;35;35;False;True;True;True;False;False;True
00053-00000011.soi;11;2024-10-16 17:43:05.267277;e1c085dc152f1348da099b369a7956f9;original;20;53;52;False;True;False;True;N/A;N/A;N/A
00053-00000011.soc;11;2024-10-16 17:43:05.267277;0aacbcace2054192822d6676ee4a72fd;induced;11;36;36;False;True;True;True;False;False;True
00053-00000012.soi;12;2024-10-16 17:43:05.267277;010e2cf7baadde41f162c2789050374b;original;18;52;52;False;True;False;False;N/A;N/A;N/A
00053-00000012.soc;12;2024-10-16 17:43:05.267277;e4889814343c2ebf0946e9b68c4a37b6;induced;16;36;36;False;True;True;True;False;False;False
00053-00000013.soi;13;2024-10-16 17:43:05.267277;601b8a4f75d5e368313ae1b9d563a7c2;original;16;75;74;False;True;False;True;N/A;N/A;N/A
00053-00000013.soc;13;2024-10-16 17:43:05.267277;30d6d8f752a2dafc34c09003ab18002c;induced;12;30;30;False;True;True;True;False;False;False
00053-00000014.soi;14;2024-10-16 17:43:05.267277;958db118a963449169f61fdc0a7d8f61;original;20;70;70;False;True;False;True;N/A;N/A;N/A
00053-00000014.soc;14;2024-10-16 17:43:05.267277;6422d65875b3f5f5c150f54b1c15b942;induced;19;46;46;False;True;True;True;False;False;False
00053-00000015.soi;15;2024-10-16 17:43:05.267277;a5bd15b24654f71c725fa4c61233286e;original;21;63;63;False;True;False;True;N/A;N/A;N/A
00053-00000015.soc;15;2024-10-16 17:43:05.267277;2fd3ee41168cc706ebdfe7fe364b7cf6;induced;17;36;36;False;True;True;False;False;False;True
00053-00000016.soi;16;2024-10-16 17:43:05.267277;12e2a7f71f6adb81230b368ca0c895ca;original;17;65;62;False;True;False;False;N/A;N/A;N/A
00053-00000016.soc;16;2024-10-16 17:43:05.267277;78253c1b9a4c39c2b8b7027fc2bc09c1;induced;9;44;44;False;True;True;True;False;False;False
00053-00000017.soi;17;2024-10-16 17:43:05.267277;931f5648ea80e135333344266df9c2af;original;20;72;72;False;True;False;True;N/A;N/A;N/A
00053-00000017.soc;17;2024-10-16 17:43:05.267277;bbc2f1ac855ea68522225f33c65ebfd8;induced;16;33;33;False;True;True;True;False;False;False
00053-00000018.soi;18;2024-10-16 17:43:05.267277;92394758024a3066a2cdad9ecb30c414;original;18;58;58;False;True;False;True;N/A;N/A;N/A
00053-00000018.soc;18;2024-10-16 17:43:05.267277;27da6d26cb5cd312cde6d740faafac2d;induced;14;34;34;False;True;True;True;False;False;False
00053-00000019.soi;19;2024-10-16 17:43:05.267277;6850a90a63d7353c68483ed1d3392a35;original;21;71;71;False;True;False;False;N/A;N/A;N/A
00053-00000019.soc;19;2024-10-16 17:43:05.267277;c7e7afb40e0a6babc02e30fd00de821f;induced;18;48;48;False;True;True;True;False;False;False
00053-00000020.soi;20;2024-10-16 17:43:05.267277;e33bea43960d4e110ffc216fe2d298d4;original;22;44;44;False;True;False;False;N/A;N/A;N/A
00053-00000020.soc;20;2024-10-16 17:43:05.267277;40becd1cd82b4aa2acd79aa975b0d253;induced;16;42;42;False;True;True;True;False;False;False
00053-00000021.soi;21;2024-10-16 17:43:05.267277;823867873c7f7b06237dab94441d542e;original;21;72;72;False;True;False;True;N/A;N/A;N/A
