file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00054-00000001.soi;1;2025-10-10 19:58:08.173289;c4371570daa928806b621b7b8d3fb137;original;301;15;15;False;True;False;True;N/A;N/A;N/A
00054-00000001.soc;1;2025-10-10 19:58:08.172274;74b5742f8b1c3ba7e857b3829fc12ff1;induced;301;10;10;False;True;True;True;False;False;True
00054-00000002.soi;2;2025-10-10 19:58:08.173289;8fe297f1c62d7f2b9f0306a4285ed646;original;301;15;15;False;True;False;True;N/A;N/A;N/A
00054-00000002.soc;2;2025-10-10 19:58:08.173289;c27c7686d547add45728b601a3f66bd8;induced;301;10;10;False;True;True;True;False;False;True
00054-00000003.soi;3;2025-10-10 19:58:08.174305;9cae5f44e80531dc61b6293eaccda0b9;original;301;15;15;False;True;False;True;N/A;N/A;N/A
00054-00000003.soc;3;2025-10-10 19:58:08.174305;57354060dd11186e5ebd09f03442f20a;induced;301;10;10;False;True;True;True;False;False;True
00054-00000004.soi;4;2025-10-10 19:58:08.175533;fc7ad40a8b59dc29506cb998f852f4cb;original;301;15;15;False;True;False;True;N/A;N/A;N/A
00054-00000004.soc;4;2025-10-10 19:58:08.175533;da4032e10a089ef7f5d8e541fc68e057;induced;301;10;10;False;True;True;True;False;False;True
00054-00000005.soi;5;2025-10-10 19:58:08.176586;fa7affd5cb8873297f3640758178ac54;original;301;15;15;False;True;False;True;N/A;N/A;N/A
00054-00000005.soc;5;2025-10-10 19:58:08.175533;11dad4dec71e01bd8bbf9c70e7f94436;induced;301;10;10;False;True;True;True;False;False;True
00054-00000006.soi;6;2025-10-10 19:58:08.177591;9f1169ec6856b0c86e95466ffdb88fae;original;301;7;7;False;True;False;True;N/A;N/A;N/A
00054-00000006.soc;6;2025-10-10 19:58:08.176586;6e0f35e0fbdfa2d4b4033a7145e675a3;induced;22;6;6;False;True;True;True;False;False;True
00054-00000007.soi;7;2025-10-10 19:58:08.177591;a9b443f77b294aec5ec99136c3082f4e;original;301;8;8;False;True;False;True;N/A;N/A;N/A
00054-00000008.soi;8;2025-10-10 19:58:08.178600;08e81aec97c2dcaa4c30609a61d11ed1;original;301;10;10;False;True;False;True;N/A;N/A;N/A
00054-00000008.soc;8;2025-10-10 19:58:08.178600;709577c081e798a85416e7439a20a091;induced;300;6;6;False;True;True;True;False;False;True
00054-00000009.soi;9;2025-10-10 19:58:08.179739;bd65c935a820279a7f2d2bea1f53ee5e;original;300;11;11;False;True;False;True;N/A;N/A;N/A
00054-00000009.soc;9;2025-10-10 19:58:08.178600;3a2e77edd3749b6a864eeda5b744b512;induced;298;7;7;False;True;True;True;False;False;True
00054-00000010.soi;10;2025-10-10 19:58:08.180757;9d08ee139eb050147de93915d3c7364c;original;300;11;11;False;True;False;True;N/A;N/A;N/A
00054-00000010.soc;10;2025-10-10 19:58:08.179739;2449557a823a5f6f9a6fa0914a8306d3;induced;300;7;7;False;True;True;True;False;False;True
00054-00000011.soi;11;2025-10-10 19:58:08.180757;2d43a66907e65dae243e8d1f18d050c5;original;300;12;12;False;True;False;True;N/A;N/A;N/A
00054-00000011.soc;11;2025-10-10 19:58:08.180757;30b872510735529e0e4b4723a0b3adf7;induced;300;8;8;False;True;True;True;False;False;False
00054-00000012.soi;12;2025-10-10 19:58:08.181898;73a8a3e379617465bb9900eea8b99f68;original;300;12;12;False;True;False;True;N/A;N/A;N/A
00054-00000012.soc;12;2025-10-10 19:58:08.181898;3798a3e5bdb9b1f08bdc2a5626c701ab;induced;300;8;8;False;True;True;True;False;False;True
00054-00000013.soi;13;2025-10-10 19:58:08.182901;95e0b3aea49207d65e496975db8fe231;original;300;12;12;False;True;False;True;N/A;N/A;N/A
00054-00000013.soc;13;2025-10-10 19:58:08.182901;a3f1ac78b087533319eb17a5552fdfbe;induced;300;8;8;False;True;True;True;False;False;True
00054-00000014.soi;14;2025-10-10 19:58:08.183913;8aa22bb877b203a0a4ed8ed52668e305;original;300;12;12;False;True;False;True;N/A;N/A;N/A
00054-00000014.soc;14;2025-10-10 19:58:08.182901;98e8d8d173491bf058e85feb75886605;induced;300;8;8;False;True;True;True;False;False;True
00054-00000015.soi;15;2025-10-10 19:58:08.184920;bbdf8892b5695e7eb04b4c57836aa16c;original;300;13;13;False;True;False;True;N/A;N/A;N/A
00054-00000015.soc;15;2025-10-10 19:58:08.183913;c105a31f1248c46016f71f50b4b519b0;induced;300;9;9;False;True;True;True;False;False;True
00054-00000016.soi;16;2025-10-10 19:58:08.184920;12af54316ddac0eafd2e7c0277dfbb84;original;300;13;13;False;True;False;True;N/A;N/A;N/A
00054-00000016.soc;16;2025-10-10 19:58:08.184920;cfe9a1bb125de50058790088a46ff676;induced;300;9;9;False;True;True;True;False;False;True
00054-00000017.soi;17;2025-10-10 19:58:08.186119;ad6c62a884fb486e926efcd3537f93be;original;300;13;13;False;True;False;True;N/A;N/A;N/A
00054-00000017.soc;17;2025-10-10 19:58:08.186119;142c4b5f4b6af9c2e3ee3b015b21c7db;induced;300;9;9;False;True;True;True;False;False;True
00054-00000018.soi;18;2025-10-10 19:58:08.187378;1d867bad2288b92d994ac77a052a7f5a;original;300;13;13;False;True;False;True;N/A;N/A;N/A
00054-00000018.soc;18;2025-10-10 19:58:08.186119;ab5e04af5ac0a70017113d163ceec286;induced;300;9;9;False;True;True;True;False;False;True
00054-00000019.soi;19;2025-10-10 19:58:08.188416;b54cc71575c23b5960659c3548db74db;original;300;14;14;False;True;False;True;N/A;N/A;N/A
00054-00000019.soc;19;2025-10-10 19:58:08.187378;740be7e01460630aed06625dce261138;induced;300;10;10;False;True;True;True;False;False;True
00054-00000020.soi;20;2025-10-10 19:58:08.188416;db0c651a45b6a1a916704e15fab5a507;original;300;12;11;False;True;False;False;N/A;N/A;N/A
00054-00000020.soc;20;2025-10-10 19:58:08.188416;34aeeb22cf940665dec846113b233375;induced;300;8;8;False;True;True;True;False;False;True
00054-00000021.soi;21;2025-10-10 19:58:08.189418;aa3ef9210db9e6ff96fb70edb02df15b;original;297;12;12;False;True;False;True;N/A;N/A;N/A
00054-00000021.soc;21;2025-10-10 19:58:08.189418;87caea32ad119945b77b98a7349227c2;induced;295;8;8;False;True;True;True;False;False;True
00054-00000022.soi;22;2025-10-10 19:58:08.190419;b3f2a7bf996f06b5d6e7615a41877ff3;original;297;13;13;False;True;False;True;N/A;N/A;N/A
00054-00000022.soc;22;2025-10-10 19:58:08.190419;cc7a23be368efca52991f34aaf4a80c0;induced;296;9;9;False;True;True;True;False;False;True
