file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00055-00000001.soi;1;2024-10-16 17:43:05.571277;a25a7e2d9e1b7667fe371fa8e2a84862;original;301;75;75;False;True;False;True;N/A;N/A;N/A
00055-00000001.soc;1;2024-10-16 17:43:05.571277;a5b4f81a70992289b55362c8f701c2b6;induced;301;50;50;False;True;True;True;False;False;True
00055-00000002.soi;2;2024-10-16 17:43:05.575277;c0609817aefff74c084a84c6af78987e;original;301;173;171;False;True;False;True;N/A;N/A;N/A
00055-00000002.soc;2;2024-10-16 17:43:05.571277;4831b76db8dcac5126c9a300932b5f4f;induced;298;113;112;False;True;True;True;False;False;True
00055-00000003.soi;3;2024-10-16 17:43:05.575277;632b20234ab6e88fc7aeacb656ea088f;original;297;231;231;False;True;False;True;N/A;N/A;N/A
00055-00000003.soc;3;2024-10-16 17:43:05.575277;109d13312f36f8c09029a4ee6dacb6ba;induced;292;175;175;False;True;True;True;False;False;False
00055-00000004.soi;4;2024-10-16 17:43:05.575277;2586c2df9c4c4fc7f1d8d6891fb3db92;original;299;243;242;False;True;False;True;N/A;N/A;N/A
00055-00000004.soc;4;2024-10-16 17:43:05.575277;a59027b7248a647e222daff156fb59d8;induced;292;158;158;False;True;True;True;False;False;False
00055-00000005.soi;5;2024-10-16 17:43:05.575277;fcca59f554ef832cf9860c6d59317e93;original;302;213;212;False;True;False;False;N/A;N/A;N/A
00055-00000005.soc;5;2024-10-16 17:43:05.575277;739548ccc849c00888183f42113c3859;induced;47;114;114;False;True;True;True;False;False;False
00055-00000006.soi;6;2024-10-16 17:43:05.579277;9fc507f8ea46777f67f3dd6e3ec6496a;original;301;249;248;False;True;False;False;N/A;N/A;N/A
00055-00000006.soc;6;2024-10-16 17:43:05.575277;b128cb979485c9a5bbde644252d3e291;induced;299;131;131;False;True;True;True;False;False;False
00055-00000007.soi;7;2024-10-16 17:43:05.579277;6c3934c06395501d8cf98d1e286689b4;original;301;266;265;False;True;False;True;N/A;N/A;N/A
00055-00000007.soc;7;2024-10-16 17:43:05.579277;39232cc2158fb2a417152cd35261dcf5;induced;300;148;148;False;True;True;True;False;False;False
00055-00000008.soi;8;2024-10-16 17:43:05.579277;5c297950ffac2f260afaec2058c21777;original;300;233;231;False;True;False;True;N/A;N/A;N/A
00055-00000008.soc;8;2024-10-16 17:43:05.579277;2683d0f27e6fcc60baaeff2df43c95c5;induced;298;130;130;False;True;True;True;False;False;True
00055-00000009.soi;9;2024-10-16 17:43:05.579277;74db8e41fde4dc6aff7681c133f6623f;original;297;254;252;False;True;False;True;N/A;N/A;N/A
00055-00000009.soc;9;2024-10-16 17:43:05.579277;38d93ec9fc90e9d9b15b9f55479485b1;induced;70;152;152;False;True;True;False;False;False;False
00055-00000010.soi;10;2024-10-16 17:43:05.583277;de408e2ed70a95963bfebefd3b368575;original;299;279;277;False;True;False;True;N/A;N/A;N/A
00055-00000010.soc;10;2024-10-16 17:43:05.579277;ca30cebc290f79d26381cd3ae7f034e6;induced;299;177;177;False;True;True;True;False;False;False
00055-00000011.soi;11;2024-10-16 17:43:05.583277;0594dad4eeb7eca1fa0bd8dbd9db2862;original;319;183;183;False;True;False;True;N/A;N/A;N/A
00055-00000011.soc;11;2024-10-16 17:43:05.583277;0e31e88ddd7eeb967d0bb504d45605d3;induced;315;166;166;False;True;True;True;False;False;True
00055-00000012.soi;12;2024-10-16 17:43:05.583277;67fb7e11bf8cb91aa77722e8db04692e;original;327;312;312;False;True;False;True;N/A;N/A;N/A
00055-00000012.soc;12;2024-10-16 17:43:05.583277;6039ee20528aa19da7ca7028e23500ac;induced;318;279;279;False;True;True;True;False;False;False
00055-00000013.soi;13;2024-10-16 17:43:05.587277;0c8b529844061c963628cf024c6cf8ab;original;327;531;501;False;True;False;True;N/A;N/A;N/A
00055-00000013.soc;13;2024-10-16 17:43:05.587277;45b8f34e7f0023fda9c356bd8935ba10;induced;322;496;472;False;True;True;True;False;False;True
00055-00000014.soi;14;2024-10-16 17:43:05.591277;2c92f15f8c03151947afbf8e064406ae;original;326;585;555;False;True;False;True;N/A;N/A;N/A
00055-00000014.soc;14;2024-10-16 17:43:05.591277;e6833ace65b3b3a7dee41746752aac8a;induced;321;518;494;False;True;True;True;False;False;False
00055-00000015.soi;15;2024-10-16 17:43:05.595277;3911e4033a298a1fcaadb061b7ae833f;original;330;532;519;False;True;False;True;N/A;N/A;N/A
00055-00000015.soc;15;2024-10-16 17:43:05.591277;33aa2666b862dab2a127e69667b11153;induced;295;452;440;False;True;True;True;False;False;False
00055-00000016.soi;16;2024-10-16 17:43:05.595277;d8022043ebe071f5bb17300d35a75eeb;original;334;515;505;False;True;False;True;N/A;N/A;N/A
00055-00000016.soc;16;2024-10-16 17:43:05.595277;8b3d427687bdb0fce2f7c555754c963e;induced;191;450;440;False;True;True;True;False;False;True
00055-00000017.soi;17;2024-10-16 17:43:05.599277;c3548c5024737ce0c2fc98ad0964f1f4;original;336;502;492;False;True;False;True;N/A;N/A;N/A
00055-00000017.soc;17;2024-10-16 17:43:05.599277;98f50b919a804396120f0233a86947da;induced;197;455;444;False;True;True;True;False;False;False
00055-00000018.soi;18;2024-10-16 17:43:05.603277;9751c459e989461b46170644fa86c554;original;342;606;601;False;True;False;True;N/A;N/A;N/A
