file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00058-00000001.soi;1;2024-10-16 17:43:06.091277;932e3360d83957900c8f276bf297335e;original;5;46347;238;False;True;False;True;N/A;N/A;N/A
00058-00000002.soi;2;2024-10-16 17:43:06.091277;c3506daff94a90e07b87de1b47850683;original;6;43783;1046;False;True;False;True;N/A;N/A;N/A
00058-00000003.soi;3;2024-10-16 17:43:06.091277;a0d728890c21d654f09fb55a618bdf9d;original;7;47458;2363;False;True;False;True;N/A;N/A;N/A
00058-00000004.soi;4;2024-10-16 17:43:06.091277;bad6941e72ae55f1880e9850d88daf4d;original;7;46952;2483;False;True;False;True;N/A;N/A;N/A
00058-00000005.soi;5;2024-10-16 17:43:06.091277;fdada1595d9976a3d33dbfb6ba325cba;original;6;42908;850;False;True;False;True;N/A;N/A;N/A
00058-00000006.soi;6;2024-10-16 17:43:06.091277;0f1fad383c83f84fbcd0866d6553a490;original;6;47711;1002;False;True;False;True;N/A;N/A;N/A
00058-00000007.soi;7;2024-10-16 17:43:06.091277;ddee270f6d25d10335b2a4039634a5c5;original;5;48645;242;False;True;False;True;N/A;N/A;N/A
00058-00000008.soi;8;2024-10-16 17:43:06.091277;c2b0838ed8a9cb0315eb0c567af66198;original;5;49266;245;False;True;False;True;N/A;N/A;N/A
00058-00000009.soi;9;2024-10-16 17:43:06.091277;57bd3f6053ccf51e1e9e96895eef3706;original;5;47669;229;False;True;False;True;N/A;N/A;N/A
00058-00000010.soi;10;2024-10-16 17:43:06.091277;d41e4614c759cca46aee9414b171881c;original;5;46264;249;False;True;False;True;N/A;N/A;N/A
00058-00000011.soi;11;2024-10-16 17:43:06.091277;eb937390d3b69a93e79c7bf8aac6f4a4;original;6;48551;853;False;True;False;True;N/A;N/A;N/A
00058-00000012.soi;12;2024-10-16 17:43:06.091277;0a3e84a274d66c9c028c5d4f37465653;original;5;47698;249;False;True;False;True;N/A;N/A;N/A
00058-00000013.soi;13;2024-10-16 17:43:06.091277;6e1fbb5dd79ba96bfa88af484582ee98;original;5;48154;238;False;True;False;True;N/A;N/A;N/A
00058-00000014.soi;14;2024-10-16 17:43:06.091277;5f7d4ed9673c6dead1745e1349ad70db;original;5;45134;247;False;True;False;True;N/A;N/A;N/A
00058-00000015.soi;15;2024-10-16 17:43:06.091277;3067949399b5d92a0bf4e66bd05c1772;original;5;47636;267;False;True;False;True;N/A;N/A;N/A
00058-00000016.soi;16;2024-10-16 17:43:06.091277;f33e0bdc97cc1cde648843f4d05f15a4;original;5;48092;238;False;True;False;True;N/A;N/A;N/A
00058-00000017.soi;17;2024-10-16 17:43:06.091277;e886e0ff676fd545b9f300a5ebfc0428;original;5;45832;234;False;True;False;True;N/A;N/A;N/A
00058-00000018.soi;18;2024-10-16 17:43:06.091277;b123165fc187e4275322a29898582e21;original;7;48923;2350;False;True;False;True;N/A;N/A;N/A
00058-00000019.soi;19;2024-10-16 17:43:06.091277;c60b41f729db1de086711abfb88dcedb;original;8;47184;4742;False;True;False;True;N/A;N/A;N/A
00058-00000020.soi;20;2024-10-16 17:43:06.091277;227da1a0754bf8d7dfb31b64c73759a4;original;5;45167;246;False;True;False;True;N/A;N/A;N/A
00058-00000021.soi;21;2024-10-16 17:43:06.091277;221a19248e4ebec00e379b1de4c328db;original;5;46322;228;False;True;False;True;N/A;N/A;N/A
00058-00000022.soi;22;2024-10-16 17:43:06.091277;6d63d860aa1137fb73f68e79a5fadc9c;original;5;47165;245;False;True;False;True;N/A;N/A;N/A
