Name: Polkadot Network

Abbreviation: polkadot

Tags: Election

Series Number: 00060

Publication Date: 2024-02-26

Description: <p>Certain blockchain protocols conduct approval-based committee elections on a day-to-day basis. Specifically, these elections occur in blockchains using the Nominated Proof-of-Stake (NPoS) protocol. In this system, a subset of stakeholders, called validators, are elected to run the consensus protocol, which is crucial for the integrity of the blockchain. The problem of selecting the validators can be modeled as a committee election.</p><p>This dataset presents the voting data of the <a href="https://polkadot.network">Polkadot network</a>, a blockchain system that implements the Nominated Proof-of-Stake (NPoS) protocol. The dataset contains 96 elections from the Polkadot blockchain. These elections contain between 18 202 and 48 025 voters and between 920 and 1080 candidates.</p><p>Note that in practice voters are assigned weights (that are of highly different scales). We cannot present this data in the PrefLib data. To every ".cat" file that includes the approval ballots corresponds thus a ".dat" file that describes the weights.</p><p>This dataset has been converted into the PrefLib format based on the sources provided by <a href="https://sites.google.com/view/niclas-boehmer/home">Niclas Böhmer</a> (available <a href="https://github.com/n-boehmer/ABC-practice-Polkadot">here</a>).</p>

Required Citations: Niclas Boehmer, Markus Brill, Alfonso Cevallos, Jonas Gehrlein, Luis Sánchez-Fernández, and Ulrike Schmidt-Kraepelin. <em>Approval-Based Committee Voting in Practice: A Case Study of (Over-)Representation in the Polkadot Blockchain</em>. AAAI, 2024.

Selected Studies:

file_name, modification_type, relates_to, title, description, publication_date
00060-00000001.cat, original, , Session 2429, , 2024-02-26
00060-00000001.dat, original, 00060-00000001.cat, Session 2429 - Weights, The weights of the ballots described in the file 00060-00000001.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000002.cat, original, , Session 2435, , 2024-02-26
00060-00000002.dat, original, 00060-00000002.cat, Session 2435 - Weights, The weights of the ballots described in the file 00060-00000002.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000003.cat, original, , Session 2441, , 2024-02-26
00060-00000003.dat, original, 00060-00000003.cat, Session 2441 - Weights, The weights of the ballots described in the file 00060-00000003.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000004.cat, original, , Session 2447, , 2024-02-26
00060-00000004.dat, original, 00060-00000004.cat, Session 2447 - Weights, The weights of the ballots described in the file 00060-00000004.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000005.cat, original, , Session 2453, , 2024-02-26
00060-00000005.dat, original, 00060-00000005.cat, Session 2453 - Weights, The weights of the ballots described in the file 00060-00000005.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000006.cat, original, , Session 2459, , 2024-02-26
00060-00000006.dat, original, 00060-00000006.cat, Session 2459 - Weights, The weights of the ballots described in the file 00060-00000006.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000007.cat, original, , Session 2465, , 2024-02-26
00060-00000007.dat, original, 00060-00000007.cat, Session 2465 - Weights, The weights of the ballots described in the file 00060-00000007.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000008.cat, original, , Session 2471, , 2024-02-26
00060-00000008.dat, original, 00060-00000008.cat, Session 2471 - Weights, The weights of the ballots described in the file 00060-00000008.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000009.cat, original, , Session 2477, , 2024-02-26
00060-00000009.dat, original, 00060-00000009.cat, Session 2477 - Weights, The weights of the ballots described in the file 00060-00000009.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000010.cat, original, , Session 2483, , 2024-02-26
00060-00000010.dat, original, 00060-00000010.cat, Session 2483 - Weights, The weights of the ballots described in the file 00060-00000010.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000011.cat, original, , Session 2489, , 2024-02-26
00060-00000011.dat, original, 00060-00000011.cat, Session 2489 - Weights, The weights of the ballots described in the file 00060-00000011.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000012.cat, original, , Session 2495, , 2024-02-26
00060-00000012.dat, original, 00060-00000012.cat, Session 2495 - Weights, The weights of the ballots described in the file 00060-00000012.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000013.cat, original, , Session 2501, , 2024-02-26
00060-00000013.dat, original, 00060-00000013.cat, Session 2501 - Weights, The weights of the ballots described in the file 00060-00000013.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000014.cat, original, , Session 2507, , 2024-02-26
00060-00000014.dat, original, 00060-00000014.cat, Session 2507 - Weights, The weights of the ballots described in the file 00060-00000014.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000015.cat, original, , Session 2513, , 2024-02-26
00060-00000015.dat, original, 00060-00000015.cat, Session 2513 - Weights, The weights of the ballots described in the file 00060-00000015.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000016.cat, original, , Session 2519, , 2024-02-26
00060-00000016.dat, original, 00060-00000016.cat, Session 2519 - Weights, The weights of the ballots described in the file 00060-00000016.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000017.cat, original, , Session 2525, , 2024-02-26
00060-00000017.dat, original, 00060-00000017.cat, Session 2525 - Weights, The weights of the ballots described in the file 00060-00000017.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000018.cat, original, , Session 2531, , 2024-02-26
00060-00000018.dat, original, 00060-00000018.cat, Session 2531 - Weights, The weights of the ballots described in the file 00060-00000018.cat in the format: ballot: list_of_weights., 2024-02-26
00060-00000019.cat, original, , Session 2537, , 2024-02-26
