file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00060-00000001.cat;1;2025-10-10 19:58:11.986370;91847efb634a1ce8cce5e4f04a71c1e4;original;921;18202;13841;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000002.cat;2;2025-10-10 19:58:12.000823;89288ebea16bb5c4d5f47747ab4813cf;original;919;18300;13893;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000003.cat;3;2025-10-10 19:58:12.013793;c9df980d0e5b358670f2b753dac4c8d8;original;918;18394;13946;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000004.cat;4;2025-10-10 19:58:12.027642;f6c38809729b60de2d3a43c01cbb2d70;original;920;18503;14009;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000005.cat;5;2025-10-10 19:58:12.040365;af69acf49376bfbbe3647899873b178c;original;921;18545;14039;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000006.cat;6;2025-10-10 19:58:12.052009;8f0291b96828157265795cc82b33615d;original;919;18582;14063;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000007.cat;7;2025-10-10 19:58:12.064323;616d758e339d705a7562de1984ad33b4;original;919;18636;14102;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000008.cat;8;2025-10-10 19:58:12.076619;ac5c823b00b4dc9d1e09b537aa366f88;original;920;18722;14157;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000009.cat;9;2025-10-10 19:58:12.090086;099dcd696ac1c66a9bbc0d5355520bdc;original;918;18895;14280;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000010.cat;10;2025-10-10 19:58:12.101567;658e31cd01f9058f0be562749c384e19;original;916;19095;14423;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000011.cat;11;2025-10-10 19:58:12.113206;fb6edb92072c4fc53d946f5f7cd8e182;original;921;19271;14549;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000012.cat;12;2025-10-10 19:58:12.125328;41900570c2de8316221c7b4b0f60b5b1;original;920;19470;14696;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000013.cat;13;2025-10-10 19:58:12.136508;007276566ccebd068f933f76ed2e0bbc;original;920;19674;14833;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000014.cat;14;2025-10-10 19:58:12.148359;656ab60a01ddfe5b53880b3d7b8ea607;original;922;19831;14950;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000015.cat;15;2025-10-10 19:58:12.159782;b8f4134fdd873162f3f03182f9ea452d;original;924;20007;15077;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000016.cat;16;2025-10-10 19:58:12.171809;22bdffbbb8dd86675fcfc8c0bc85c947;original;924;20241;15241;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000017.cat;17;2025-10-10 19:58:12.184727;5a34509cdb88c6c7e561a189bb9e33ce;original;926;20428;15364;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000018.cat;18;2025-10-10 19:58:12.196257;464d9b064f0a2a98d3f96ce171bc1253;original;929;20621;15499;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000019.cat;19;2025-10-10 19:58:12.208481;082547d2f02da9c52f108f7da877d11c;original;930;20778;15603;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000020.cat;20;2025-10-10 19:58:12.219854;f98c481ab8336ccaf3b03a78e8500367;original;932;20966;15748;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000021.cat;21;2025-10-10 19:58:12.232587;2b991d392af86ac3728cf1abed8e2bca;original;932;21126;15854;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000022.cat;22;2025-10-10 19:58:12.244361;d11bb569961bb7607e7a8e168b24cfb2;original;932;21292;15976;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000023.cat;23;2025-10-10 19:58:12.256998;d9257667e2c072cde367cbc89d7e672e;original;933;21458;16104;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000024.cat;24;2025-10-10 19:58:12.269352;9de611f5eeeb2149f59a8c7c527b2bb4;original;933;21609;16220;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000025.cat;25;2025-10-10 19:58:12.281569;1db57e82c8151d336806fdebcce72680;original;932;21764;16349;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000026.cat;26;2025-10-10 19:58:12.295075;b698d772b97f45fb4e6bbf6c981aae7d;original;931;21916;16450;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000027.cat;27;2025-10-10 19:58:12.307981;fd8d4e5a2eafa9a5af8de260c3a8a295;original;931;22059;16561;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000028.cat;28;2025-10-10 19:58:12.320856;7c10eae82d3d375d8032a3ad1e4a3d8d;original;931;22252;16704;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000029.cat;29;2025-10-10 19:58:12.333855;19a7560caf4bfd5ef46fcdd4b47744cf;original;931;22389;16813;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000030.cat;30;2025-10-10 19:58:12.346534;c2c90b75f110720c5a8deafefcd68794;original;931;22535;16915;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000031.cat;31;2025-10-10 19:58:12.360017;6c4cec6c81d14b6c8f1228058c609e1c;original;930;22678;17021;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000032.cat;32;2025-10-10 19:58:12.372573;351a8878a12a3751215063ab5378bda1;original;929;22725;17050;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000033.cat;33;2025-10-10 19:58:12.386104;9e88da52d06bcaca9d88e6e31737cbbc;original;932;22728;17054;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000034.cat;34;2025-10-10 19:58:12.398620;b623f474d5312e75a0a95841bb1b6805;original;932;22726;17057;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000035.cat;35;2025-10-10 19:58:12.411290;a00eff2d8459c4114d906c7f7e127a9f;original;933;22727;17045;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000036.cat;36;2025-10-10 19:58:12.424091;ea112ea17937ef35ba7d676c773623e5;original;935;22730;17047;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000037.cat;37;2025-10-10 19:58:12.436365;4f218ae6da752f66270caf209626d9ed;original;935;23370;17582;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000038.cat;38;2025-10-10 19:58:12.449098;c00e4a4ed71bc124318ce36d1b83ea4c;original;934;23369;17589;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000039.cat;39;2025-10-10 19:58:12.461946;b79a03653d416f47ace2e85770b91b33;original;914;23306;17519;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000040.cat;40;2025-10-10 19:58:12.474792;bef49593d519340510b00df0d66fad7f;original;909;23290;17515;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000041.cat;41;2025-10-10 19:58:12.488454;99c32d16c7894b1e136ffae1bf9ac488;original;909;23294;17530;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000042.cat;42;2025-10-10 19:58:12.502786;4778ed21c9f63b819778cc5c3c4506f7;original;910;23290;17525;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000043.cat;43;2025-10-10 19:58:12.517383;80b901bf2fac4774be0a008170544ac1;original;913;22336;16886;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000044.cat;44;2025-10-10 19:58:12.532917;f6aeb030a65cdf336837e926b3d21b0e;original;914;22410;16925;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000045.cat;45;2025-10-10 19:58:12.547621;f755bbdb7bbb9eb61e01232d083c1cfd;original;914;22491;16968;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000046.cat;46;2025-10-10 19:58:12.560234;4b01cfaefa1eb192734dc2380c99a2c7;original;915;22683;17104;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000047.cat;47;2025-10-10 19:58:12.572358;220f16681fed0e1c480455b26c5147db;original;915;22738;17147;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000048.cat;48;2025-10-10 19:58:12.584628;d358116606b908cb8abe6f878c5a8370;original;916;22814;17201;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000049.cat;49;2025-10-10 19:58:12.597080;05160125941694cbb47ae6a6d234a4cc;original;917;22896;17271;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000050.cat;50;2025-10-10 19:58:12.609253;845be95d24a46810ad3bdce0027d2cda;original;917;22509;17005;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000051.cat;51;2025-10-10 19:58:12.621555;9482eb6bc0e539a845f7d90fb63cc9fc;original;945;22675;17167;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000052.cat;52;2025-10-10 19:58:12.633574;64faad32b9726d68600cc5d0be632792;original;947;22807;17258;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000053.cat;53;2025-10-10 19:58:12.645888;14221950ea4bf46c104fb6eedb0d87de;original;946;22414;16995;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000054.cat;54;2025-10-10 19:58:12.657524;e0da4ee5200892c5c9dd7184d6b7d1d9;original;947;22495;17046;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000055.cat;55;2025-10-10 19:58:12.669711;27ab24ed1622cf572154f025fe897585;original;947;22575;17095;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000056.cat;56;2025-10-10 19:58:12.682031;70165c8a3a27d457ae746b39e85d8734;original;948;21216;16113;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000057.cat;57;2025-10-10 19:58:12.693348;794b0533cd8a6f2635999299418872b7;original;949;21306;16178;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000058.cat;58;2025-10-10 19:58:12.705553;9b34e35e944982e5d4fb832eb3e292ee;original;956;21406;16244;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000059.cat;59;2025-10-10 19:58:12.716990;1e6efd1c4e8f16b089718c72c2d4d506;original;957;21492;16310;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000060.cat;60;2025-10-10 19:58:12.728089;d43df98856434aafa911659a04b39c8a;original;957;21617;16387;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000061.cat;61;2025-10-10 19:58:12.740654;db177fd7f7be46a221acd5664add23fb;original;956;21728;16441;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000062.cat;62;2025-10-10 19:58:12.751931;2007119bb11c882527f0a5a6992da431;original;962;21813;16504;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000063.cat;63;2025-10-10 19:58:12.764062;266bf1340e54a44c9ff147224cde01d7;original;962;21931;16576;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000064.cat;64;2025-10-10 19:58:12.775528;71906385c1b263eff73a75468945ba42;original;953;21987;16603;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000065.cat;65;2025-10-10 19:58:12.787934;e6f3c9aeccfd378d131587e352471ce9;original;949;22016;16612;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000066.cat;66;2025-10-10 19:58:12.799687;e3a46bd2aa45ee5d9cc0ac6f24b37c63;original;949;22102;16680;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000067.cat;67;2025-10-10 19:58:12.810611;2867e54a072c2297f6316cebe5769364;original;949;22196;16777;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000068.cat;68;2025-10-10 19:58:12.822353;22b828228522e0d7ad14ca9517ec2b41;original;955;22226;16820;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000069.cat;69;2025-10-10 19:58:12.834302;a93fee686323db3fc63a29adba14cab6;original;955;22272;16852;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000070.cat;70;2025-10-10 19:58:12.846484;68f090d861d973e6fa8a01f6bbd1710b;original;956;22333;16910;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000071.cat;71;2025-10-10 19:58:12.858660;c6a0414fa86438af01c6174dafbc4772;original;955;22388;16962;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000072.cat;72;2025-10-10 19:58:12.871045;0bd54d9de7dd0c8c19a16ea04bab3984;original;953;22484;17036;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000073.cat;73;2025-10-10 19:58:12.882132;5fea0cfe349118d5a7cf5a69c0dbbe59;original;953;22591;17118;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000074.cat;74;2025-10-10 19:58:12.895271;0c4b4c3d7daf0814e35a52604c6a0e54;original;954;22678;17176;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000075.cat;75;2025-10-10 19:58:12.907251;5a3d12ca167aeacd709777c56454d7d4;original;952;22720;17218;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000076.cat;76;2025-10-10 19:58:12.921085;664d828ef9703b5c8beb5c1ff13585a5;original;954;22804;17265;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000077.cat;77;2025-10-10 19:58:12.933278;bc2816df456f4d3879002bc84b9e9183;original;955;22776;17247;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000078.cat;78;2025-10-10 19:58:12.945790;c054f4f053cb0afe75fe6f0ffc176d76;original;956;22767;17250;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000079.cat;79;2025-10-10 19:58:12.957987;cf32ec6443ec0e5321f6ce06daec038c;original;961;22767;17248;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000080.cat;80;2025-10-10 19:58:12.970403;303b56b761fccfed77eb772740c8c866;original;960;22798;17273;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000081.cat;81;2025-10-10 19:58:12.982814;586ab14f2f5d75f5927fb005de5f8f39;original;961;22858;17321;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000082.cat;82;2025-10-10 19:58:12.994843;98fe1856b4b2ded8bb806341ae911753;original;960;22898;17348;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000083.cat;83;2025-10-10 19:58:13.007381;8769be80ae24472e562bb29437a98039;original;961;22961;17401;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000084.cat;84;2025-10-10 19:58:13.019530;c1b889372ca3ccb531d2b12b29255cf6;original;963;23006;17454;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000085.cat;85;2025-10-10 19:58:13.032200;70e0022f0ed18c492399a99a6138e3cd;original;960;22997;17440;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000086.cat;86;2025-10-10 19:58:13.044884;a39b2ca511fa2319dc14d1b6b5737a19;original;960;23011;17439;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000087.cat;87;2025-10-10 19:58:13.057459;b1215421ca068957307513c8e3d6edc4;original;960;23016;17445;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000088.cat;88;2025-10-10 19:58:13.069884;3452c13e16a2fbb3e2c56d3885a6c7fc;original;961;23035;17461;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000089.cat;89;2025-10-10 19:58:13.084244;bd29eeeb3ec3052fef4f14d01936b791;original;962;23083;17491;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000090.cat;90;2025-10-10 19:58:13.097366;f7d33dfa3d97ebc90fdfcdcc5c1a2833;original;961;23109;17520;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000091.cat;91;2025-10-10 19:58:13.109829;546bb5c5e63068ad01133a20732ce1a1;original;961;23158;17569;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000092.cat;92;2025-10-10 19:58:13.121987;fa2a10ac3999ea9ddaaec41c92b14375;original;960;23144;17553;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000093.cat;93;2025-10-10 19:58:13.134951;dcb83a88a683d1535dd0584b8b620ed6;original;961;23135;17557;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000094.cat;94;2025-10-10 19:58:13.147185;07997d680d25a61190143962c75a97e4;original;960;23142;17550;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000095.cat;95;2025-10-10 19:58:13.159298;2651e95654dccfbb1b539d53fefcf4da;original;958;23110;17525;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000096.cat;96;2025-10-10 19:58:13.171510;41bd2ee60a3e28b913bab6f6c431f581;original;959;21159;16180;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000097.cat;97;2025-10-10 19:58:13.182765;6365f3e6f295edee423eb7758e14cf07;original;958;18489;14281;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000098.cat;98;2025-10-10 19:58:13.192808;c0565e0b628b3bc66e158d7a98a016e7;original;960;18519;14307;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000099.cat;99;2025-10-10 19:58:13.203100;a4c7917a5e8de9179ba5cf2645856e7a;original;961;18559;14335;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000100.cat;100;2025-10-10 19:58:13.212868;1b19c6c94a1332b3ee6b181ed583ecae;original;961;18580;14354;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000101.cat;101;2025-10-10 19:58:13.222697;09daf81bf587fefe8c91b4a9ae67fcf7;original;960;18573;14349;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000102.cat;102;2025-10-10 19:58:13.233634;f968f5e1ed5912bc7c17ca8ccab99522;original;957;18560;14333;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000103.cat;103;2025-10-10 19:58:13.245033;502fc33e161d53a49ff1fea29a2daff3;original;958;18494;14314;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000104.cat;104;2025-10-10 19:58:13.255451;d7813c552267bfaa4379f05523411a1c;original;958;18443;14286;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000105.cat;105;2025-10-10 19:58:13.265550;ffe1d42ed4f05bc24d50e792e325d19d;original;956;18383;14253;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000106.cat;106;2025-10-10 19:58:13.276835;c480a0ecf786f78a64e2ab2d8116d327;original;956;18319;14217;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000107.cat;107;2025-10-10 19:58:13.287187;96ab748abce8cbad7c98585279a48d85;original;951;18273;14173;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000108.cat;108;2025-10-10 19:58:13.297267;eee27e53f031775a5b32dd22d8ad206a;original;950;18271;14168;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000109.cat;109;2025-10-10 19:58:13.307481;107c4f1ccbdd2f021336639386f2f3d9;original;951;18268;14170;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000110.cat;110;2025-10-10 19:58:13.317586;0b008bc543b00b5f94e269d29054d5c1;original;948;18231;14137;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000111.cat;111;2025-10-10 19:58:13.328684;3d5c55b61c121a71710db4f5202fef11;original;959;18293;14248;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000112.cat;112;2025-10-10 19:58:13.338360;43a8a90c5b3fd1d40b090c6e31f197e3;original;959;18327;14254;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000113.cat;113;2025-10-10 19:58:13.349633;229685c041f57250932e67b03f05f65d;original;960;18372;14304;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000114.cat;114;2025-10-10 19:58:13.359707;629fbab3a9dbdc5772910eea6bca5f0e;original;957;18401;14320;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000115.cat;115;2025-10-10 19:58:13.371080;645067a3eab016947bb99537476404dd;original;956;18427;14332;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000116.cat;116;2025-10-10 19:58:13.381262;c43b8163cdf2bdff7c058a81398c6c98;original;954;18460;14357;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000117.cat;117;2025-10-10 19:58:13.391884;9a842a565e46ede1a8cda28b9ab70024;original;957;18527;14428;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000118.cat;118;2025-10-10 19:58:13.402296;f0b2f1d4853fe449661914dadd0c8c57;original;958;18570;14452;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000119.cat;119;2025-10-10 19:58:13.413016;33978a83eb5b8e852b1ccb16821b7fb6;original;958;18623;14488;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000120.cat;120;2025-10-10 19:58:13.423667;a8f0ae5e3081385bdcf5fec7bf5aa0df;original;957;18669;14522;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000121.cat;121;2025-10-10 19:58:13.434712;1ee204e22d72498eb9f7d2cc39fd065b;original;967;18722;14562;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000122.cat;122;2025-10-10 19:58:13.446111;10b400831d4d2725cfdaf09ee542ba25;original;968;18760;14578;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000123.cat;123;2025-10-10 19:58:13.457256;e4df31cb13be9c826f87af60144d11c6;original;967;18795;14606;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000124.cat;124;2025-10-10 19:58:13.467339;a8ebe886317db627deb928bc0854e88f;original;964;18813;14619;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000125.cat;125;2025-10-10 19:58:13.478550;23af9aedf459d327d1664c6a033cd2a8;original;964;18844;14665;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000126.cat;126;2025-10-10 19:58:13.489293;6f3d10e35125e500673c16310fab2996;original;971;18869;14660;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000127.cat;127;2025-10-10 19:58:13.500649;4bbc6c2621b66301f1e281a684d1ed19;original;975;18913;14702;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000128.cat;128;2025-10-10 19:58:13.511731;ed70f25ebc07789097b4201ae740f7ce;original;973;18952;14736;True;N/A;False;N/A;N/A;N/A;N/A
00060-00000129.cat;129;2025-10-10 19:58:13.523112;a042d4e8ffec804705c9814512567e4e;original;970;19004;14771;True;N/A;False;N/A;N/A;N/A;N/A
