file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00064-00000001.soi;1;2024-11-05 11:29:33.748673;49b174396af3fe343008e6259f99e955;original;19;19;19;False;True;False;False;N/A;N/A;N/A
00064-00000002.soi;2;2024-11-05 11:29:33.752673;6d7a16a6c878009bf584738e26ca3bf8;original;18;18;18;False;True;False;False;N/A;N/A;N/A
00064-00000003.soi;3;2024-11-05 11:29:33.752673;6747bc98773456e4fecfb8cab69803de;original;18;18;18;False;True;False;False;N/A;N/A;N/A
00064-00000004.soi;4;2024-11-05 11:29:33.752673;a829c9114dccd7c701363fd652fdbbf0;original;19;20;20;False;True;False;False;N/A;N/A;N/A
00064-00000005.soi;5;2024-11-05 11:29:33.752673;307f129151a7dfb03e92a0f45b7a9242;original;19;19;19;False;True;False;False;N/A;N/A;N/A
00064-00000006.soi;6;2024-11-05 11:29:33.752673;98c2d3a76c88a4c35f06da1d075abc50;original;19;19;19;False;True;False;False;N/A;N/A;N/A
00064-00000007.soi;7;2024-11-05 11:29:33.756673;024dcc179deee3f1d7835c4c9805bce2;original;19;20;20;False;True;False;False;N/A;N/A;N/A
00064-00000008.soi;8;2024-11-05 11:29:33.756673;75c265855baf7d055084827b04d47bda;original;17;18;18;False;True;False;True;N/A;N/A;N/A
00064-00000009.soi;9;2024-11-05 11:29:33.756673;4f7e8dbddea84aa992140d88b2c62841;original;18;20;20;False;True;False;False;N/A;N/A;N/A
00064-00000010.soi;10;2024-11-05 11:29:33.756673;7f109f003fcbdb446f80306fc9fefbba;original;19;19;19;False;True;False;False;N/A;N/A;N/A
00064-00000011.soi;11;2024-11-05 11:29:33.756673;0a9ced48ab342d755ec42d2520222fd9;original;19;19;19;False;True;False;False;N/A;N/A;N/A
00064-00000012.soi;12;2024-11-05 11:29:33.756673;bc8ee47f9aac3538b4d0b63d09c6a2b7;original;20;20;20;False;True;False;True;N/A;N/A;N/A
00064-00000013.soi;13;2024-11-05 11:29:33.760673;4b28d6faabf287bdebc61fcc7d1acff4;original;21;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000014.soi;14;2024-11-05 11:29:33.760673;b428c4382d9f34db8c36f963085891c4;original;20;21;21;False;True;False;False;N/A;N/A;N/A
00064-00000015.soi;15;2024-11-05 11:29:33.760673;4f833a479dce9549a2f927a1a441c8b4;original;21;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000016.soi;16;2024-11-05 11:29:33.760673;8cd0b6b12eaddc7adcb6c8c9b7779674;original;22;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000017.soi;17;2024-11-05 11:29:33.760673;8df1cd67be54dc3437da9f4b3543a725;original;21;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000018.soi;18;2024-11-05 11:29:33.764673;fab0aa26fd6298119f7afc5291acc449;original;23;23;23;False;True;False;False;N/A;N/A;N/A
00064-00000019.soi;19;2024-11-05 11:29:33.764673;3aa17ac8263d0ee7bbd0204e8bc71702;original;25;25;25;False;True;False;False;N/A;N/A;N/A
00064-00000020.soi;20;2024-11-05 11:29:33.764673;2549b2acc4089c7e7074ab299d7204af;original;24;25;25;False;True;False;False;N/A;N/A;N/A
00064-00000021.soi;21;2024-11-05 11:29:33.764673;62d4f6fdd2c21c7429bf9ab9606ba828;original;23;23;23;False;True;False;False;N/A;N/A;N/A
00064-00000022.soi;22;2024-11-05 11:29:33.764673;15e78db4837c5ec7f080074418a6a375;original;23;23;23;False;True;False;True;N/A;N/A;N/A
00064-00000023.soi;23;2024-11-05 11:29:33.768673;35a469846fb170127bd11729b418fed6;original;23;25;25;False;True;False;False;N/A;N/A;N/A
00064-00000024.soi;24;2024-11-05 11:29:33.768673;91e55655ece16f945d06049acdfce7bd;original;24;25;25;False;True;False;True;N/A;N/A;N/A
00064-00000025.soi;25;2024-11-05 11:29:33.768673;cec43d8312b04a50e10aa1fce87854a1;original;23;23;23;False;True;False;True;N/A;N/A;N/A
00064-00000026.soi;26;2024-11-05 11:29:33.768673;358d963df216f4fdc343b67e5c6f44d4;original;24;24;24;False;True;False;False;N/A;N/A;N/A
00064-00000027.soi;27;2024-11-05 11:29:33.772673;69b22845e9ffb366860de2c784be9423;original;23;23;23;False;True;False;False;N/A;N/A;N/A
00064-00000028.soi;28;2024-11-05 11:29:33.772673;f6fc7bba34b092d420f65cd45903694d;original;24;24;24;False;True;False;False;N/A;N/A;N/A
00064-00000029.soi;29;2024-11-05 11:29:33.772673;e0d23e5b1a5a9f9400d12c1bcba729cb;original;25;26;26;False;True;False;False;N/A;N/A;N/A
00064-00000030.soi;30;2024-11-05 11:29:33.772673;daa14ee682a0413051f8746d06ab2e92;original;24;36;36;False;True;False;False;N/A;N/A;N/A
00064-00000031.soi;31;2024-11-05 11:29:33.776673;bb88a76f82f31ecc6c1b5a57a2c67596;original;21;33;33;False;True;False;True;N/A;N/A;N/A
00064-00000032.soi;32;2024-11-05 11:29:33.776673;4d5ec48b3e12827261582718e8d1305d;original;24;39;39;False;True;False;False;N/A;N/A;N/A
00064-00000033.soi;33;2024-11-05 11:29:33.776673;51fe44b34b507c9687439ba98963338b;original;25;39;39;False;True;False;False;N/A;N/A;N/A
00064-00000034.soi;34;2024-11-05 11:29:33.780673;de8ef828e23b9b3d44508f6c36796ee8;original;24;38;38;False;True;False;False;N/A;N/A;N/A
00064-00000035.soi;35;2024-11-05 11:29:33.780673;7d6424362208bc64734410db4b09443a;original;23;38;38;False;True;False;False;N/A;N/A;N/A
00064-00000036.soi;36;2024-11-05 11:29:33.780673;c7857496f7e2a7899a747af1bea36c5b;original;24;42;42;False;True;False;False;N/A;N/A;N/A
00064-00000037.soi;37;2024-11-05 11:29:33.784673;5f6e9df887b80c18ba2670dcc875da91;original;28;42;42;False;True;False;False;N/A;N/A;N/A
00064-00000038.soi;38;2024-11-05 11:29:33.784673;03bf9973f2130fc15f62d3f71405dd75;original;25;43;43;False;True;False;False;N/A;N/A;N/A
00064-00000039.soi;39;2024-11-05 11:29:33.784673;29f39f295698132d81738673e3035e01;original;19;21;21;False;True;False;False;N/A;N/A;N/A
00064-00000040.soi;40;2024-11-05 11:29:33.784673;b50e7e004810da0f68cbd6a289b949e6;original;19;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000041.soi;41;2024-11-05 11:29:33.788673;21c2d76b91a6b0f5e0e9f9ffc00df784;original;25;42;42;False;True;False;False;N/A;N/A;N/A
00064-00000042.soi;42;2024-11-05 11:29:33.788673;19f12cf71e851765667f55828b288746;original;17;20;20;False;True;False;False;N/A;N/A;N/A
00064-00000043.soi;43;2024-11-05 11:29:33.788673;4b6224af575d91e8dbd1288eb46395e0;original;19;22;22;False;True;False;False;N/A;N/A;N/A
00064-00000044.soi;44;2024-11-05 11:29:33.788673;1dd6ec0c29f0eccec56e58a27da1b102;original;25;39;39;False;True;False;False;N/A;N/A;N/A
