file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00069-00000001.cat;1;2025-10-06 16:41:37.375792;d0d477c6fe96948e2707b023a3f6f2e7;original;54;339;306;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000002.cat;2;2025-10-06 16:41:37.741763;a615c875ff0fd2dbddcd8d8f8d648179;original;896;2031;1867;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000003.cat;3;2025-10-06 16:41:38.079636;7045a9fef0aa1f1fb19c7049d09073ab;original;1039;1756;1737;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000004.cat;4;2025-10-06 16:41:38.193551;abe431c349598a71bf411d71b2632b6c;original;522;1116;1096;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000005.cat;5;2025-10-06 16:41:39.421292;654a56a05d507c438ae9717a64dbfdae;original;2138;3142;3096;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000006.cat;6;2025-10-06 16:41:39.591239;cac146e8fd0568bb0a78d89fa6db8bd9;original;613;1503;1483;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000007.cat;7;2025-10-06 16:41:40.582043;833d5e5694c6fe5f15be96d7f767226b;original;1452;3616;3523;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000008.cat;8;2025-10-06 16:41:40.597256;2798c5d79c99ce72bd2e251861276452;original;371;126;126;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000009.cat;9;2025-10-06 16:41:40.602839;1476f1d11e08427efb8ef3dd9484d3b0;original;50;204;203;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000010.cat;10;2025-10-06 16:41:40.621642;df78b2cfffc5513968427acb3e5f3824;original;174;448;434;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000011.cat;11;2025-10-06 16:41:40.694123;4d242ed9657ebb1bcc382ce7821d74b4;original;298;1487;1205;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000012.cat;12;2025-10-06 16:41:40.695137;70ae2bf70ccdacecc9e9715576a3e0fe;original;39;26;26;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000013.cat;13;2025-10-06 16:41:43.106739;219b020bd1dace01d60269d670a26060;original;2162;6289;6033;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000014.cat;14;2025-10-06 16:41:43.124826;9c51780d2583e1b319bd2e8e848b171b;original;165;381;372;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000015.cat;15;2025-10-06 16:41:43.162239;5dc207bc0f02e3f320ff452a00e9b170;original;316;536;527;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000016.cat;16;2025-10-06 16:41:43.166478;24a617f0ce9f4cdbb15a7599cc1a952e;original;80;117;117;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000017.cat;17;2025-10-06 16:41:43.181676;500f2fe9c9b7f5aa098a45635fd8f993;original;148;334;333;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000018.cat;18;2025-10-06 16:41:43.187987;7094be4473bab6c9015c23c96ffc0cbd;original;71;234;228;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000019.cat;19;2025-10-06 16:41:43.220962;97a9c0547bb2c99c57caf640439d4bbe;original;297;404;401;False;N/A;False;N/A;N/A;N/A;N/A
00069-00000020.cat;20;2025-10-06 16:41:43.307157;fe1ab1e29ba88b073596c8c306f8d34f;original;197;1921;1740;False;N/A;False;N/A;N/A;N/A;N/A
