file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00070-00000001.soc;1;2025-10-14 11:50:49.018037;be0becaaea8c327ee06c8bb0e3b59b5c;original;4;5;1;False;True;True;True;True;True;True
00070-00000002.soc;2;2025-10-14 11:50:49.018037;5ec7f02e2b9a677c404693f1f91b492b;original;4;5;4;False;True;True;True;False;True;True
00070-00000003.soc;3;2025-10-14 11:50:49.018037;353f4b19e74d2b5ad84e743e84c1252b;original;4;5;3;False;True;True;True;True;True;True
00070-00000004.soc;4;2025-10-14 11:50:49.047847;f09ee7e6c17b18f2cad6a15b2a610496;original;4;5;4;False;True;True;True;False;True;True
00070-00000005.soc;5;2025-10-14 11:50:49.047847;5703b7ab6cfeed1e253e0622d7a3c942;original;4;5;4;False;True;True;True;True;True;True
00070-00000006.soc;6;2025-10-14 11:50:49.047847;20caaa82f7574d64dfec8bb5b325530c;original;4;5;4;False;True;True;True;False;True;True
00070-00000007.soc;7;2025-10-14 11:50:49.064780;0c58fd1391102298c9f7d1e73448bacb;original;4;5;2;False;True;True;True;True;True;True
00070-00000008.soc;8;2025-10-14 11:50:49.064780;77e9848932379174c0e9d16c8347a8c1;original;4;5;4;False;True;True;True;True;True;True
00070-00000009.soc;9;2025-10-14 11:50:49.064780;d620987cfb5ffb68e5ab433dcf3a4d5b;original;4;5;4;False;True;True;True;True;False;True
00070-00000010.soc;10;2025-10-14 11:50:49.081681;cbd4ab91fb6f1138c9eb6a4cdb91ac58;original;4;5;3;False;True;True;True;True;True;True
00070-00000011.soc;11;2025-10-14 11:50:49.081681;1f3e45f0bbf0bfef69516592f8dba327;original;4;5;4;False;True;True;False;False;False;False
00070-00000012.soc;12;2025-10-14 11:50:49.081681;2c2feb431972c4f69fdf4d3b476ce901;original;4;5;5;False;True;True;True;False;True;True
00070-00000013.soc;13;2025-10-14 11:50:49.081681;95991b08fab4863ff9a485aa76db74f6;original;4;5;3;False;True;True;True;False;True;True
00070-00000014.soc;14;2025-10-14 11:50:49.098021;1399ab2c81144452862afdd1672af879;original;4;5;4;False;True;True;True;False;True;True
00070-00000015.soc;15;2025-10-14 11:50:49.098021;9ec27468d65537311b48882fb1b1e26b;original;4;5;1;False;True;True;True;True;True;True
00070-00000016.soc;16;2025-10-14 11:50:49.098021;55945db66608cff4bfc705a270c70d73;original;4;5;4;False;True;True;True;False;True;True
