file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00073-00000001.cat;1;2025-10-14 16:16:21.467776;dc1476bba63d7b1a9cdfe0ce517f1fdd;original;10;930;158;True;N/A;True;N/A;N/A;N/A;N/A
00073-00000001.toc;1;2025-10-14 16:16:21.468785;3a02369b8ee399dd4dcf874c2b80467c;induced;10;902;156;True;False;True;True;False;N/A;N/A
00073-00000002.cat;2;2025-10-14 16:16:21.471303;595c6a4e8b50b97a32f50c4c9a3c922d;original;10;387;109;True;N/A;True;N/A;N/A;N/A;N/A
00073-00000002.toc;2;2025-10-14 16:16:21.471303;5455a64e1009e98a9827f708142cf046;induced;10;376;108;True;False;True;True;False;N/A;N/A
00073-00000003.cat;3;2025-10-14 16:16:21.475440;adfe3e31aaf65666a83129a7c194cb5b;original;10;1023;167;True;N/A;True;N/A;N/A;N/A;N/A
00073-00000003.toc;3;2025-10-14 16:16:21.476446;791389a124e6f8927f881e9474f35619;induced;10;961;165;True;False;True;True;False;N/A;N/A
00073-00000004.cat;4;2025-10-14 16:44:17.469017;901639b958706287484bf7390fa986bb;original;10;930;692;False;N/A;False;N/A;N/A;N/A;N/A
00073-00000004.toc;4;2025-10-14 16:44:17.475567;a846de75d85da44ca15bdf17734c2e7c;induced;10;890;507;False;False;False;True;False;N/A;N/A
00073-00000005.cat;5;2025-10-14 16:44:17.479554;28cbc4ebb370ca8fa234038b72695795;original;10;387;279;False;N/A;True;N/A;N/A;N/A;N/A
00073-00000005.toc;5;2025-10-14 16:44:17.483554;71677d674438023ba06ca5fe74cadf5e;induced;10;373;275;False;False;True;True;False;N/A;N/A
00073-00000006.cat;6;2025-10-14 16:44:17.504506;0ccc4c26aa7dbf11b7e2b59e9be75006;original;10;1023;922;False;N/A;True;N/A;N/A;N/A;N/A
00073-00000006.toc;6;2025-10-14 16:44:17.538214;13c0853e2fcc85cbbbe81c2f4d8fb015;induced;10;955;833;False;False;True;True;False;N/A;N/A
