file;file_number;last_modif;md5;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00075-00000001.cat;1;2026-01-30 11:52:13.078425;73e3f444383c7b88d78ee7fbde219717;original;9;205;83;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000001.toc;1;2026-01-30 11:52:13.079431;1234807b38254fefd376411d0fa691c5;induced;9;156;82;True;False;True;True;False;N/A;N/A
00075-00000002.cat;2;2026-01-30 11:52:13.080461;2bf752e4f0f1579a6d9d2de0dd0bea46;original;9;176;78;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000002.toc;2;2026-01-30 11:52:13.081467;9a16068d772343e1bed7bb5574751374;induced;9;150;77;True;False;True;True;False;N/A;N/A
00075-00000003.cat;3;2026-01-30 11:52:13.083496;312e70f5ec4f9e9d372c6c9dc90b2cb5;original;9;183;81;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000003.toc;3;2026-01-30 11:52:13.084500;28144c90a7b1a16a78cc7b9ad209fdd2;induced;9;152;80;True;False;True;True;False;N/A;N/A
00075-00000004.cat;4;2026-01-30 11:52:13.084500;85e3df24037b5be00c081b2b2c7f1add;original;9;119;54;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000004.toc;4;2026-01-30 11:52:13.086006;9543984ee0097a52e6dd791b32701593;induced;9;115;53;True;False;True;True;False;N/A;N/A
00075-00000005.cat;5;2026-01-30 11:52:13.087049;1e713b661e75512ee517c3e07ee57730;original;9;128;72;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000005.toc;5;2026-01-30 11:52:13.089073;7763cfbada4e965069c13546ef77c40e;induced;9;107;71;True;False;True;True;False;N/A;N/A
00075-00000006.cat;6;2026-01-30 11:52:13.089073;f22e3b8e9be29f411dd16562aae178c0;original;9;126;76;True;N/A;True;N/A;N/A;N/A;N/A
00075-00000006.toc;6;2026-01-30 11:52:13.090083;1ce85691837bd777e4ff0de3e1de528d;induced;9;118;75;True;False;True;True;False;N/A;N/A
