userid,userid
17546,26846
34873,9903
99,28034
13957,4049
13957,29429
37343,11527
15115,10155
25332,38445
36680,10880
37811,19900
24352,25507
36680,38703
36680,22543
2298,10039
21845,29040
21845,15331
11672,28812
18860,11532
2298,3035
12328,33526
25183,32350
25456,23337
36680,1377
25332,28156
923,15741
25332,7472
8727,20665
36680,34933
24352,36471
5510,15913
21845,7582
25332,11522
25332,6422
38363,36611
2298,35660
25332,24426
6362,23333
6362,28994
2298,17472
34873,8594
25183,16737
36680,4639
38363,33072
17830,6484
18111,9136
2298,9389
2298,9500
2298,10283
6614,38768
2298,6570
38363,20
6362,19841
23521,23853
2298,26535
18860,16728
25332,4444
5946,5449
24352,21024
24352,21212
8727,29946
24352,3561
34873,1631
6614,27675
32870,6333
32870,18041
38363,4632
32870,8115
32870,609
32870,26108
32870,19962
2298,12117
32870,5278
32870,28667
32870,28523
32870,12136
32870,10263
32870,5995
6614,37243
25332,25985
23992,9094
5811,35881
37811,18979
23992,30671
36680,13558
2298,2110
21343,17308
2298,27255
15115,28272
18860,9417
25183,20501
11672,32300
2298,21659
19182,34070
19182,13244
21538,33572
25117,13789
8727,27593
26476,24536
18860,33547
38363,21499
26300,32547
6614,39321
38359,14689
6614,36831
2298,20673
2298,2916
19645,37579
2298,38278
21343,11057
17546,19047
8727,36934
2298,4867
2298,37040
2298,3535
2298,13378
2298,6313
2298,5219
2298,14933
34873,31761
18860,15002
2298,26758
2298,20288
38742,7124
26200,36967
38363,30140
6614,15195
38363,21939
6614,36769
32870,18385
2298,4513
34873,33966
6614,13186
15115,8462
37811,8406
18860,32514
25332,729
27286,4117
19955,26173
23992,8360
18860,31751
34873,14704
21343,38302
18860,6410
2298,35947
17546,17392
18860,15412
8727,23965
2298,28910
25456,30019
36680,12960
36680,10388
36680,844
33856,1487
34873,16469
26300,33425
32870,33055
5946,4169
11672,36367
25183,13917
18860,23914
25183,8482
18860,36595
11672,21250
19955,23563
36680,10162
36680,21004
99,30044
6614,38465
37343,32872
36680,2006
9791,5999
2298,289
11672,8851
6614,35049
31336,39030
17830,33243
26300,24243
6362,35858
15115,36528
15115,11675
2298,19416
11672,12676
38742,32024
25183,33591
25183,27373
21845,29572
18860,27814
11672,26176
15115,20414
11672,28953
15115,28733
23521,3079
17546,19586
24352,9740
24352,24249
24352,7799
17546,28440
32870,10103
18860,21116
34873,1715
23521,20683
31336,4345
36680,36199
26200,34708
15115,28018
25183,35316
34873,20331
17546,22702
19211,27543
17546,6105
2298,30615
15115,15164
25183,19739
17546,2688
37811,37878
24352,12901
34873,27668
18782,33337
25456,31649
5510,17582
2298,9989
25183,27997
19955,14989
23521,9830
30850,26010
17546,5989
25183,30584
26300,13962
12328,35130
34873,6323
34873,36100
38363,37470
34873,14657
24352,7642
2298,28668
17546,9120
11672,23764
8727,31509
12255,2159
2298,18894
6614,2774
5621,8589
540,8589
20276,8127
25183,13242
34873,15018
26991,9959
6614,11144
3668,17158
12255,38670
37811,38670
2298,11465
23521,19181
23521,21653
2298,204
24352,22449
5811,33639
5811,7627
34873,9574
24352,4822
36680,19825
36680,8835
5811,1448
36680,16665
36680,39212
2298,13451
38363,34783
38363,25627
37811,24853
8727,4141
32870,20219
6614,18563
18111,38261
20751,38261
19645,14356
15115,26831
24352,25408
25332,24539
8727,20048
21343,31296
26300,560
26300,18352
24352,11827
34873,4201
23521,35757
2298,14639
25183,15753
17546,12830
38742,38454
23521,28413
13957,20988
13957,38690
18860,29653
8872,11853
21343,11853
18111,9557
18111,7244
18111,7783
12953,7978
18111,3428
38363,8772
18860,5625
6614,15414
38363,15094
36680,30242
37811,11247
12255,1996
25183,37636
25183,28123
11672,23257
8727,92
34873,31276
12255,21021
26991,20437
37811,10619
6614,27400
38363,38318
15115,18972
15115,9765
34873,3301
23521,35698
12255,4527
26553,36916
15115,21932
2298,17718
15115,29215
2298,37992
19955,36881
23362,13127
38742,19830
38742,27105
35496,32821
25183,9980
17546,23758
19955,36032
11672,15388
34873,37445
25332,17885
34873,25707
26200,33552
11672,1323
37811,18676
37811,8395
36680,22784
38359,35090
15115,25390
15115,37504
2298,19100
6614,23527
24352,4823
6614,3137
19358,8986
15115,24370
34873,30283
2298,4338
24352,11812
25183,27048
17546,25981
25183,2992
6614,2701
38363,16105
8727,21816
23521,16567
25183,35038
25183,31455
36680,681
36680,27122
34873,10772
26300,2579
19182,39040
26300,29804
26300,39056
6614,6403
6614,25883
17546,31215
24352,2983
24352,38087
37811,10087
6614,13187
11672,29569
23521,26398
38363,19522
34873,18449
23521,6112
2298,776
21343,943
25183,18999
17546,15355
8727,37925
21845,23289
2298,36498
2298,6777
38363,25193
