5
1,Dawn Mcmahan 
2,Mario Juarez 
3,Aracely ''Shelly'' Garza 
4,Noel Gallo 
5,Write-In 
11358,11358,182
901,4,4,4
733,4
730,2,2,2
530,2
482,4,2,3
425,4,2,1
396,4,1,2
386,2,4,1
372,4,1,3
365,2,4,3
331,4,3,1
304,1,4,2
295,2,1,4
272,2,3,4
272,1,1,1
242,4,3,2
236,1,2,4
219,2,3,1
213,1,4,3
203,2,1,3
188,1
188,1,2,3
183,2,4
178,4,2
152,1,3,4
141,2,1
118,3,3,3
115,1,3,2
107,2,3
93,1,2
91,4,1
88,4,3
86,3,4,1
74,3,2,4
70,2,4,2
69,3,2,1
69,3,1,2
68,4,2,4
66,3,1,4
61,3,4,2
56,3
53,1,4
46,4,4,2
41,5,5,5
40,2,2,4
37,4,4
36,2,4,4
35,4,1,4
34,1,4,1
31,2,2
30,1,3
29,4,4,3
28,3,4
27,4,4,1
26,1,2,1
25,2,1,2
24,4,3,4
22,4,5,5
21,2,3,2
21,1,4,4
20,2,5,5
19,2,2,1
19,2,2,3
18,3,2
18,1,1,2
17,1,2,2
16,2,1,1
16,4,2,2
15,1,1,4
14,3,1
14,1,1,3
13,4,1,1
13,{1,2},{1,2},{1,2}
12,1,3,1
12,4,2,5
11,4,1,5
11,{1,2}
11,3,4,4
11,3,1,3
10,1,4,5
10,4,3,3
9,3,4,3
9,3,3
9,1,2,5
9,3,2,3
9,2,1,5
8,1,5,5
7,3,3,4
7,4,3,5
6,1,1
6,2,4,5
6,5
6,3,2,2
6,2,3,3
6,5,2,3
6,3,1,1
5,1,3,5
5,4,{1,2},{1,2}
5,2,3,5
5,4,5
5,5,1,2
4,1,3,3
4,5,4,1
4,3,4,5
4,{1,2},{1,2}
4,4,5,1
4,4,5,2
3,2,3,{1,2}
3,2,4,{1,2}
3,4,{1,2},4
3,{1,2},4,1
3,3,3,2
3,{1,2},3
3,3,5,5
3,5,2,1
3,4,{1,2},2
3,3,{1,2},4
3,1,5,2
3,3,1,5
3,4,1,{1,2}
2,1,{1,2},4
2,{1,2},2
2,5,5,4
2,4,5,3
2,2,5
2,4,4,{1,2}
2,2,{1,2},2
2,3,3,1
2,3,{1,2},{1,2}
2,1,3,{1,2}
2,{1,2},1,4
2,{1,2},1,3
2,{1,2},{1,2},2
2,{1,2},{1,2},4
2,1,{1,2}
2,{1,2},2,1
2,{1,2},2,2
2,{1,2},4,4
2,{1,2},{1,2},1
2,1,{1,2},{1,2}
2,2,{1,2},1
2,{1,2},3,4
2,{1,2},3,1
2,2,{1,2},4
2,3,4,{1,2}
1,1,{1,2},3
1,{1,2},4
1,2,{1,2},{1,2}
1,5,5,1
1,4,5,4
1,{1,2},1,{1,2}
1,3,5,2
1,4,{1,2},3
1,2,5,4
1,1,4,{1,2}
1,3,3,5
1,{1,2},4,2
1,5,1,3
1,5,3,1
1,2,{1,2},3
1,5,5,2
1,5,5,3
1,{1,2},1,2
1,{1,2},{1,2},3
1,2,{1,2}
1,4,{1,2},1
1,1,1,5
1,2,1,{1,2}
1,{1,2},3,{1,2}
1,{1,2},5,{1,2}
1,{1,2},2,4
1,4,4,5
1,3,{1,2},1
1,4,{1,2}
1,4,2,{1,2}
1,1,{1,2},2
1,1,{1,2},1
1,{1,2},{1,2},5
1,2,2,{1,2}
1,2,5,2
1,5,1,5
1,{1,2},3,2
