8
1,Eva Royale 
2,Vern Mathews 
3,Mark Sanchez 
4,Eric Storey 
5,Tom Valtin 
6,David Campos 
7,Eric Quezada 
8,Write-In 
26799,26799,492
2663,6,7,3
1861,3,6,7
1691,6,3,7
1608,3,7,6
1288,7,3,6
1274,7,6,3
852,6
691,3
543,6,3,1
495,7
445,6,3
403,6,6,6
389,3,6,1
365,7,7,7
349,3,3,3
320,6,7,1
312,3,6
283,6,3,5
279,3,6,5
278,6,7
223,1
219,3,1,6
213,7,6,1
211,6,1,3
204,3,7,1
198,3,7
195,7,3,1
185,1,3,6
180,6,1,7
166,7,6
163,7,3
162,6,7,5
161,3,1,7
149,4
142,3,7,5
139,7,1,3
129,3,5,6
128,1,6,7
123,7,1,6
118,1,1,1
118,1,3,7
117,6,3,4
117,1,6,3
109,7,6,5
107,6,5,3
105,7,3,5
96,6,5,7
88,1,7,6
85,1,7,3
81,3,5,7
79,5,6,3
77,{1,2},{1,2},{1,2}
76,5
71,6,3,2
68,6,5,1
68,6,7,4
68,3,1,5
66,3,6,2
66,6,1
65,3,6,4
64,{1,2}
63,6,1,5
63,3,5,1
58,4,4,4
57,6,3,6
55,5,6,7
54,3,1
54,2
54,6,1,2
53,6,4,3
51,3,4,6
50,5,3,6
50,7,5,6
49,1,3,5
46,1,3
45,5,5,5
44,1,2,3
44,6,7,2
41,3,7,4
40,7,1,5
40,1,4,5
39,4,6,3
39,5,7,6
39,6,5
38,6,4,1
37,7,5,3
37,2,4,5
36,1,3,4
36,7,6,2
36,7,3,4
34,7,3,2
32,6,1,4
32,1,5,7
32,1,7,5
32,1,6,5
32,3,1,2
31,1,7
31,5,4,2
31,6,7,6
31,4,5,2
31,7,1
31,6,6
31,5,6,1
31,3,1,4
30,6,5,4
30,3,5,4
29,3,6,3
29,3,7,3
29,7,6,4
29,6,6,3
28,3,5
28,5,3,7
28,5,7,3
28,4,1,5
28,2,4,1
28,7,6,7
28,7,3,7
27,2,3,6
27,3,7,2
27,3,4,1
27,3,5,2
27,4,2,1
27,4,2,5
26,1,4,2
26,3,3
26,3,4,2
26,3,2,1
26,3,6,6
26,6,4,5
25,7,7,6
25,7,5,1
25,1,2,5
25,1,5,3
25,3,4,7
25,5,6
25,1,2,4
24,7,1,2
24,6,5,2
24,1,5,6
24,1,3,2
24,3,2,6
24,6,4,7
23,5,3,1
23,6,2,7
23,3,3,6
23,6,2,5
22,8,8,8
22,5,1,3
22,5,1,6
22,2,1,4
22,4,5
22,6,2,1
22,6,2,3
21,4,1,3
21,4,1,6
21,4,5,6
21,6,4
21,1,2,6
20,1,6
20,1,4,7
20,4,3,6
20,4,3,7
20,1,5,2
20,6,3,3
20,4,5,1
20,1,6,4
19,4,6,7
19,7,1,4
19,5,4,1
19,2,3,4
19,4,1
19,4,6
19,4,3,1
19,3,4,5
19,2,2,2
19,2,4,6
19,7,7
18,7,7,3
18,1,4,6
18,4,1,2
18,7,4,6
18,7,4,1
18,5,3
18,7,3,3
18,5,6,4
18,1,6,2
17,2,5,4
17,4,7,3
17,5,7,1
17,6,6,7
16,5,1,7
16,3,4
16,{1,2},{1,2}
16,1,5,4
16,3,2,4
16,7,2,6
16,3,7,7
16,3,3,7
15,5,1,4
15,1,7,2
14,5,1,2
14,4,2
14,7,4,3
13,4,6,1
13,7,5,4
13,2,1,5
13,2,1,3
13,{1,2},6,7
13,7,4,5
13,5,6,2
13,5,2,6
13,6,4,2
12,1,4
12,{1,2},3
12,2,3,7
12,4,7,6
12,4,1,7
12,2,4,3
12,5,2,1
12,5,2,4
11,1,4,3
11,2,4
11,2,5,1
11,6,1,6
11,4,3,2
11,4,3,5
11,4,7,1
11,4,5,3
11,7,2,1
11,{1,2},3,6
11,5,1
11,5,4
11,7,6,6
11,7,5
10,1,2
10,5,4,3
10,7,5,2
10,2,5,7
10,{1,2},6,3
10,1,7,4
10,3,2,5
10,6,2,4
9,5,4,6
9,2,3,5
9,1,3,3
9,6,7,7
9,2,6,3
9,2,4,7
9,1,6,1
9,4,2,7
9,4,2,6
8,2,1,6
8,4,3
8,4,7
8,5,7,2
8,2,6,7
8,5,2,3
8,5,7
8,3,6,8
8,1,2,7
7,4,6,2
7,7,7,1
7,5,3,2
7,5,4,7
7,2,5
7,2,7,1
7,2,7,6
7,2,3,1
7,5,3,4
7,6,1,1
7,{1,2},6,6
7,8
7,4,5,7
7,3,2,7
7,2,6,5
7,7,2,3
7,{1,2},7,3
7,{1,2},7,7
7,3,5,3
7,3,3,1
7,4,2,3
6,5,3,3
6,{1,2},7
6,2,7,5
6,4,7,5
6,6,3,8
6,7,4,2
6,2,6,1
6,{1,2},3,3
6,{1,2},7,6
6,7,{1,2},6
6,6,6,5
6,3,6,{1,2}
6,5,2,7
5,1,1
5,2,3
5,2,5,3
5,2,1,7
5,{1,2},5
5,5,7,4
5,6,{1,2},7
5,7,{1,2},{1,2}
5,2,6,4
5,3,7,8
5,{1,2},3,7
5,5,2
5,6,6,1
5,5,6,6
5,3,1,3
4,1,5
4,{1,2},6,{1,2}
4,4,6,5
4,7,1,7
4,2,1
4,3,{1,2},{1,2}
4,5,1,5
4,2,7,4
4,6,6,{1,2}
4,6,5,6
4,3,7,{1,2}
4,1,5,5
4,4,7,2
4,7,8,8
4,1,3,1
4,6,7,8
4,4,5,4
4,6,{1,2},1
4,2,6,6
4,7,2,4
4,7,2,5
4,{1,2},7,1
4,6,2
4,3,3,4
4,3,3,2
4,6,8,8
4,{1,2},7,{1,2}
4,7,2
4,7,4
3,6,{1,2},{1,2}
3,1,4,4
3,2,6
3,2,5,6
3,2,1,1
3,8,6,3
3,5,3,5
3,1,{1,2}
3,6,{1,2}
3,{1,2},2,1
3,3,4,4
3,4,7,7
3,4,7,4
3,3,{1,2}
3,1,7,7
3,1,{1,2},{1,2}
3,{1,2},3,1
3,5,2,2
3,7,6,8
3,7,{1,2},3
3,7,{1,2}
3,1,6,6
3,1,2,1
3,3,1,1
3,6,4,4
2,4,6,4
2,7,1,1
2,7,7,5
2,7,7,4
2,7,6,{1,2}
2,5,4,4
2,{1,2},{1,2},1
2,{1,2},{1,2},3
2,{1,2},{1,2},7
2,{1,2},{1,2},6
2,1,4,1
2,2,7
2,7,5,5
2,{1,2},6
2,3,2
2,{1,2},4,7
2,5,5,6
2,1,1,4
2,1,1,7
2,1,1,6
2,{1,2},2,6
2,3,{1,2},7
2,{1,2},6,5
2,4,3,3
2,{1,2},3,{1,2}
2,4,5,8
2,6,{1,2},6
2,1,7,1
2,7,4,7
2,{1,2},2,{1,2}
2,5,{1,2},5
2,5,{1,2},4
2,6,7,{1,2}
2,{1,2},3,5
2,{1,2},7,4
2,2,4,2
2,5,5
2,3,5,5
2,6,6,2
2,{1,2},5,5
2,5,6,5
2,3,8,8
1,4,6,6
1,6,3,{1,2}
1,1,{1,2},5
1,8,{1,2},7
1,5,4,5
1,5,4,8
1,8,2
1,2,{1,2},3
1,{1,2},{1,2},5
1,2,2
1,4,2,{1,2}
1,7,7,8
1,4,4,6
1,{1,2},4
1,{1,2},1
1,8,6,4
1,2,7,7
1,{1,2},4,3
1,{1,2},4,6
1,1,7,{1,2}
1,5,5,4
1,5,5,7
1,6,2,{1,2}
1,7,4,{1,2}
1,1,1,3
1,1,1,2
1,3,4,{1,2}
1,3,{1,2},2
1,3,{1,2},5
1,3,{1,2},4
1,3,{1,2},6
1,{1,2},6,4
1,1,5,1
1,5,7,7
1,5,7,5
1,7,8,6
1,{1,2},8,8
1,8,8
1,4,1,1
1,4,1,4
1,7,1,8
1,4,5,5
1,6,{1,2},5
1,6,{1,2},3
1,6,5,8
1,3,2,2
1,7,4,4
1,2,2,5
1,2,2,6
1,2,2,3
1,{1,2},4,4
1,3,4,3
1,7,8
1,{1,2},3,4
1,{1,2},3,2
1,8,7,2
1,8,7,3
1,8,7,7
1,1,{1,2},4
1,3,3,{1,2}
1,2,4,4
1,2,4,8
1,7,{1,2},7
1,6,2,8
1,6,5,{1,2}
1,3,3,5
1,2,{1,2},5
1,{1,2},1,7
1,{1,2},1,6
1,{1,2},1,3
1,{1,2},1,2
1,4,4,5
1,4,4,3
1,4,4,2
1,6,8,1
1,6,8,7
1,4,4,8
1,4,8,8
1,{1,2},5,3
1,{1,2},5,1
1,{1,2},5,6
1,2,1,{1,2}
1,7,3,8
1,7,7,{1,2}
1,6,2,2
1,1,{1,2},7
1,3,1,8
