5
1,Scott Wiener 
2,Rebecca Prozan 
3,Rafael Mandelman 
4,Bill Hemenger 
5,Write-In 
35029,35029,160
2875,1,2,3
2587,3
2573,3,2,1
2308,1
2033,1,2
1898,3,2
1835,3,1,2
1829,1,3,2
1599,1,2,4
1414,1,1,1
1400,3,3,3
1253,2,1,3
1106,2,3,1
655,2,1
646,2
638,1,4,2
571,1,3
557,3,1
494,2,2,2
459,2,3
458,3,2,4
445,2,1,4
370,1,4
344,4
342,1,3,4
311,4,1,2
282,4,4,4
223,2,3,4
205,1,4,3
187,4,2,1
186,3,1,4
167,3,4,2
165,4,1
148,2,4,1
118,3,2,3
118,1,1,2
112,1,2,1
95,4,1,3
89,3,3,2
89,3,4,1
85,2,4,3
83,4,3,2
82,2,4
78,4,3,1
75,3,3,1
72,4,2,3
71,3,4
71,4,2
68,1,1,3
62,3,1,3
58,3,3
57,2,1,2
56,1,3,1
56,3,2,2
47,1,1
47,2,2,1
47,1,2,2
42,1,3,3
41,4,3
35,2,2,3
33,3,1,1
31,2,3,2
26,3,2,5
25,1,4,4
24,1,1,4
23,3,5,5
22,1,4,1
22,2,1,1
20,5,5,5
19,{1,2}
18,2,3,3
17,2,2
16,{1,2},{1,2},{1,2}
13,1,2,5
12,3,4,5
12,4,1,4
10,4,4,1
9,1,5,5
9,2,4,2
9,1,4,5
9,3,3,4
8,4,1,1
8,3,1,5
7,1,3,5
7,4,4,2
6,{1,2},2
6,2,3,5
6,4,3,3
6,1,{1,2},4
6,1,{1,2},3
6,3,4,3
5,3,5
5,5
5,4,5,5
5,4,4,3
5,2,2,4
5,3,{1,2},3
5,3,4,4
5,1,{1,2},{1,2}
5,2,1,5
4,2,4,4
4,3,{1,2}
4,3,5,2
4,{1,2},1
4,3,{1,2},4
4,4,2,2
4,4,2,4
3,{1,2},3
3,2,3,{1,2}
3,{1,2},1,2
3,1,{1,2}
3,2,{1,2}
3,4,4
3,{1,2},2,2
3,{1,2},2,3
3,1,5,4
3,2,{1,2},1
3,{1,2},3,3
3,{1,2},3,2
3,1,2,{1,2}
2,3,3,{1,2}
2,2,4,5
2,{1,2},4
2,2,{1,2},{1,2}
2,{1,2},4,4
2,4,1,5
2,3,5,1
2,2,{1,2},3
2,3,2,{1,2}
2,{1,2},1,1
2,{1,2},2,4
2,{1,2},2,1
2,3,{1,2},1
2,4,3,4
2,1,{1,2},1
1,5,1
1,5,5,1
1,4,{1,2},4
1,2,5,1
1,1,4,{1,2}
1,{1,2},{1,2}
1,2,{1,2},2
1,5,5,3
1,1,3,{1,2}
1,3,5,{1,2}
1,{1,2},{1,2},3
1,{1,2},{1,2},4
1,{1,2},3,{1,2}
1,4,{1,2},2
1,5,5
1,4,5
1,2,5,4
1,3,{1,2},2
1,4,{1,2}
1,5,2,4
1,2,5,5
1,{1,2},3,4
1,{1,2},3,1
1,2,{1,2},4
1,4,1,{1,2}
