9
1,Christina Olague 
2,Thea Selby 
3,Julian Davis 
4,John Rizzo 
5,Andrew ''Ellard'' Resignato 
6,Hope Johnson 
7,Daniel Everett 
8,London Breed 
9,Write-In 
35356,35356,639
1853,8
986,1
890,4,2
610,8,8,8
588,2
572,3
461,4,2,8
451,4
434,8,1,3
413,8,3,1
406,8,2,4
384,8,4,2
366,3,4,2
361,8,1,4
360,1,3,4
354,1,8,3
341,4,2,1
337,1,4,3
335,1,8,4
332,8,1
326,3,1,4
325,8,3,4
315,8,2
307,1,4,2
295,4,3,1
291,1,4,8
286,3,4,1
285,4,2,3
284,8,3,2
277,3,1
277,1,3,8
269,1,1,1
262,8,4,3
262,8,2,3
261,1,8
259,8,2,1
259,3,1,8
254,2,4,8
254,8,1,2
252,2,4
247,1,2,4
244,4,1,3
241,1,8,2
229,2,8,4
221,1,3
220,3,8,1
219,2,8
218,8,4,1
217,1,2,3
204,1,2,8
199,8,3
199,3,8,4
194,1,3,2
191,2,8,1
185,2,4,3
184,4,3,2
183,8,4
178,3,4,8
177,3,8
176,1,4
174,3,1,2
172,2,4,1
171,3,8,2
170,7
166,4,1,8
166,3,2,4
165,4,1,2
164,8,2,6
162,3,2,8
160,2,8,3
153,4,8,2
151,2,3,4
151,4,3,8
145,4,8,3
144,2,1,8
138,2,3,8
136,3,3,3
132,3,2,1
130,2,2,2
126,1,4,7
121,2,3,1
120,2,1,3
115,4,8,1
114,8,2,5
113,4,8
113,8,5,2
111,3,4
110,4,1
110,8,3,7
106,1,3,7
104,8,1,7
103,8,3,6
102,4,4,4
101,8,2,7
100,2,1,4
99,4,2,7
98,3,4,7
98,4,2,5
96,2,4,7
90,8,4,7
88,2,1
88,8,7,3
87,8,1,6
85,4,3
84,1,8,7
82,8,4,5
81,8,5,3
80,1,2
80,1,8,5
76,8,6,2
76,2,8,5
76,8,1,5
75,2,5,8
73,3,8,7
72,1,3,6
70,1,2,6
69,4,7,3
69,8,7,2
69,8,7,1
69,5
68,3,2
68,1,3,5
67,4,3,7
66,1,8,6
66,3,8,5
66,8,7,4
65,3,4,5
65,8,3,5
65,2,4,6
65,2,8,6
64,2,8,7
64,8,5,1
63,1,7,4
61,4,1,7
60,8,4,6
59,1,4,6
59,3,1,5
57,3,7,8
57,3,1,7
56,3,7,1
55,2,3
54,2,3,7
54,3,4,6
54,1,4,5
53,2,7,8
52,8,7
52,8,6,3
52,1,5,8
52,2,6,8
51,1,7,8
51,2,6,7
50,2,4,5
50,7,3,4
49,7,7,7
49,{1,2},{1,2},{1,2}
49,4,3,5
48,8,5,4
48,5,8,2
47,2,1,6
47,1,7,3
46,8,6,4
46,4,2,6
45,7,1,3
45,3,2,5
44,4,8,7
44,4,7,2
44,7,8,3
44,7,4,3
43,7,4,2
43,8,7,6
43,3,5,2
42,3,2,7
42,3,7,4
42,4,8,5
41,2,7,4
41,4,3,6
41,4,7,1
41,7,8,2
41,5,8,3
40,2,3,5
39,7,1,4
39,6
38,8,8
38,2,1,7
38,1,6,2
38,5,2,8
37,8,5
37,2,5,7
37,2,7,3
37,3,7,2
36,8,6,7
36,2,7,6
36,4,7,8
36,7,8,4
36,{1,2}
36,4,1,6
36,7,2,4
36,3,6,8
36,8,5,7
36,1,2,7
35,2,6,1
35,1,6,8
35,1,2,5
34,8,6,1
34,7,3,8
34,3,1,6
33,7,1,2
33,7,1,8
33,7,8,5
33,4,5,3
33,7,2,8
33,3,6,7
32,3,5,8
32,3,2,6
32,4,1,5
32,1,7,2
32,7,3,2
31,3,8,6
31,7,4,8
31,2,6,3
31,7,8
30,2,5,3
30,7,4,1
30,8,7,5
30,3,5,4
29,1,7
29,5,4,2
29,1,5,2
29,3,7,6
29,1,6,7
28,1,5,3
28,4,5,8
27,2,7
27,2,5,6
27,2,3,6
27,4,7,6
27,2,6,4
27,3,5,1
26,2,5,4
26,3,7
26,7,8,1
26,1,7,6
25,2,5
25,4,7,5
25,2,6,5
25,7,3,1
24,5,3,4
24,3,5,7
24,8,1,8
24,1,6,4
23,2,7,1
23,4,7
23,7,2,1
23,1,6,3
22,2,7,5
22,4,5,1
22,3,6,1
22,5,8,1
22,3,6,4
21,5,3,1
21,2,5,1
21,8,6,5
21,8,3,8
21,5,2,1
21,8,5,6
21,4,8,6
21,7,3
20,1,1
20,5,1,8
20,5,3,2
20,8,8,1
20,2,1,5
20,1,5,4
20,5,7,8
20,7,8,6
20,7,2,3
20,7,1
20,6,8,2
19,4,6,2
19,5,3,8
19,7,4,5
19,6,2,1
18,4,5,2
18,3,7,5
18,5,2,6
18,6,2,8
17,2,6
17,5,5,5
17,1,5,7
17,3,6,2
17,5,4,8
17,5,2,3
17,6,2,4
16,4,6,7
16,1,7,5
16,7,2,6
16,3,5,6
16,6,6,6
15,4,6,3
15,5,8
15,5,4
15,7,6,5
15,6,2,5
15,5,8,4
15,5,8,7
15,7,4
15,5,2,4
15,3,1,3
14,5,4,1
14,5,1,3
14,8,2,8
14,6,1,4
14,6,5,2
14,6,3,4
14,4,5,7
14,3,6,5
14,6,2,7
14,6,8,3
14,5,6,8
14,7,2
13,4,6,1
13,1,8,1
13,7,5,6
13,7,5,3
13,4,5
13,6,1,2
13,6,7,2
13,6,7,3
13,5,4,3
13,2,8,2
13,7,3,5
13,7,3,6
12,8,6
12,3,5
12,6,3,8
12,1,3,1
12,1,6,5
11,2,2
11,7,5,4
11,7,5,2
11,5,7,3
11,1,3,3
11,5,8,6
11,6,7,8
11,4,5,6
11,7,4,6
11,7,6,4
11,7,6,8
11,5,6,7
11,6,4,7
11,6,4,2
10,4,6,8
10,4,6,5
10,5,4,7
10,8,4,8
10,8,8,3
10,5,1,4
10,6,3,2
10,8,3,3
10,7,6,2
9,1,6
9,1,5
9,1,4,1
9,7,5,8
9,3,8,3
9,7,2,5
9,5,2
9,5,1
9,5,6
9,3,4,4
9,6,2,3
9,5,6,1
9,4,2,2
8,3,8,8
8,8,8,4
8,3,6
8,4,4
8,1,5,6
8,5,7,4
8,5,7,2
8,5,7,1
8,6,3,1
8,{1,2},3,8
8,5,3
8,4,8,4
8,5,6,2
8,6,4,1
8,6,4,8
8,5,3,6
7,3,3,8
7,1,8,8
7,8,8,2
7,8,2,2
7,6,1,3
7,6,1,8
7,6,5,1
7,6,5,8
7,6,3,7
7,4,1,4
7,8,1,1
7,5,6,4
7,6,5
7,5,2,7
7,4,2,4
6,1,4,4
6,7,5,1
6,{1,2},2
6,3,3
6,5,3,7
6,2,3,2
6,1,{1,2}
6,1,1,8
6,1,1,3
6,1,1,2
6,6,5,4
6,4,3,3
6,2,2,8
6,2,2,4
6,8,7,7
6,2,4,2
6,7,6,3
6,4,4,3
6,4,4,2
6,6,8,5
5,7,1,5
5,{1,2},{1,2},8
5,7,1,6
5,5,1,2
5,5,1,7
5,1,2,2
5,{1,2},4
5,1,1,4
5,{1,2},2,8
5,4,7,7
5,6,7,4
5,6,7,5
5,3,2,3
5,7,6,1
5,2,2,3
5,8,{1,2}
5,1,{1,2},{1,2}
5,4,{1,2}
5,2,4,4
5,5,7
5,6,2
5,8,5,5
5,{1,2},{1,2}
5,6,8,1
5,6,8,4
5,6,4,3
4,8,{1,2},2
4,8,{1,2},3
4,6,7
4,{1,2},8
4,8,6,8
4,4,{1,2},{1,2}
4,8,{1,2},4
4,{1,2},4,2
4,6,5,7
4,6,5,3
4,3,4,3
4,6,7,1
4,8,{1,2},{1,2}
4,3,2,2
4,{1,2},3,3
4,1,{1,2},4
4,{1,2},8,2
4,6,8,7
4,4,4,8
4,3,3,6
4,3,6,3
4,3,3,1
4,6,8
4,7,5
4,7,6
4,6,4
4,1,2,1
4,3,1,1
3,7,1,7
3,{1,2},4,8
3,8,{1,2},6
3,{1,2},{1,2},7
3,8,4,4
3,8,8,7
3,{1,2},7
3,{1,2},1
3,{1,2},3
3,2,7,7
3,{1,2},4,1
3,6,1,7
3,6,1,5
3,4,3,4
3,7,8,7
3,6,3,5
3,1,7,1
3,7,2,2
3,2,2,7
3,2,2,1
3,3,7,3
3,{1,2},3,4
3,{1,2},3,2
3,8,7,8
3,4,7,4
3,{1,2},8,3
3,4,4,1
3,6,1
3,4,8,8
3,5,6,3
3,1,{1,2},8
3,6,4,5
3,6,4,4
2,7,7,2
2,5,3,3
2,2,3,3
2,8,3,{1,2}
2,{1,2},{1,2},1
2,{1,2},{1,2},3
2,{1,2},1,5
2,{1,2},1,4
2,{1,2},1,1
2,4,2,{1,2}
2,5,1,6
