5
1,Chris Crow 
2,Justin Hutchison 
3,Darlene Daevu 
4,Benny Lee 
5,Write-In 
23359,23359,203
1870,4,3,1
1654,4,4,4
1476,4,1,3
1223,4
932,4,3,2
876,1,3,4
844,4,1,2
828,3,4,1
739,1,4,3
735,1,1,1
682,3,1,4
671,4,2,1
648,3,3,3
633,1,2,3
598,1
589,4,2,3
471,1,3,2
413,1,4,2
409,3,4,2
409,1,2,4
390,3,1,2
368,3
358,3,2,1
352,2,2,2
331,3,2,4
316,2,1,3
289,2,3,4
284,2,1,4
279,2,3,1
230,2,4,1
205,4,3
205,2
187,2,4,3
175,1,3
174,5,5,5
165,1,4
157,4,1
135,3,4
80,4,3,4
70,3,1
70,4,1,4
61,1,2
58,4,2
56,3,4,3
56,3,1,3
55,4,4,1
51,4,4,3
49,1,3,1
47,4,4
45,3,3,4
44,1,4,1
44,4,3,3
44,4,2,4
43,4,5,5
40,2,4
36,1,3,3
36,1,1,4
34,3,2
34,3,4,4
34,1,2,1
33,3,2,3
33,4,4,2
32,1,4,4
29,3,3,1
28,4,1,1
26,1,2,2
26,2,1,2
24,3,3,2
23,2,1
22,2,3,2
22,2,3
22,1,1,3
21,1,1
21,2,4,2
21,1,1,2
21,4,2,2
20,1,3,5
20,{1,2}
20,1,5,5
19,3,2,2
18,3,5,5
18,2,2,1
16,3,1,1
15,2,4,4
15,3,4,5
15,{1,2},{1,2},{1,2}
14,2,2,3
14,2,1,1
13,4,1,5
13,2,2,4
12,4,3,5
12,3,1,5
11,3,3
11,2,3,3
10,2,2
9,1,2,5
7,5
7,3,2,5
7,1,3,{1,2}
7,1,4,5
7,2,5,5
7,{1,2},3,1
7,4,2,5
6,2,4,5
6,4,{1,2},4
6,5,3,2
5,2,3,{1,2}
5,4,{1,2},3
5,2,3,5
5,{1,2},1,3
5,4,3,{1,2}
4,1,{1,2},3
4,4,5,2
4,3,2,{1,2}
4,4,4,5
4,4,5
4,{1,2},2,3
4,1,{1,2},2
4,1,{1,2},4
4,{1,2},3,4
4,3,1,{1,2}
3,5,2,3
3,2,4,{1,2}
3,5,4,3
3,5,3,1
3,2,{1,2},3
3,{1,2},1,1
3,5,2,1
3,1,{1,2}
3,4,{1,2},1
3,3,{1,2},4
3,3,4,{1,2}
3,5,1,3
3,5,1,2
3,{1,2},3,2
3,1,2,{1,2}
3,5,4,4
3,4,1,{1,2}
2,5,3,5
2,{1,2},5,5
2,5,4,1
2,2,{1,2},{1,2}
2,4,{1,2},{1,2}
2,{1,2},4,1
2,3,5
2,5,2,2
2,1,4,{1,2}
2,3,3,5
2,{1,2},1,4
2,1,5
2,5,3,3
2,5,4,5
2,5,5
2,3,{1,2},1
2,3,{1,2},3
2,3,{1,2},2
2,{1,2},4,4
2,4,2,{1,2}
2,1,5,3
2,1,5,4
2,2,5,3
2,{1,2},3,3
2,2,{1,2},1
1,{1,2},3,{1,2}
1,5,5,{1,2}
1,{1,2},4
1,5,3
1,5,3,4
1,{1,2},2,{1,2}
1,{1,2},1,2
1,{1,2},4,{1,2}
1,3,{1,2}
1,5,5,4
1,4,5,4
1,4,5,1
1,4,5,3
1,3,5,3
1,3,5,1
1,4,{1,2},5
1,2,5,1
1,4,4,{1,2}
1,5,4,2
1,{1,2},{1,2}
1,{1,2},4,2
1,2,{1,2},2
1,5,5,2
1,{1,2},1
1,{1,2},2
1,2,{1,2}
1,2,1,{1,2}
1,5,{1,2},{1,2}
1,2,5,4
1,{1,2},2,4
1,{1,2},2,1
1,4,{1,2}
1,{1,2},{1,2},1
1,1,5,1
1,1,{1,2},{1,2}
1,{1,2},{1,2},5
1,2,5,2
1,5,1,5
1,2,1,5
1,2,{1,2},4
