Supervisor,Capacity,Projects
Supervisor 0,3,15 21 33 34 51
Supervisor 1,3,70 91 99
Supervisor 2,2,50 54 69 97
Supervisor 3,3,18 80 96
Supervisor 4,3,12 39 71 75 83
Supervisor 5,3,49 72 86 94 95 101
Supervisor 6,3,3
Supervisor 7,3,5 11 24 28 37 47 63 79
Supervisor 8,3,4 57 81
Supervisor 9,1,0 29 59 74 90
Supervisor 10,3,7 44 53 61 82
Supervisor 11,3,31 52 93
Supervisor 12,2,20 23 58
Supervisor 13,3,41 43 55 98
Supervisor 14,3,88
Supervisor 15,3,68
Supervisor 16,3,10 14
Supervisor 17,3,8 35 40 65
Supervisor 18,3,25 42
Supervisor 19,0,19 73 84
Supervisor 20,3,67 89
Supervisor 21,3,13 16 27
Supervisor 22,1,9 17 30 38 85 100
Supervisor 23,3,62 64 66 77
Supervisor 24,3,6 26 76
Supervisor 25,2,22 45 60 78 87
Supervisor 26,1,48 56 92
Supervisor 27,3,1 2 32 36 46
